time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.54
0.05	0	31.06
0.06	0	30.97
0.07	0	31.22
0.08	0	32.4
0.09	0	34.22
0.1	0	36.39
0.11	0	38.02
0.12	0	40.54
0.13	0	44.08
0.14	0	52.02
0.15	0	66.87
0.16	142.48	75.29
0.17	140.14	79.7
0.18	137.19	81.99
0.19	135.86	83.11
0.2	135.55	83.64
0.21	135.62	83.62
0.22	135.82	83.21
0.23	136.33	82.62
0.24	136.74	81.93
0.25	137.54	81.55
0.26	138.86	81.52
0.27	140.1	81.07
0.28	141.34	80.33
0.29	142.52	79.7
0.3	143.42	79.33
0.31	143.86	79.18
0.32	144.12	79.04
0.33	143.92	79.05
0.34	143.35	79.14
0.35	142.24	79.21
0.36	140.48	79.22
0.37	138.78	78.93
0.38	137.46	78.09
0.39	136.62	76.49
0.4	136.26	74.76
0.41	135.69	73.57
0.42	134.5	72.34
0.43	133.17	70.7
0.44	132.04	69.16
0.45	131.4	68.24
0.46	130.91	67.75
0.47	130.58	67.62
0.48	130.74	67.91
0.49	130.99	68.52
0.5	131.11	69.11
0.51	131.25	69.45
0.52	131.06	69.4
0.53	130.22	68.49
0.54	128.63	65.59
0.55	0	58.79
0.56	0	45.9
0.57	0	33.64
0.58	0	28.23
0.59	0	44.67
0.6	0	56.85
0.61	0	61.19
0.62	0	64.74
0.63	0	67.24
0.64	0	67.01
0.65	0	63.92
0.66	0	59.33
0.67	0	63.55
0.68	144.05	73.17
0.69	143.91	77.28
0.7	142.73	78.74
0.71	141.26	79.02
0.72	140.41	78.77
0.73	139.9	78.58
0.74	139.44	78.28
0.75	139.07	77.65
0.76	138.28	76.54
0.77	137.13	75.04
0.78	136	73.57
0.79	134.87	72.28
0.8	133.62	71
0.81	131.89	69.12
0.82	129.97	66.38
0.83	129.5	63.83
0.84	128.42	62.65
0.85	125.72	60.87
0.86	126.6	61.27
0.87	127.66	65.72
0.88	123.98	67
0.89	121.17	66.62
0.9	120.6	66.2
0.91	120.72	65.61
0.92	121.63	64.99
0.93	123.71	64.78
0.94	127.12	65.71
0.95	131.45	67.75
0.96	136.7	70.26
0.97	142.33	72.79
0.98	148.63	75.04
0.99	154.73	77.17
1	160.35	78.54
1.01	165.18	78.93
1.02	169.61	78.88
1.03	174.13	78.73
1.04	177.89	78.37
1.05	180.05	77.69
1.06	181.02	76.81
1.07	180.27	75.81
1.08	177.2	74.81
1.09	172.84	74.19
1.1	168.67	73.63
1.11	164.05	73.18
1.12	159.69	73.04
1.13	155.1	72.8
1.14	149.55	71.77
1.15	143.94	69.32
1.16	138.84	66.49
1.17	135.74	65.86
1.18	132.83	65.58
1.19	130.28	64.94
1.2	127.4	65.27
1.21	124.6	67.42
1.22	121.31	69.15
1.23	119.04	69.94
1.24	117.64	69.7
1.25	115.97	68.79
1.26	113.88	67.7
1.27	112.69	66.82
1.28	111.85	65.79
1.29	110.82	64.52
1.3	109.43	63.08
1.31	108.17	61.29
1.32	107.32	59.71
1.33	106.71	57.97
1.34	0	55.54
1.35	0	52.72
1.36	0	49.78
1.37	0	46.57
1.38	0	43.88
1.39	0	42.98
1.4	0	41.49
1.41	0	39.53
1.42	0	38.34
1.43	0	38.01
1.44	0	36.9
1.45	0	34.98
1.46	0	34.72
1.47	0	34.08
1.48	0	32.99
1.49	0	0
1.5	0	0
1.51	0	0
?	?	?
