time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	26.54
0.04	0	26
0.05	0	26.34
0.06	0	27.48
0.07	0	27.85
0.08	0	29.63
0.09	0	36.22
0.1	0	40.63
0.11	0	42.19
0.12	0	43.24
0.13	0	51.49
0.14	0	61.76
0.15	132.85	70
0.16	133.28	76.35
0.17	135.42	80.67
0.18	139.98	83.22
0.19	145.88	84.36
0.2	152.48	84.54
0.21	157.37	83.82
0.22	164.11	82.47
0.23	170.63	81.4
0.24	174.32	80.91
0.25	178.86	80.76
0.26	181.09	80.06
0.27	182.43	77.85
0.28	181.81	73.54
0.29	181.44	66.68
0.3	182.35	62.19
0.31	180.94	61.68
0.32	174.15	60.41
0.33	167.94	58.4
0.34	160.31	57.65
0.35	155.74	58.24
0.36	155.25	58.12
0.37	155.58	57.68
0.38	149.23	57.98
0.39	152.33	59.3
0.4	153.4	61.81
0.41	151.56	64.9
0.42	149.56	67.87
0.43	148.08	69.61
0.44	146	69.7
0.45	144.32	69.1
0.46	143.23	68.6
0.47	142.91	68.2
0.48	143.07	67.96
0.49	143.38	67.73
0.5	144.25	67.6
0.51	145.24	67.56
0.52	146.24	67.34
0.53	147.11	66.96
0.54	147.66	66.46
0.55	147.37	65.83
0.56	146.66	65
0.57	145.92	63.63
0.58	147.25	61.37
0.59	0	58.02
0.6	0	54.91
0.61	0	52.6
0.62	0	50.7
0.63	0	49.11
0.64	0	47.59
0.65	0	45.95
0.66	0	43.56
0.67	0	39.75
0.68	0	35.77
0.69	0	34.59
0.7	0	33.63
0.71	0	31.72
0.72	0	30.11
0.73	0	29.98
0.74	0	28.85
0.75	0	27.44
0.76	0	26.75
0.77	0	25.86
0.78	0	25.1
0.79	0	23.9
0.8	0	22.75
0.81	0	21.51
0.82	0	20.09
0.83	0	20.28
0.84	0	21.06
0.85	0	20.91
0.86	0	20.39
0.87	0	19.31
0.88	0	18.75
0.89	0	19.34
0.9	0	19.43
0.91	0	18.78
0.92	0	19.56
0.93	0	21
0.94	0	22.23
0.95	0	22.43
0.96	0	22.1
0.97	0	22.2
0.98	0	21.11
0.99	0	19.92
1	0	20.52
1.01	0	20.57
1.02	0	23.35
1.03	0	25.59
1.04	0	23.37
1.05	0	22.36
1.06	0	24.18
1.07	0	26.08
1.08	0	24.22
1.09	0	22.29
1.1	0	22.65
1.11	0	23.6
1.12	0	23.7
1.13	0	24.69
1.14	0	26.4
1.15	0	27.14
1.16	0	27.1
1.17	0	28.84
1.18	0	30.88
1.19	0	39.31
1.2	0	48.68
1.21	0	52.83
1.22	0	64.62
1.23	161.62	75.2
1.24	161.41	80.21
1.25	161.88	82.08
1.26	164.9	82.91
1.27	169.5	83.13
1.28	175.93	83.01
1.29	181.16	83.36
1.3	184.52	83.79
1.31	186.15	83.64
1.32	186.91	81.97
1.33	185.53	77.45
1.34	181.15	69.53
1.35	178.46	64.03
1.36	174.86	63.99
1.37	169.31	67.19
1.38	166.32	70.51
1.39	161.8	70.87
1.4	156.57	70.57
1.41	150.85	71.06
1.42	144.86	71.7
1.43	137.74	72.08
1.44	131.77	73.23
1.45	126.96	74.65
1.46	120.92	75.12
1.47	114.77	75.78
1.48	111.64	76.65
1.49	0	76.51
1.5	0	75.76
1.51	0	74.18
1.52	0	70.53
1.53	0	66.88
1.54	0	61.7
1.55	0	55.59
1.56	0	47.73
1.57	0	33.9
1.58	0	22.35
1.59	0	19.75
1.6	0	20.97
1.61	0	21.3
1.62	0	20.23
1.63	0	19.42
1.64	0	19.08
1.65	0	19.49
1.66	0	19.73
1.67	0	19.14
1.68	0	18.27
1.69	0	18.04
1.7	0	19.61
1.71	0	22.07
1.72	0	22.54
1.73	0	21.34
1.74	0	21.04
1.75	0	20.9
1.76	0	20.96
1.77	0	20.57
1.78	0	19.64
1.79	0	19.58
1.8	0	19.91
1.81	0	19.86
1.82	0	19.8
1.83	0	19.71
1.84	0	19.72
1.85	0	19.56
1.86	0	20.71
1.87	0	22.4
1.88	0	22.41
1.89	0	26.82
1.9	0	34.12
1.91	0	33.69
1.92	0	26.5
1.93	0	26.84
1.94	0	26.73
1.95	0	22.33
1.96	0	20.67
1.97	0	20.44
1.98	0	19.98
1.99	0	19.37
2	0	19.55
2.01	0	20.47
2.02	0	21.6
2.03	0	21.11
2.04	0	19.56
2.05	0	18.83
2.06	0	18.75
2.07	0	19.61
2.08	0	24.81
2.09	0	31.79
2.1	0	34.09
2.11	0	31.21
2.12	0	23.95
2.13	0	21.08
2.14	0	21.91
2.15	0	22.09
2.16	0	21.93
2.17	0	20.56
2.18	0	20.17
2.19	0	21.26
2.2	0	21.78
2.21	0	0
2.22	0	0
2.23	0	0
