time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	23.13
0.05	0	22.16
0.06	0	20.6
0.07	0	20.59
0.08	0	22
0.09	0	23.72
0.1	0	24.59
0.11	0	26.06
0.12	0	29.41
0.13	0	33.65
0.14	0	40.66
0.15	0	47.49
0.16	0	52.28
0.17	0	54.83
0.18	0	57.05
0.19	0	59.37
0.2	0	60.55
0.21	0	61.54
0.22	0	62.06
0.23	0	62.75
0.24	0	63.57
0.25	0	63.17
0.26	0	60.96
0.27	0	59.14
0.28	0	66.98
0.29	138.38	74.5
0.3	139.28	77.86
0.31	139.86	78.97
0.32	140.14	79.02
0.33	140.82	78.89
0.34	141.27	78.03
0.35	141.86	74.58
0.36	143.91	67.77
0.37	146.08	63.84
0.38	148.1	63.65
0.39	149.93	63.58
0.4	151.23	63.34
0.41	151.94	62.94
0.42	151.9	62.14
0.43	150.9	60.77
0.44	148.83	59.02
0.45	0	57.28
0.46	0	55.8
0.47	0	57.27
0.48	0	68.88
0.49	144.7	77.96
0.5	144.64	82.12
0.51	144.39	83.62
0.52	143.89	83.91
0.53	143.6	83.97
0.54	143.4	84.07
0.55	143.02	83.86
0.56	142.44	83.14
0.57	141.53	81.06
0.58	140.32	76.25
0.59	138.59	67.16
0.6	138.86	60.15
0.61	140.02	66.53
0.62	140.88	71.67
0.63	141.66	72.91
0.64	141.55	72.41
0.65	140.72	71.54
0.66	140.16	70.81
0.67	139.57	70.41
0.68	138.79	70.03
0.69	138.21	69.04
0.7	137.53	67.21
0.71	136.24	65.31
0.72	134.29	63.91
0.73	132.18	62.83
0.74	130.89	62.15
0.75	130.27	62.02
0.76	129.7	62.56
0.77	128.96	63.98
0.78	127.37	66.12
0.79	124.69	68.31
0.8	121.37	69.63
0.81	117.99	69.93
0.82	115.94	69.82
0.83	114.62	69.13
0.84	113.1	66.48
0.85	0	60.17
0.86	0	50.25
0.87	0	44.06
0.88	0	43.49
0.89	0	42.4
0.9	0	42.94
0.91	0	47.81
0.92	0	52.96
0.93	119.44	55.71
0.94	118.81	56.71
0.95	118.21	57.05
0.96	118.2	57.44
0.97	118.45	57.71
0.98	119.4	60.41
0.99	120.61	66.91
1	120.49	71.12
1.01	120.33	72.69
1.02	120.81	73.47
1.03	121.7	73.76
1.04	122.96	73.77
1.05	124.19	73.95
1.06	125.34	74.23
1.07	126.29	74.63
1.08	126.47	75.08
1.09	126.09	75.12
1.1	125.71	74.35
1.11	125.17	72.87
1.12	124.34	70.72
1.13	122.86	67.65
1.14	120.37	63.86
1.15	118.13	59.9
1.16	116.69	55.89
1.17	0	51.82
1.18	0	49.59
1.19	115.33	51.24
1.2	117.15	58.17
1.21	119.65	66.92
1.22	119.5	73.03
1.23	117.59	76.39
1.24	115.62	77.97
1.25	113.56	78.36
1.26	112.13	78.17
1.27	111.56	77.46
1.28	111.68	76.01
1.29	112.54	74.84
1.3	112.27	74.4
1.31	111.64	73.93
1.32	111.06	73.22
1.33	111.24	72.52
1.34	111.69	71.51
1.35	112.25	71.31
1.36	112.82	70.89
1.37	113.06	69.58
1.38	110.54	67.96
1.39	109.9	64.04
1.4	0	56.98
1.41	0	57.1
1.42	0	61.6
1.43	0	64.42
1.44	0	64.96
1.45	0	65.43
1.46	0	66.03
1.47	0	65.48
1.48	0	64.16
1.49	0	62.99
1.5	0	60.18
1.51	0	56.34
1.52	0	57.32
1.53	0	59.05
1.54	0	59.53
1.55	0	62.14
1.56	0	59.44
1.57	0	56.56
1.58	0	58.85
1.59	0	57.11
1.6	0	57.11
1.61	0	57.28
1.62	0	54.83
1.63	0	55.71
1.64	0	53.92
1.65	0	52.78
1.66	0	53.15
1.67	0	55.45
1.68	0	56.85
1.69	0	58.08
1.7	0	59.69
1.71	0	60.05
1.72	0	59.56
1.73	0	58.85
1.74	0	58.86
1.75	0	58.5
1.76	0	56.94
1.77	0	55
1.78	0	52.93
1.79	0	48.99
1.8	0	43.24
1.81	0	38.94
1.82	0	36.26
1.83	0	33.18
1.84	0	29.05
1.85	0	26.11
1.86	0	26.17
1.87	0	26.9
1.88	0	25.93
1.89	0	24.4
1.9	0	24.2
1.91	0	24.58
1.92	0	24.43
1.93	0	0
1.94	0	0
1.95	0	0
?	?	?
