time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	26.72
0.04	0	27.16
0.05	0	28.74
0.06	0	29.83
0.07	0	30.4
0.08	0	30.97
0.09	0	31.35
0.1	0	29.65
0.11	0	26.46
0.12	0	39
0.13	0	54.79
0.14	0	61.55
0.15	0	64.81
0.16	108.99	69.22
0.17	99.09	73.39
0.18	90.04	75.31
0.19	95.16	75.43
0.2	95.36	74.41
0.21	0	71.09
0.22	0	63.88
0.23	0	58.56
0.24	0	59.09
0.25	0	57.94
0.26	0	61.23
0.27	0	62.96
0.28	87.02	64.83
0.29	93.77	66.04
0.3	103.73	66.93
0.31	107.85	67.57
0.32	108.75	69.06
0.33	108.71	73.83
0.34	108.32	77.73
0.35	108.11	79.63
0.36	107.94	80.66
0.37	108.12	81.31
0.38	108.78	81.81
0.39	109.73	82.14
0.4	110.67	82.39
0.41	111.57	82.7
0.42	112.64	82.74
0.43	114.01	82.53
0.44	115.33	82.22
0.45	116.14	81.78
0.46	116.42	80.93
0.47	114.67	78.2
0.48	115.46	74.68
0.49	118.24	77.46
0.5	118.81	80.41
0.51	118.61	81.13
0.52	117.24	79.98
0.53	115.19	77.37
0.54	113.03	73.92
0.55	110.63	69.82
0.56	107.63	65.45
0.57	103.35	61.21
0.58	99.18	57.66
0.59	101.01	56.37
0.6	106.63	58.66
0.61	113.11	64.91
0.62	116.9	72.43
0.63	116.95	77.93
0.64	116.87	81.08
0.65	116.06	82.64
0.66	114.95	83.7
0.67	114.19	84.33
0.68	113.85	84.47
0.69	113.68	84.33
0.7	113.71	83.81
0.71	113.82	82.81
0.72	113.99	81.56
0.73	114.49	80.54
0.74	115.35	79.92
0.75	116.16	78.93
0.76	116.28	77.07
0.77	113.55	74.58
0.78	108.26	71.21
0.79	102.72	66.17
0.8	0	59.26
0.81	0	52.63
0.82	0	51.47
0.83	0	55.04
0.84	0	59.88
0.85	0	62.87
0.86	0	64.03
0.87	0	65.61
0.88	0	67.42
0.89	0	68.88
0.9	0	70.17
0.91	0	71.07
0.92	0	71.25
0.93	0	71.28
0.94	0	70.45
0.95	0	68.81
0.96	0	67
0.97	0	63.88
0.98	0	64.16
0.99	119.54	68.27
1	119.64	70.9
1.01	118.03	72.87
1.02	114.67	73.99
1.03	111.97	74.3
1.04	110.74	74.21
1.05	110.22	73.53
1.06	109.26	72.11
1.07	107.46	70.14
1.08	105.92	67.98
1.09	104.86	65.84
1.1	103.31	63.76
1.11	0	62.34
1.12	0	62.41
1.13	0	63.64
1.14	0	63.22
1.15	0	59.21
1.16	0	51.18
1.17	0	40.11
1.18	0	31.48
1.19	0	28.79
1.2	0	35.27
1.21	0	40.42
1.22	0	46.2
1.23	107.77	56.9
1.24	109.27	64.67
1.25	111.01	69.11
1.26	111.09	71.23
1.27	110.57	71.91
1.28	109.74	72.11
1.29	109.13	72.11
1.3	108.67	71.28
1.31	106.67	69.31
1.32	103.92	66.49
1.33	101.12	63.98
1.34	99.64	63.94
1.35	100.04	65.17
1.36	100.63	65.47
1.37	101.89	66.62
1.38	103.07	68.32
1.39	103.89	70.84
1.4	104.64	74.35
1.41	104.43	77.71
1.42	103.49	79.67
1.43	101.71	80.2
1.44	99.98	80.12
1.45	99.13	79.95
1.46	98.71	79.87
1.47	98.34	79.78
1.48	97.82	79.58
1.49	97.23	79.14
1.5	96.66	78.32
1.51	96.01	77.12
1.52	95.11	75.56
1.53	94.36	73.71
1.54	93.29	71.28
1.55	90.83	67.86
1.56	88.23	64.1
1.57	86.51	61.46
1.58	85.87	60.35
1.59	86.14	60.4
1.6	86.51	61.43
1.61	87.2	63.13
1.62	87.98	64.85
1.63	88.41	66.17
1.64	88.41	67.21
1.65	87.92	68.38
1.66	87.34	69.77
1.67	87.1	71.15
1.68	87.09	71.82
1.69	86.46	71.57
1.7	85.59	70.75
1.71	85	70.21
1.72	84.61	69.56
1.73	84.59	68.26
1.74	85.03	66.43
1.75	86.99	64.04
1.76	89.05	61.4
1.77	90.92	59.18
1.78	92.5	57.27
1.79	93.16	57.35
1.8	0	58.05
1.81	0	57.41
1.82	0	55.76
1.83	0	54.8
1.84	0	53.33
1.85	0	52.05
1.86	0	52.01
1.87	0	51.26
1.88	0	48.8
1.89	0	47.02
1.9	0	46.25
1.91	0	46.06
1.92	0	45.75
1.93	0	45.31
1.94	0	43.88
1.95	0	43.22
1.96	0	42.85
1.97	0	42.39
1.98	0	41.89
1.99	0	0
2	0	0
?	?	?
