time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	25.79
0.04	0	26.11
0.05	0	26.23
0.06	0	27.28
0.07	0	28.52
0.08	0	28.52
0.09	0	28.09
0.1	0	27.9
0.11	0	27.8
0.12	0	30.99
0.13	0	37.02
0.14	0	42.02
0.15	0	45.69
0.16	0	48.11
0.17	0	55.37
0.18	135.89	65.64
0.19	138.13	71.56
0.2	143.24	75.49
0.21	146.93	78.62
0.22	149.65	80.98
0.23	151.71	82.33
0.24	151.95	82.38
0.25	151.9	82.05
0.26	151.89	82.01
0.27	151.52	81.28
0.28	150.31	78.43
0.29	0	71.68
0.3	0	58.29
0.31	0	38.63
0.32	0	30.68
0.33	0	33.31
0.34	0	47.83
0.35	0	54.14
0.36	0	62.53
0.37	150.34	73.07
0.38	149.79	77.84
0.39	147.88	78.4
0.4	145.45	77.43
0.41	143.6	76.3
0.42	142.29	75.96
0.43	140.51	76.14
0.44	138.38	76.12
0.45	135.64	75.71
0.46	133.21	73.85
0.47	0	68.54
0.48	0	58.71
0.49	0	51.42
0.5	0	46.29
0.51	0	45.01
0.52	0	51.35
0.53	0	57.84
0.54	0	61.09
0.55	0	62.14
0.56	0	60.64
0.57	0	62.16
0.58	0	69.17
0.59	140.34	73.06
0.6	140.85	74.95
0.61	142.39	77.1
0.62	143.93	79.68
0.63	144.24	82.49
0.64	143.64	84.63
0.65	142.76	85.44
0.66	141.95	85.38
0.67	141.54	85.23
0.68	141.52	85.18
0.69	141.85	85.05
0.7	142.46	84.9
0.71	143.17	84.66
0.72	143.64	84.3
0.73	143.71	83.88
0.74	143.47	83.56
0.75	142.7	83.36
0.76	141.3	82.76
0.77	140.14	81.23
0.78	139.54	78.49
0.79	137.37	73.91
0.8	130.94	66.62
0.81	0	57.16
0.82	0	48.26
0.83	0	45.75
0.84	0	44.34
0.85	0	47.17
0.86	0	53.7
0.87	0	55.57
0.88	0	61.45
0.89	145.15	71.22
0.9	132.45	76.01
0.91	122.04	77.09
0.92	119.76	76.62
0.93	115.35	75.42
0.94	113.03	74.5
0.95	110.44	73.85
0.96	108.12	73.21
0.97	106.61	72.97
0.98	105.6	73.16
0.99	104.66	73.38
1	102.99	73.07
1.01	101.51	72.55
1.02	100.55	71.64
1.03	98.26	68.95
1.04	96.97	63.96
1.05	95.56	61.06
1.06	93.5	62.03
1.07	92.62	64.27
1.08	93.26	65.95
1.09	94.29	65.84
1.1	0	64.7
1.11	0	66.03
1.12	0	64.21
1.13	0	59.43
1.14	0	58.16
1.15	0	52.37
1.16	0	46.8
1.17	0	42.6
1.18	0	33.33
1.19	0	28.23
1.2	0	28.42
1.21	0	28.8
1.22	0	29.06
1.23	0	26.86
1.24	0	25.3
1.25	0	26.23
1.26	0	28.08
1.27	0	29.24
1.28	0	29.93
1.29	0	29.33
1.3	0	28.49
1.31	0	28.92
1.32	0	30.33
1.33	0	31.86
1.34	0	32.67
1.35	0	33.14
1.36	0	32.03
1.37	0	31.17
1.38	0	33.29
1.39	0	37.37
1.4	0	37.7
1.41	0	34.84
1.42	0	32.48
1.43	0	30.61
1.44	0	29.81
1.45	0	29.49
1.46	0	28.71
1.47	0	27.95
1.48	0	27.74
1.49	0	28.29
1.5	0	28.63
1.51	0	0
1.52	0	0
?	?	?
