time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.45
0.04	0	28.41
0.05	0	28.69
0.06	0	29.98
0.07	0	32.72
0.08	0	34.68
0.09	0	36.59
0.1	0	39.19
0.11	0	41.98
0.12	0	44.79
0.13	0	48.09
0.14	0	50.83
0.15	0	53.55
0.16	0	56.44
0.17	0	59.28
0.18	0	60.92
0.19	0	60.83
0.2	0	59.69
0.21	0	67.49
0.22	158.59	74.97
0.23	157.39	77.58
0.24	156.13	78.9
0.25	154.33	80.25
0.26	152.82	81.3
0.27	152.04	81.81
0.28	151.48	81.83
0.29	151.42	81.46
0.3	153.05	81.13
0.31	155.25	81.21
0.32	157.99	81.57
0.33	160.3	81.97
0.34	161.18	81.7
0.35	160.56	81.18
0.36	158.97	81.08
0.37	156.78	81.42
0.38	154.22	81.98
0.39	151.9	82.45
0.4	149.44	82.47
0.41	147.18	82.01
0.42	145.24	81.41
0.43	144.22	81.41
0.44	144.06	81.65
0.45	143.32	80.94
0.46	141.87	79.32
0.47	141.14	78.21
0.48	141.36	78.14
0.49	142.04	78.86
0.5	142.56	79.66
0.51	142.39	79.74
0.52	141.42	77.8
0.53	140.56	72.99
0.54	141.31	69.81
0.55	142.45	70.18
0.56	144.14	72.79
0.57	144.63	76.45
0.58	144.72	78.64
0.59	145.63	79.81
0.6	147.01	80.79
0.61	148.37	81.73
0.62	150.27	82.49
0.63	152.77	83.09
0.64	155.48	83.58
0.65	158.41	84.1
0.66	160.58	84.68
0.67	162	85.16
0.68	163.04	85.65
0.69	163.08	86
0.7	162.12	86.09
0.71	160.77	86.05
0.72	159.37	85.79
0.73	158.1	84.76
0.74	155.12	81.8
0.75	0	75.29
0.76	0	64.2
0.77	0	56.27
0.78	0	58.06
0.79	0	59.26
0.8	0	60.16
0.81	0	61.5
0.82	0	62.24
0.83	0	62.82
0.84	0	64.47
0.85	0	65.92
0.86	0	65.59
0.87	0	63.26
0.88	0	56.99
0.89	0	44.74
0.9	0	42.94
0.91	0	57.05
0.92	0	62.56
0.93	0	64.02
0.94	0	66.44
0.95	150.71	70.61
0.96	145.83	72.43
0.97	141.87	72.24
0.98	139.13	71.42
0.99	137.56	70.51
1	137.22	69.73
1.01	137.16	69.42
1.02	137.05	69.67
1.03	136.73	70.25
1.04	136.34	70.85
1.05	136.07	71.23
1.06	135.81	71.41
1.07	135.56	71.51
1.08	135.59	71.6
1.09	135.8	71.8
1.1	135.87	71.92
1.11	136.21	71.71
1.12	134.86	70.24
1.13	134.15	68.39
1.14	134.84	68.7
1.15	135.33	69.25
1.16	135.34	69.33
1.17	135.35	69.27
1.18	135.63	69.21
1.19	136.76	69.93
1.2	140.5	73.51
1.21	141.1	76.58
1.22	141.38	77.75
1.23	141.89	78.47
1.24	142.49	78.82
1.25	143.33	79.02
1.26	144.15	79.24
1.27	144.52	79.41
1.28	144.3	79.45
1.29	143.84	79.47
1.3	143.07	79.3
1.31	141.99	79.01
1.32	140.68	78.62
1.33	139.24	77.49
1.34	136.89	74.3
1.35	136.48	70.37
1.36	136.38	69.27
1.37	135.96	70.2
1.38	135.56	72
1.39	132.72	72.34
1.4	130.4	72.17
1.41	129.12	71.72
1.42	127.62	69.93
1.43	123.89	65.39
1.44	122.5	59.33
1.45	0	53
1.46	0	49.95
1.47	0	60.06
1.48	0	68.13
1.49	0	71.7
1.5	0	71.68
1.51	0	69.16
1.52	0	65.49
1.53	110.43	62.94
1.54	108.67	61.9
1.55	109.02	61.39
1.56	0	60.99
1.57	0	59.81
1.58	0	58.46
1.59	0	55.93
1.6	0	48.48
1.61	0	35.01
1.62	0	29.17
1.63	0	31.34
1.64	0	34.83
1.65	0	33.25
1.66	0	29.45
1.67	0	28.42
1.68	0	28.7
1.69	0	29.86
1.7	0	31.49
1.71	0	32.49
1.72	0	32.7
1.73	0	32.71
1.74	0	31.73
1.75	0	29.75
1.76	0	28.91
1.77	0	28.18
1.78	0	27.81
1.79	0	27.17
1.8	0	26.94
1.81	0	27.57
1.82	0	28.58
1.83	0	29.22
1.84	0	29.47
1.85	0	28.77
1.86	0	28.29
1.87	0	40.61
1.88	0	52.82
1.89	0	55.58
1.9	0	49.69
1.91	0	34.23
1.92	0	29
1.93	0	39.65
1.94	0	52.23
1.95	0	57.14
1.96	0	53.93
1.97	0	44.84
1.98	0	41.92
1.99	0	39.83
2	0	39.65
2.01	0	39.68
2.02	0	39.12
2.03	0	38.17
2.04	0	35.18
2.05	0	32.27
2.06	0	33.35
2.07	0	36.16
2.08	0	34.42
2.09	0	30.71
2.1	0	29.83
2.11	0	28.83
2.12	0	0
2.13	0	0
2.14	0	0
