time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	16.59
0.04	0	16.47
0.05	0	16.13
0.06	0	16.83
0.07	0	17.15
0.08	0	16.82
0.09	0	16.54
0.1	0	16.23
0.11	0	15.81
0.12	0	16.34
0.13	0	30.42
0.14	0	42.8
0.15	0	48.95
0.16	0	51.93
0.17	0	56.63
0.18	153.86	62.96
0.19	143.57	68.51
0.2	137.34	72.02
0.21	136.41	74.06
0.22	136.94	77.18
0.23	141.99	80.21
0.24	135.87	80.99
0.25	134.46	81.87
0.26	133.86	83.54
0.27	132.69	84.21
0.28	131.31	83.7
0.29	128.27	82
0.3	125.96	78.65
0.31	119.97	72.9
0.32	0	64.22
0.33	0	60.36
0.34	0	61.56
0.35	0	62.04
0.36	0	61.24
0.37	0	60.74
0.38	0	60.52
0.39	0	59.63
0.4	0	57.66
0.41	0	55.22
0.42	0	52.24
0.43	0	52.69
0.44	133.32	60.03
0.45	134.81	65.42
0.46	134.91	69.01
0.47	134.04	72.18
0.48	137.4	74.75
0.49	131.34	75.77
0.5	129.61	76.99
0.51	129.31	79.05
0.52	128.58	79.8
0.53	126.7	78.8
0.54	124.85	77.45
0.55	122.12	77.07
0.56	119.45	76.87
0.57	117.1	76.49
0.58	113.84	75.58
0.59	110.17	73.4
0.6	0	68.69
0.61	0	61.14
0.62	0	54.97
0.63	0	57.13
0.64	0	59.44
0.65	0	59.01
0.66	0	58.36
0.67	0	58.68
0.68	0	57.62
0.69	0	56.08
0.7	0	53.55
0.71	0	50.63
0.72	0	47.61
0.73	0	43.15
0.74	0	35.79
0.75	0	27.92
0.76	0	23.42
0.77	0	22.86
0.78	0	24.56
0.79	0	33.19
0.8	0	48.46
0.81	0	58
0.82	114.34	62.09
0.83	115.18	63.61
0.84	115.11	64.31
0.85	115.22	64.19
0.86	115.7	63.13
0.87	116.88	61.69
0.88	117.94	60.85
0.89	119.31	60.55
0.9	121.89	61.23
0.91	127.62	64.28
0.92	132.42	68.77
0.93	134.55	73.03
0.94	134.31	75.84
0.95	132.42	76.18
0.96	128.02	74.2
0.97	0	70.43
0.98	0	66.27
0.99	0	63.67
1	0	58.75
1.01	0	55.84
1.02	0	51.11
1.03	0	45.38
1.04	0	48.64
1.05	0	51.64
1.06	110.48	54.98
1.07	109.71	56.98
1.08	109.2	57.65
1.09	103.81	57.41
1.1	101.32	57.37
1.11	99.89	57.58
1.12	98.93	56.65
1.13	98.25	54.12
1.14	0	51.63
1.15	0	50.97
1.16	0	50.99
1.17	0	51.06
1.18	0	51.04
1.19	0	52.41
1.2	98.34	57.51
1.21	96.25	61.69
1.22	95.57	63.02
1.23	95.11	63.42
1.24	94.3	63.6
1.25	93.68	63.79
1.26	94.16	63.97
1.27	93.99	64.13
1.28	93.8	64.32
1.29	94.12	65
1.3	94.28	65.69
1.31	94.72	65.31
1.32	95.45	64.35
1.33	96.55	63.59
1.34	98.12	62.58
1.35	100.66	60.91
1.36	107.71	59.96
1.37	110.87	58.67
1.38	0	55.36
1.39	0	50.44
1.4	0	43.75
1.41	0	36.57
1.42	0	32.61
1.43	0	30.26
1.44	0	28.44
1.45	0	30.31
1.46	0	32.53
1.47	0	28.87
1.48	0	23.48
1.49	0	21.18
1.5	0	0
1.51	0	0
1.52	0	0
