time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.57
0.04	0	30.7
0.05	0	30.96
0.06	0	30.84
0.07	0	31.48
0.08	0	33.46
0.09	0	36.96
0.1	0	39.8
0.11	0	41.44
0.12	0	41.73
0.13	0	41.86
0.14	0	45.83
0.15	0	62.08
0.16	0	75.32
0.17	101.99	81.51
0.18	105.6	83.16
0.19	108.2	83.71
0.2	107.73	84.18
0.21	107.63	84.51
0.22	107	84
0.23	105.44	81.47
0.24	102.55	75.54
0.25	99.92	67.55
0.26	98.31	63.12
0.27	97.11	61.01
0.28	96.63	59.04
0.29	97.1	57.34
0.3	99.76	58.96
0.31	103.45	64.47
0.32	106.36	71.31
0.33	108.09	76.51
0.34	108.78	79.24
0.35	109.24	79.99
0.36	109.44	79.68
0.37	108.96	78.28
0.38	108.31	76.31
0.39	107.82	75.02
0.4	107.27	73.88
0.41	106.75	72.77
0.42	106	72.02
0.43	104.79	71.49
0.44	103.3	70.57
0.45	101	68.37
0.46	100.89	65.06
0.47	101.08	63.28
0.48	99.92	62.46
0.49	100.01	61.45
0.5	99.7	60.38
0.51	101.43	59.08
0.52	106.14	59.98
0.53	109.79	63.54
0.54	111.77	68.33
0.55	112.24	73.58
0.56	110.67	77.88
0.57	108.19	80.4
0.58	106.8	81.53
0.59	106.77	82.18
0.6	106.99	82.55
0.61	107	82.8
0.62	106.72	82.87
0.63	106.31	82.57
0.64	105.93	82.11
0.65	105.81	81.84
0.66	105.85	81.44
0.67	105.68	80.65
0.68	105.34	79.53
0.69	105.05	78.07
0.7	104.92	76.01
0.71	103.8	72.53
0.72	102.73	67.15
0.73	102.77	64.92
0.74	102.56	67.43
0.75	102.5	70.19
0.76	103.17	72.13
0.77	103.7	73.28
0.78	103.69	73.3
0.79	103.2	72.11
0.8	102.46	69.63
0.81	100.74	65.46
0.82	0	59.03
0.83	0	51.58
0.84	0	48.58
0.85	0	47.87
0.86	0	51.46
0.87	0	56.08
0.88	0	60.25
0.89	0	64.29
0.9	0	67.48
0.91	0	68.8
0.92	0	68.8
0.93	0	68.08
0.94	0	63.97
0.95	0	58.15
0.96	111.2	62.89
0.97	111.07	68.84
0.98	100.94	70.66
0.99	92.82	70.03
1	92.77	67.74
1.01	92.28	63.45
1.02	92.15	60.77
1.03	92.01	60.61
1.04	91.95	60.51
1.05	91.82	60.44
1.06	91.71	60.38
1.07	92.03	60.37
1.08	92.63	60.5
1.09	93.13	60.72
1.1	94.1	62.41
1.11	94.26	67.39
1.12	94.12	71.25
1.13	94.69	72.9
1.14	95.54	73.58
1.15	96.7	74.16
1.16	97.39	74.45
1.17	97.59	74.42
1.18	97.41	73.79
1.19	96.77	71.99
1.2	96.22	67.88
1.21	99.21	63.62
1.22	100.91	64.53
1.23	98.44	66.07
1.24	97.24	65.93
1.25	97.45	65.23
1.26	97.24	64.61
1.27	95.97	63.98
1.28	94.89	63.39
1.29	94.57	63.29
1.3	94.34	63.62
1.31	94.43	64.19
1.32	94.73	64.87
1.33	94.96	65.56
1.34	95	66.12
1.35	94.91	66.31
1.36	94.94	66.21
1.37	95.05	66.03
1.38	94.72	65.34
1.39	91.98	63.3
1.4	0	59.5
1.41	0	59.67
1.42	0	62.67
1.43	0	64.55
1.44	0	66.04
1.45	0	67.47
1.46	0	68.25
1.47	0	68.68
1.48	0	67.67
1.49	0	63.97
1.5	0	60.95
1.51	0	68.16
1.52	93.98	72.81
1.53	96.29	73.87
1.54	98.18	74.15
1.55	97.78	74.03
1.56	97.19	73.1
1.57	96.35	71.28
1.58	95.31	67.87
1.59	95.09	63.04
1.6	95.39	60.49
1.61	95.13	59.96
1.62	94.31	58.86
1.63	0	56.72
1.64	0	53
1.65	0	45.85
1.66	0	41.24
1.67	0	39.86
1.68	0	37.13
1.69	0	39.38
1.7	0	42.34
1.71	0	45.36
1.72	0	46.89
1.73	0	50.69
1.74	115.08	59.68
1.75	103.26	63.78
1.76	93.06	63.81
1.77	94.09	62.34
1.78	94.94	60.72
1.79	94.85	58.85
1.8	0	56.49
1.81	0	54.2
1.82	0	52.86
1.83	0	51.69
1.84	0	50.02
1.85	0	48.51
1.86	0	46.77
1.87	0	44.2
1.88	0	41.12
1.89	0	39.41
1.9	0	38.47
1.91	0	0
1.92	0	0
1.93	0	0
?	?	?
