time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	24.85
0.04	0	24.67
0.05	0	24.49
0.06	0	24.85
0.07	0	25.08
0.08	0	25.42
0.09	0	25.51
0.1	0	25.5
0.11	0	24.77
0.12	0	35.16
0.13	0	59
0.14	0	71.77
0.15	136.26	76.49
0.16	132.5	75.49
0.17	131.57	72.61
0.18	130.87	72.17
0.19	129.92	70.94
0.2	129.98	66.98
0.21	130.27	62.37
0.22	130.94	64.61
0.23	133.69	68.15
0.24	135	70.3
0.25	137.87	72.3
0.26	138.09	74.82
0.27	136.37	76.86
0.28	134.89	78.5
0.29	134.34	79.54
0.3	135.07	79.83
0.31	135.79	79.88
0.32	135.36	80.78
0.33	133.33	82.17
0.34	130.86	82.83
0.35	127.88	82.37
0.36	124.68	81.52
0.37	121.68	80.43
0.38	118.29	78.09
0.39	116.87	72.23
0.4	112.56	67.03
0.41	112.2	70.79
0.42	111.62	72.35
0.43	109	70.41
0.44	105.53	65.64
0.45	0	57.61
0.46	0	43.96
0.47	0	31.11
0.48	0	28.59
0.49	0	44.45
0.5	0	59.25
0.51	0	65.99
0.52	0	66.24
0.53	0	62.54
0.54	0	60.92
0.55	156.76	64.97
0.56	155.42	69.01
0.57	153.36	70.04
0.58	149.89	69.61
0.59	141.33	69.69
0.6	135.58	70.38
0.61	126.35	71.88
0.62	125.04	72.92
0.63	124.19	72.13
0.64	123.36	68.38
0.65	128.58	63.87
0.66	130.36	62.36
0.67	130.08	61.93
0.68	129.54	61.87
0.69	130.25	63.53
0.7	128.45	66
0.71	127.04	67.25
0.72	125.14	67.37
0.73	122.78	66.53
0.74	117.87	65.06
0.75	113.41	63.07
0.76	107.2	60.61
0.77	0	57.82
0.78	0	55.51
0.79	0	52.28
0.8	0	43.41
0.81	0	37.76
0.82	0	38.29
0.83	0	32.83
0.84	0	32.97
0.85	0	39.23
0.86	0	39.35
0.87	0	32.9
0.88	0	28.13
0.89	0	27.03
0.9	0	28.95
0.91	0	45.7
0.92	0	60.33
0.93	120.58	68.64
0.94	121.91	72.74
0.95	122.58	74.57
0.96	121.42	76
0.97	120.97	75.88
0.98	120.29	75.46
0.99	119.08	75.43
1	117.99	75.13
1.01	116.6	73.41
1.02	115.69	69.38
1.03	116.14	64.44
1.04	115.95	62.01
1.05	115.62	60.69
1.06	115.37	59.69
1.07	115.34	59.11
1.08	113.93	58.83
1.09	110.62	59.1
1.1	104.94	62.03
1.11	105.64	67.29
1.12	106.66	70.66
1.13	106.19	71.03
1.14	105.47	69.78
1.15	106.02	68.55
1.16	106.18	67.22
1.17	106.01	66.23
1.18	105.74	65.75
1.19	106.44	66.69
1.2	107.87	70.53
1.21	107.86	73.02
1.22	106.92	73.81
1.23	106.11	73.95
1.24	104.85	73.49
1.25	104.02	72.98
1.26	101.76	72.02
1.27	99.63	70.82
1.28	87.08	70.04
1.29	0	67.61
1.3	0	62.2
1.31	0	56.42
1.32	0	45.44
1.33	0	33.79
1.34	0	30.75
1.35	0	27.59
1.36	0	28.22
1.37	0	51.38
1.38	0	64.43
1.39	0	68.06
1.4	0	64.23
1.41	0	60.09
1.42	0	63.96
1.43	142.67	70.51
1.44	135.9	75.14
1.45	129.73	78.44
1.46	126.26	80.66
1.47	122.62	81.51
1.48	120.19	81.44
1.49	118.94	81.04
1.5	118.87	80.72
1.51	118.35	80.33
1.52	117.28	79.95
1.53	116.29	79.7
1.54	115.76	79.37
1.55	114.06	78.96
1.56	109.21	78.43
1.57	0	77.83
1.58	0	76.87
1.59	0	74.65
1.6	0	69.87
1.61	0	61.26
1.62	0	48.63
1.63	0	40.21
1.64	0	33.31
1.65	0	32.44
1.66	0	51.49
1.67	0	61.81
1.68	0	65.18
1.69	0	62.84
1.7	0	58.51
1.71	0	60.18
1.72	121.87	63.38
1.73	114	64.36
1.74	108.99	64.79
1.75	105.1	65.15
1.76	101.6	65.69
1.77	99.82	66.41
1.78	99.18	66.94
1.79	98.67	67.34
1.8	98.98	67.62
1.81	100.03	67.52
1.82	101.42	66.78
1.83	102	64.51
1.84	100.9	60.54
1.85	0	59.8
1.86	0	61.77
1.87	0	62.03
1.88	0	60.66
1.89	0	60.18
1.9	0	60.09
1.91	0	61.15
1.92	0	64.49
1.93	0	64.89
1.94	0	60.02
1.95	0	55.11
1.96	0	54.99
1.97	101.53	56.29
1.98	104.19	57.96
1.99	105.51	59.53
2	106.42	61.05
2.01	107.52	62.49
2.02	108.42	63.7
2.03	108.84	65.05
2.04	107.46	66.52
2.05	107.33	68.15
2.06	107.03	69.62
2.07	105.87	70.2
2.08	103.98	69.8
2.09	101.02	69.02
2.1	98.19	68.71
2.11	97.66	68.16
2.12	97.63	66.61
2.13	97.11	63.92
2.14	96.75	59.8
2.15	0	59.23
2.16	0	64.32
2.17	0	67.76
2.18	0	69.5
2.19	0	70.18
2.2	0	70.27
2.21	0	68.83
2.22	0	66.09
2.23	0	62.79
2.24	0	56.63
2.25	0	46.28
2.26	0	31.72
2.27	0	25.6
2.28	0	25.08
2.29	0	41.72
2.3	0	53.88
2.31	0	57.23
2.32	0	53.53
2.33	0	45.17
2.34	0	40.15
2.35	0	36.12
2.36	0	30.88
2.37	0	28.73
2.38	0	27.23
2.39	0	25.73
2.4	0	25.01
2.41	0	25.13
2.42	0	24.94
2.43	0	0
2.44	0	0
2.45	0	0
