time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.08
0.04	0	29.18
0.05	0	29.45
0.06	0	29.31
0.07	0	29.46
0.08	0	29.39
0.09	0	28.57
0.1	0	28.29
0.11	0	29.31
0.12	0	30.17
0.13	0	33.15
0.14	0	40.53
0.15	0	43.69
0.16	0	40.99
0.17	0	36.31
0.18	0	41.04
0.19	0	51.23
0.2	0	53.78
0.21	0	48.09
0.22	0	39.46
0.23	0	45.48
0.24	0	49.59
0.25	0	55.04
0.26	150.22	66.85
0.27	146.44	73.18
0.28	142.27	76.3
0.29	141.33	77.62
0.3	138.34	77.53
0.31	134.04	76.61
0.32	131.46	75.13
0.33	126.18	71.63
0.34	125.12	71.23
0.35	128.92	76.59
0.36	129.81	80.15
0.37	128.96	81.5
0.38	127.43	82.15
0.39	126.36	83.09
0.4	126.05	83.72
0.41	126.77	84.19
0.42	127.77	84.79
0.43	128.54	84.77
0.44	129.93	84.2
0.45	131.52	83.56
0.46	132.72	82.99
0.47	134.22	82.48
0.48	136.23	82.32
0.49	138.47	82.58
0.5	140.14	83.21
0.51	141.17	83.22
0.52	142.56	81.69
0.53	145.35	78.79
0.54	147.37	74.51
0.55	0	67.2
0.56	0	65.97
0.57	0	70
0.58	0	72.21
0.59	0	74.11
0.6	0	75.69
0.61	0	75.34
0.62	0	74.65
0.63	0	74.26
0.64	0	74.18
0.65	0	73.45
0.66	0	71.29
0.67	0	68.57
0.68	0	63.92
0.69	0	64.13
0.7	138.28	68.76
0.71	137.96	70.37
0.72	136.22	70.58
0.73	134.11	70.32
0.74	132.81	69.72
0.75	132.54	68.91
0.76	133.36	68.28
0.77	134.33	67.93
0.78	134.84	67.71
0.79	134.92	67.51
0.8	134.64	67.16
0.81	133.48	66.43
0.82	131.62	64.92
0.83	131.19	63.02
0.84	131.23	62.06
0.85	130.44	61.42
0.86	129.8	60.79
0.87	129.44	60.48
0.88	129.48	61
0.89	126.63	61.14
0.9	124.25	59.85
0.91	125.71	61.54
0.92	126.74	64.68
0.93	127.09	68.12
0.94	126.95	71.04
0.95	126.15	72.72
0.96	125.55	73.68
0.97	124.94	74.95
0.98	124.21	76.58
0.99	123.84	77.77
1	123.94	77.97
1.01	124.2	77.49
1.02	124.5	76.91
1.03	124.73	76.51
1.04	124.61	76.28
1.05	123.56	76.05
1.06	121.76	75.26
1.07	119.63	72.85
1.08	0	66.35
1.09	0	55.12
1.1	0	52.54
1.11	0	63.37
1.12	0	69.93
1.13	121.96	71.69
1.14	121.15	70.85
1.15	118.62	69.46
1.16	117.39	68.99
1.17	118.73	68.78
1.18	121.63	66.28
1.19	0	61.8
1.2	0	58.59
1.21	0	56.16
1.22	0	55.49
1.23	0	55.98
1.24	0	57.44
1.25	0	62.62
1.26	139.78	68.58
1.27	137.83	72.98
1.28	133.16	75.6
1.29	129.45	76.64
1.3	128.28	77.02
1.31	127.79	77.08
1.32	126.42	76.79
1.33	124.63	76.08
1.34	123.08	74.8
1.35	121.71	72.37
1.36	121.14	68.7
1.37	0	63.6
1.38	0	55.18
1.39	0	40.18
1.4	0	25.88
1.41	0	25.03
1.42	0	27.43
1.43	0	30.89
1.44	0	35.24
1.45	0	39.93
1.46	0	44.96
1.47	0	54.22
1.48	0	60.87
1.49	0	61.33
1.5	0	60.17
1.51	0	63.08
1.52	0	65.95
1.53	0	64.44
1.54	0	62.19
1.55	0	61.06
1.56	0	56.84
1.57	0	55.46
1.58	0	56.33
1.59	0	58.32
1.6	0	61.28
1.61	0	63.74
1.62	0	65.16
1.63	0	65.61
1.64	0	66.08
1.65	0	65.39
1.66	0	62.6
1.67	0	59.93
1.68	0	59.15
1.69	0	57.5
1.7	0	55.44
1.71	0	53.07
1.72	0	47.85
1.73	0	40.45
1.74	0	37.57
1.75	0	38.53
1.76	0	38.33
1.77	0	37.46
1.78	0	35.59
1.79	0	32.44
1.8	0	31.95
1.81	0	32.4
1.82	0	32.39
1.83	0	0
1.84	0	0
?	?	?
