time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	25.6
0.04	0	26.62
0.05	0	27.49
0.06	0	26.94
0.07	0	27.05
0.08	0	26.64
0.09	0	25.97
0.1	0	28.98
0.11	0	41.48
0.12	0	53.16
0.13	0	58.78
0.14	156.59	60.58
0.15	151.81	61.35
0.16	150.55	62.09
0.17	150.33	63.74
0.18	150.74	69.35
0.19	151.76	74.94
0.2	153.25	78.12
0.21	154.1	79.76
0.22	154.14	80.61
0.23	154.99	81.3
0.24	156.53	81.91
0.25	158.16	82.35
0.26	159.64	82.61
0.27	160.65	82.61
0.28	161.06	82.45
0.29	161.13	82.17
0.3	160.17	80.78
0.31	156.89	75.78
0.32	156.03	72.73
0.33	157.86	78.85
0.34	157.22	81.1
0.35	154.66	80.52
0.36	150.91	78.84
0.37	145.05	75.77
0.38	0	69.69
0.39	0	58.82
0.4	0	41.07
0.41	0	29.23
0.42	0	27.5
0.43	0	34.09
0.44	0	50.65
0.45	0	60.84
0.46	0	65.97
0.47	0	65.18
0.48	0	61.22
0.49	0	61.23
0.5	0	59.94
0.51	0	58.7
0.52	0	58.98
0.53	179.81	68.51
0.54	177.05	76.4
0.55	171.98	79.67
0.56	169.29	80.56
0.57	168.35	80.35
0.58	167.6	79.63
0.59	167.5	79.18
0.6	167.97	79.31
0.61	168.97	79.91
0.62	169.03	79.78
0.63	168.71	79.17
0.64	169.18	78.91
0.65	169.08	77.71
0.66	167.8	74.47
0.67	166.61	68.44
0.68	166.11	64.77
0.69	165.84	65.17
0.7	167.42	68.93
0.71	168.61	72.84
0.72	169.46	74.61
0.73	171.91	75.39
0.74	173.78	75.62
0.75	174.7	75.68
0.76	175.34	75.84
0.77	175.81	76.18
0.78	175.65	76.72
0.79	174.93	77.43
0.8	173.84	78.28
0.81	172.28	79.28
0.82	170.11	80.16
0.83	166.99	80.56
0.84	162.81	80.21
0.85	158.51	79.16
0.86	154.87	77.01
0.87	150.23	72.93
0.88	0	67.81
0.89	0	64.91
0.9	0	63.9
0.91	0	63.24
0.92	0	62.03
0.93	0	59.78
0.94	0	54.74
0.95	0	45.85
0.96	0	39.37
0.97	0	47.84
0.98	155.02	58.01
0.99	152.02	64.8
1	149.08	68.98
1.01	148.74	70.6
1.02	147.35	69.87
1.03	144.88	67.19
1.04	142.88	63.6
1.05	141.48	61.68
1.06	139.68	61.73
1.07	138.32	62.19
1.08	137.65	61.94
1.09	137.26	61.03
1.1	136.93	60.23
1.11	135.87	59.52
1.12	134.1	58.54
1.13	132.02	57.26
1.14	129.85	56.47
1.15	130.71	60.47
1.16	135.33	67.43
1.17	140.18	72.46
1.18	143.98	74.79
1.19	146.22	75.29
1.2	147	74.89
1.21	147.64	73.78
1.22	147.74	71.99
1.23	147.03	69.73
1.24	145.06	67.51
1.25	143.54	66.59
1.26	143.74	66.37
1.27	143.5	66.3
1.28	146.11	65.96
1.29	149.09	66.48
1.3	149.64	67.71
1.31	150.84	70.07
1.32	151.86	72.4
1.33	152.47	73.54
1.34	152.01	73.1
1.35	148.54	70.36
1.36	143.76	64.42
1.37	140.41	57.77
1.38	138.31	56.37
1.39	138.21	61.05
1.4	139.61	66.49
1.41	142.41	70.16
1.42	145.69	72.52
1.43	147.66	74.43
1.44	148.46	75.84
1.45	148.27	76.41
1.46	146.8	75.89
1.47	144.63	74.67
1.48	142.55	73.3
1.49	140.54	71.8
1.5	137.89	69.22
1.51	0	63.83
1.52	0	53.62
1.53	0	37.38
1.54	0	26.53
1.55	0	25.94
1.56	0	26.16
1.57	0	33.58
1.58	0	54.22
1.59	0	64.76
1.6	0	68.91
1.61	0	67.52
1.62	0	64.56
1.63	0	63.67
1.64	0	62.28
1.65	0	61.05
1.66	0	60.76
1.67	0	62.97
1.68	0	72.39
1.69	154.51	79.32
1.7	151.71	82.21
1.71	147.59	83.32
1.72	145.33	83.69
1.73	143.89	83.57
1.74	142.83	83.12
1.75	142.23	82.49
1.76	142.4	81.72
1.77	143.93	80.77
1.78	0	78.91
