time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	42.72
0.05	0	39.82
0.06	0	37.64
0.07	0	39.88
0.08	0	48.1
0.09	0	55.72
0.1	0	58.16
0.11	0	55.13
0.12	0	56.76
0.13	0	66.61
0.14	0	74
0.15	0	76.86
0.16	0	75.24
0.17	0	72.07
0.18	0	66.66
0.19	0	58.71
0.2	0	54.67
0.21	0	52.99
0.22	0	51.87
0.23	0	50.78
0.24	0	50.6
0.25	0	56.16
0.26	0	68.48
0.27	0	76.45
0.28	77.12	79.11
0.29	87.26	80.14
0.3	88.82	81.25
0.31	89.72	82.02
0.32	90.09	82.55
0.33	89.63	82.48
0.34	88.87	81.76
0.35	0	79.81
0.36	0	74.63
0.37	0	64.21
0.38	0	61.66
0.39	0	68.64
0.4	0	72.78
0.41	83.83	74.92
0.42	86.63	75.5
0.43	90.22	76.01
0.44	90.72	75.54
0.45	89.15	74.41
0.46	89	73.13
0.47	84.94	71.47
0.48	83.5	69.36
0.49	0	68.1
0.5	0	68.14
0.51	0	67.91
0.52	0	67.64
0.53	0	68.83
0.54	0	72.55
0.55	0	75.32
0.56	0	76.19
0.57	0	74.29
0.58	0	68.97
0.59	0	70.65
0.6	0	74.83
0.61	89.44	73.5
0.62	89.47	70.05
0.63	91.51	66.42
0.64	95.75	65.09
0.65	94.05	65.12
0.66	90.7	64.78
0.67	92.36	64.51
0.68	92.37	64.27
0.69	88.39	63.3
0.7	88.88	61.66
0.71	88.44	59.06
0.72	0	54.29
0.73	0	53.1
0.74	0	57.72
0.75	0	61.12
0.76	0	63.18
0.77	0	68.98
0.78	0	74.21
0.79	89.65	77.26
0.8	89.73	79.31
0.81	90.45	79.8
0.82	90.66	79.16
0.83	92.22	78.53
0.84	94.32	78.23
0.85	95.77	78.1
0.86	97.66	77.89
0.87	98.8	77.94
0.88	99.13	78.23
0.89	99.52	78.57
0.9	100.09	78.69
0.91	100.04	78.73
0.92	99.16	78.44
0.93	98.15	77.19
0.94	97.09	74.15
0.95	0	67.98
0.96	0	59.78
0.97	0	54.41
0.98	0	48.81
0.99	0	46.39
1	0	52.77
1.01	0	57.9
1.02	0	62.48
1.03	0	70.56
1.04	90.5	74.89
1.05	93.45	75.99
1.06	92.89	76.79
1.07	92.71	76.92
1.08	90.65	76.24
1.09	89.03	74.25
1.1	91.45	71.03
1.11	90.06	67.43
1.12	0	61.97
1.13	0	53.18
1.14	0	44.89
1.15	0	40.92
1.16	0	39.53
1.17	0	38.13
1.18	0	57.48
1.19	0	71.31
1.2	0	75.84
1.21	0	73.74
1.22	0	68.21
1.23	0	69.39
1.24	107.24	74.73
1.25	101.85	76.27
1.26	98.6	74.51
1.27	0	69.46
1.28	0	59.74
1.29	0	45.86
1.3	0	37.72
1.31	0	47.75
1.32	0	62.93
1.33	0	67.18
1.34	0	64.12
1.35	0	66.73
1.36	0	73.99
1.37	0	75.8
1.38	0	73.72
1.39	0	68.03
1.4	0	58.37
1.41	0	53.6
1.42	0	51.97
1.43	0	58.13
1.44	0	61.93
1.45	0	58.31
1.46	0	54.94
1.47	0	56.82
1.48	0	60.47
1.49	0	67.7
1.5	0	73.63
1.51	0	77.14
1.52	0	79.12
1.53	0	79.54
1.54	0	79.53
1.55	0	79.31
1.56	0	78.26
1.57	0	76.95
1.58	0	75.72
1.59	0	72.95
1.6	0	67.76
1.61	0	62.13
1.62	0	62.92
1.63	0	65.61
1.64	0	67.2
1.65	0	66.77
1.66	0	67.23
1.67	0	66.62
1.68	0	65.34
1.69	0	62.79
1.7	0	58.17
1.71	0	52.85
1.72	0	55.2
1.73	0	65.41
1.74	0	73.64
1.75	0	77.34
1.76	0	76.07
1.77	0	70.98
1.78	0	67.33
1.79	0	67.05
1.8	0	62.82
1.81	0	57.22
1.82	0	54.79
1.83	0	52.96
1.84	0	53.72
1.85	0	55.98
1.86	0	57.64
1.87	0	60.4
1.88	0	65.83
1.89	0	68.62
1.9	0	68.52
1.91	0	69.83
1.92	0	69.37
1.93	0	68.47
1.94	0	68.05
1.95	0	67.63
1.96	0	66.75
1.97	0	62.23
1.98	0	57.45
1.99	0	56.14
2	0	55.98
2.01	0	55.5
2.02	0	52.67
2.03	0	48.11
2.04	0	44.47
2.05	0	43.46
2.06	0	42.79
2.07	0	0
2.08	0	0
2.09	0	0
