time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.37
0.04	0	36.51
0.05	0	36.46
0.06	0	33.97
0.07	0	29.2
0.08	0	27.34
0.09	0	27.96
0.1	0	30.37
0.11	0	33.77
0.12	0	38.29
0.13	0	52.14
0.14	0	61.49
0.15	0	66.22
0.16	0	72.18
0.17	0	74.02
0.18	0	75.87
0.19	93.82	77.39
0.2	107.21	77.7
0.21	114.83	78.03
0.22	119.25	78.89
0.23	122.67	80.57
0.24	124.96	81.87
0.25	126.83	82.72
0.26	127.93	83.33
0.27	128.59	83.84
0.28	129.43	84.21
0.29	130.47	84.49
0.3	131.93	84.82
0.31	133.87	85.18
0.32	135.77	85.44
0.33	137.02	85.58
0.34	137.75	85.68
0.35	138.97	85.73
0.36	140.65	85.69
0.37	142.72	85.61
0.38	145.6	85.4
0.39	148.72	85.18
0.4	150.58	85.2
0.41	151.3	85.36
0.42	151.2	85.39
0.43	150.55	85.23
0.44	149.74	85.02
0.45	148.72	84.73
0.46	147.94	84.22
0.47	147.05	83
0.48	144.57	79.24
0.49	0	72.78
0.5	0	68.59
0.51	0	64.57
0.52	0	58.86
0.53	0	56.76
0.54	0	57.04
0.55	0	56.29
0.56	0	55.29
0.57	0	54.06
0.58	0	52.63
0.59	0	51.84
0.6	0	50.95
0.61	0	49.99
0.62	0	49.17
0.63	0	48.44
0.64	0	47.27
0.65	0	47.52
0.66	0	51
0.67	0	55.09
0.68	0	57.61
0.69	0	59.27
0.7	0	61.25
0.71	0	62.2
0.72	0	62.06
0.73	0	63.31
0.74	0	64.66
0.75	0	65.44
0.76	0	66.24
0.77	0	66.82
0.78	0	66.82
0.79	0	67.16
0.8	0	67.26
0.81	0	65.19
0.82	0	66.98
0.83	0	73.39
0.84	134.93	76.34
0.85	135.1	77.7
0.86	133.36	77.96
0.87	131.45	78.39
0.88	130.54	79.58
0.89	130.04	80.13
0.9	129.42	79.89
0.91	128.78	78.83
0.92	127.99	76.81
0.93	124.86	72.95
0.94	126.06	68.98
0.95	126.85	73.16
0.96	125.53	76.7
0.97	121.33	78.58
0.98	117.55	79.41
0.99	113.12	78.91
1	108.81	79.14
1.01	105.4	79.51
1.02	102.43	78.84
1.03	100.06	78.06
1.04	97.63	77.59
1.05	95.56	76.52
1.06	90.55	74.43
1.07	85.5	71.2
1.08	0	66.36
1.09	0	61.74
1.1	0	58.34
1.11	0	48.37
1.12	0	32.18
1.13	0	24.56
1.14	0	22.53
1.15	0	27.85
1.16	0	40.89
1.17	0	48.03
1.18	0	48.62
1.19	0	46.3
1.2	0	44.51
1.21	0	45.11
1.22	0	45.7
1.23	0	46.28
1.24	0	46.26
1.25	0	44.28
1.26	0	42.4
1.27	0	41.54
1.28	0	40.53
1.29	0	39.77
1.3	0	39.67
1.31	0	39.05
1.32	0	37.09
1.33	0	35.06
1.34	0	34.3
1.35	0	33.98
1.36	0	33.79
1.37	0	35.26
1.38	0	35.34
1.39	0	34.58
1.4	0	34.41
1.41	0	34.96
1.42	0	36.35
1.43	0	37.36
1.44	0	37.55
1.45	0	37.73
1.46	0	37.47
1.47	0	38.37
1.48	0	40.76
1.49	0	42.76
1.5	0	44.07
1.51	0	45.26
1.52	0	46.31
1.53	0	47.04
1.54	0	50.36
1.55	0	57.48
1.56	107.73	60.57
1.57	107.59	60.4
1.58	106.71	59.85
1.59	106.27	59.51
1.6	104.95	59.17
1.61	103.15	58.55
1.62	100.01	57.8
1.63	0	59.63
1.64	0	65.27
1.65	0	69.29
1.66	0	70.08
1.67	0	69.81
1.68	0	69.89
1.69	0	69.66
1.7	0	69.36
1.71	0	68.44
1.72	0	67.12
1.73	0	66.31
1.74	0	65.99
1.75	0	65.91
1.76	0	64.04
1.77	0	60.47
1.78	0	61.54
1.79	110.19	67.08
1.8	110.14	69.8
1.81	108.12	70.48
1.82	105.75	71.83
1.83	104.56	73.85
1.84	103.22	74.78
1.85	102.37	74.54
1.86	102.25	74.1
1.87	103.1	74.05
1.88	104.23	74.13
1.89	105	74.13
1.9	105.52	74.03
1.91	106.09	73.78
1.92	107.31	73.56
1.93	108.21	73.29
1.94	109.68	71.45
1.95	111.37	66.51
1.96	0	57.46
1.97	0	48.45
1.98	0	46.36
1.99	0	45.76
2	0	50.75
2.01	0	53.66
2.02	0	52.09
2.03	0	50.61
2.04	0	49.88
2.05	0	49.07
2.06	0	47.43
2.07	0	45.23
2.08	0	43.32
2.09	0	41.68
2.1	0	39.57
2.11	0	38.64
2.12	0	37.17
2.13	0	34.12
2.14	0	32.79
2.15	0	32.31
2.16	0	32.19
2.17	0	0
2.18	0	0
2.19	0	0
?	?	?
