time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.12
0.05	0	27.07
0.06	0	28.05
0.07	0	29.47
0.08	0	30.37
0.09	0	30.03
0.1	0	28.94
0.11	0	32.94
0.12	0	51.45
0.13	0	64.23
0.14	0	68.48
0.15	0	65.83
0.16	0	62.38
0.17	0	65.97
0.18	0	72.01
0.19	0	77.33
0.2	0	78.65
0.21	0	78.84
0.22	134.42	79.07
0.23	134.31	79.43
0.24	134.75	79.74
0.25	135.29	78.53
0.26	135.07	75.1
0.27	131.96	68.52
0.28	129.37	60.42
0.29	0	54.95
0.3	123.62	53.89
0.31	124.39	56.05
0.32	126.3	59.75
0.33	130.71	64.52
0.34	136.44	69.08
0.35	141.09	72.49
0.36	144.11	74.35
0.37	144.68	74.57
0.38	143.84	73.36
0.39	142.54	70.98
0.4	138.11	66.71
0.41	0	59.79
0.42	0	53.85
0.43	0	58.8
0.44	0	66.57
0.45	0	71.52
0.46	0	74.04
0.47	0	74.28
0.48	0	70.91
0.49	120.26	66.61
0.5	122.2	68.03
0.51	120.84	69.05
0.52	116.65	67.4
0.53	112.48	63.64
0.54	0	58.43
0.55	0	49.59
0.56	0	39.55
0.57	0	36.05
0.58	0	34.91
0.59	0	32.26
0.6	0	29.08
0.61	0	28.43
0.62	0	29.37
0.63	0	31.39
0.64	0	43.78
0.65	0	55.37
0.66	0	58.57
0.67	0	61.56
0.68	0	72.38
0.69	136.37	78.19
0.7	135.95	80.19
0.71	135.3	81.16
0.72	135.29	81.31
0.73	135.63	80.46
0.74	136.11	78.74
0.75	136.78	77.57
0.76	136.76	77.24
0.77	136.34	76.89
0.78	136.22	75.81
0.79	135.74	74.04
0.8	134.86	70.03
0.81	133.81	63.26
0.82	133.5	59.12
0.83	133.76	59.05
0.84	133.74	59.38
0.85	133.56	62.99
0.86	134.44	67.78
0.87	135.04	70.73
0.88	134.32	72.23
0.89	133.46	73.16
0.9	132.73	73.81
0.91	132.43	74.56
0.92	131.97	75.33
0.93	131.33	75.73
0.94	130.42	75.98
0.95	129.38	75.92
0.96	128.5	75.66
0.97	127.31	75.25
0.98	125.87	75.17
0.99	125.37	75.51
1	125.39	75.61
1.01	124.83	74.72
1.02	123.36	72.53
1.03	122.68	70.74
1.04	123.89	71.11
1.05	126.51	72.76
1.06	128.81	74.61
1.07	130.16	75.73
1.08	130.59	76.83
1.09	129.73	77.92
1.1	128.79	78.56
1.11	128.26	78.8
1.12	128.21	78.69
1.13	127.6	77.69
1.14	124.97	74.28
1.15	120.48	67.83
1.16	118.67	65.14
1.17	120.82	67.58
1.18	123.95	69.87
1.19	126	71.42
1.2	126.71	72.41
1.21	126.13	72.35
1.22	122.99	71.42
1.23	119.36	69.67
1.24	114.48	66.72
1.25	0	61.67
1.26	0	55.51
1.27	0	54.8
1.28	0	57.37
1.29	0	61.68
1.3	0	65.84
1.31	0	68.85
1.32	0	69.42
1.33	0	68.67
1.34	0	67.82
1.35	0	66.62
1.36	0	63.77
1.37	0	60.25
1.38	0	63.99
1.39	129.16	70
1.4	127.3	71.9
1.41	125.31	72.09
1.42	124.31	72.2
1.43	123.53	72.31
1.44	122.78	72.24
1.45	121.73	72.31
1.46	120.67	71.89
1.47	120.34	70.85
1.48	119.11	70.04
1.49	118.82	69.02
1.5	116.87	67.41
1.51	114.43	65.9
1.52	113.47	65.56
1.53	113.01	66.61
1.54	112.62	68.31
1.55	112.18	69.98
1.56	111.71	71.37
1.57	110.9	72.66
1.58	110.22	73.52
1.59	109.34	73.91
1.6	108.15	74.02
1.61	106.68	73.38
1.62	105.28	71.11
1.63	0	65.96
1.64	0	56.64
1.65	0	51.71
1.66	0	54.24
1.67	0	54.27
1.68	0	52.88
1.69	0	52.41
1.7	0	52.28
1.71	0	50.85
1.72	0	59.18
1.73	0	72.18
1.74	125.71	78.03
1.75	124.69	79.75
1.76	122.68	80.16
1.77	120.83	80.43
1.78	119.42	80.5
1.79	117.24	80.28
1.8	114.91	79.61
1.81	113.1	78.84
1.82	111.9	78.35
1.83	111.31	78.29
1.84	110.92	78.18
1.85	109.4	77.82
1.86	106.33	76.36
1.87	102.03	71.94
1.88	98.6	67.66
1.89	97.46	67.72
1.9	98.09	68.48
1.91	97.49	69.39
1.92	94.85	69.54
1.93	92.02	68.3
1.94	88.4	66.41
1.95	85.66	63.75
1.96	0	61.13
1.97	0	59.17
1.98	0	58.85
1.99	0	61.93
2	0	65.7
2.01	0	63.51
2.02	0	57.02
2.03	0	52.46
2.04	0	50.91
2.05	0	51.68
2.06	0	51.32
2.07	0	48.24
2.08	0	45.21
2.09	0	43.13
2.1	0	42.17
2.11	0	41.85
2.12	0	40.52
2.13	0	38.38
2.14	0	37.2
2.15	0	36.22
2.16	0	0
2.17	0	0
2.18	0	0
?	?	?
