time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	28.73
0.05	0	28.85
0.06	0	27.51
0.07	0	23.9
0.08	0	21.61
0.09	0	22.43
0.1	0	22.07
0.11	0	24.97
0.12	0	33.01
0.13	0	39.65
0.14	0	45.13
0.15	0	48.48
0.16	0	51.87
0.17	0	55.73
0.18	0	58.6
0.19	0	61.28
0.2	0	64.56
0.21	151.22	70.21
0.22	151.37	75.82
0.23	150.77	79.79
0.24	148.73	82.41
0.25	146.26	83.93
0.26	145.15	84.68
0.27	145.64	84.82
0.28	146.09	84.42
0.29	145.46	83.38
0.3	144.71	80.91
0.31	145.8	78.54
0.32	147.23	78.1
0.33	148.43	78.42
0.34	149.62	79.06
0.35	151.04	79.76
0.36	152.07	80.2
0.37	151.59	79.64
0.38	149.68	77.41
0.39	145.02	73.82
0.4	140.93	70.61
0.41	141.41	70.8
0.42	144.65	74.19
0.43	147.09	77.98
0.44	147.09	80.84
0.45	145.76	82.31
0.46	144.15	82.25
0.47	143.09	81.21
0.48	142.54	79.92
0.49	141.93	79.09
0.5	140.85	78.7
0.51	139.97	77.51
0.52	137.15	73.68
0.53	0	65.13
0.54	0	49.77
0.55	0	36.2
0.56	0	51.78
0.57	0	61.29
0.58	0	65.1
0.59	0	66.13
0.6	0	65.36
0.61	0	64.45
0.62	0	63.12
0.63	0	60.3
0.64	0	61.23
0.65	160.04	66.89
0.66	157.22	70.56
0.67	152.42	72.86
0.68	147.51	74.5
0.69	144.11	75.38
0.7	143.06	75.6
0.71	142.78	75.46
0.72	142.3	74.76
0.73	141.69	72.51
0.74	141.46	67.89
0.75	141.6	64.94
0.76	141.49	69.61
0.77	138.53	75.02
0.78	136.35	77.25
0.79	135.67	78.1
0.8	133.98	78.55
0.81	132.27	79.08
0.82	130.92	79.82
0.83	129.67	80.44
0.84	128.35	80.82
0.85	127.1	80.85
0.86	126.29	80.67
0.87	124.75	80.41
0.88	122.52	79.94
0.89	118.14	78.56
0.9	0	75.02
0.91	0	69.78
0.92	0	67.2
0.93	0	67.07
0.94	0	63.94
0.95	0	63.06
0.96	0	63.44
0.97	0	64.78
0.98	0	66.57
0.99	0	71.94
1	131.6	76.67
1.01	130.99	78.29
1.02	131.03	78.23
1.03	131.2	78.1
1.04	131.94	78.13
1.05	133.6	78.39
1.06	135.07	78.24
1.07	137.79	77.09
1.08	142.23	75.66
1.09	146.97	75.23
1.1	150.07	75.63
1.11	152.01	76.25
1.12	151.94	76.56
1.13	150.44	75.65
1.14	0	72.13
1.15	0	65.85
1.16	123.96	68.43
1.17	125.13	73.81
1.18	113.64	75.48
1.19	103.21	74.23
1.2	0	71.48
1.21	0	68.29
1.22	0	66.51
1.23	0	61.93
1.24	0	58.54
1.25	0	60.47
1.26	0	58.54
1.27	0	55.01
1.28	0	55.37
1.29	0	55.2
1.3	0	54.32
1.31	0	52.35
1.32	0	52.8
1.33	0	52.06
1.34	0	48.83
1.35	0	46.75
1.36	0	44.62
1.37	0	42.84
1.38	0	40.62
1.39	0	38.78
1.4	0	38.37
1.41	0	37.47
1.42	0	37.47
1.43	0	37.71
1.44	0	37.22
1.45	0	0
1.46	0	0
1.47	0	0
?	?	?
