time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.17
0.05	0	26.88
0.06	0	27.51
0.07	0	27.05
0.08	0	25.39
0.09	0	24.83
0.1	0	25.54
0.11	0	25.44
0.12	0	33.65
0.13	0	48.62
0.14	0	55.93
0.15	0	56.88
0.16	0	53.15
0.17	0	51.53
0.18	0	57.69
0.19	0	60.34
0.2	0	57.07
0.21	0	48.51
0.22	0	39.49
0.23	0	33.01
0.24	0	26.14
0.25	0	22.34
0.26	0	24.58
0.27	0	37.07
0.28	0	48.66
0.29	0	52.78
0.3	0	55.51
0.31	0	65.48
0.32	143.52	73.2
0.33	142.75	77.19
0.34	143.14	79.29
0.35	143.72	80.29
0.36	143.87	80.19
0.37	142.91	77.44
0.38	139.76	70.41
0.39	140.01	66.91
0.4	144.31	72.63
0.41	146.53	76.28
0.42	146.92	78.1
0.43	144.55	79.38
0.44	140.61	79.79
0.45	133.92	78.27
0.46	126.28	74.81
0.47	117.94	70.71
0.48	0	65.13
0.49	0	56.03
0.5	0	47.02
0.51	0	45.06
0.52	0	44.53
0.53	0	43.37
0.54	0	46.09
0.55	0	58.38
0.56	109.93	66.88
0.57	110.14	71.17
0.58	111.36	73.09
0.59	112.84	73.7
0.6	115.17	74.72
0.61	116.74	77.19
0.62	117.64	79.88
0.63	119.04	81.72
0.64	119.61	82.73
0.65	120.16	83.13
0.66	120.13	82.62
0.67	120.3	82.09
0.68	121.19	81.72
0.69	122.98	81.05
0.7	125.09	79.92
0.71	126.64	78.56
0.72	126.43	77.08
0.73	124.77	74.38
0.74	0	69.34
0.75	0	64.48
0.76	0	59.92
0.77	0	57.77
0.78	0	56.7
0.79	87.5	58.58
0.8	88.98	60.03
0.81	90.98	60.2
0.82	91.24	59.95
0.83	91.62	59.52
0.84	91.46	58.89
0.85	93.27	59.44
0.86	88.96	61.93
0.87	87.68	64.32
0.88	87.66	64.85
0.89	87.48	64.39
0.9	87.24	63.48
0.91	86.19	62.15
0.92	86.81	60.85
0.93	86.18	60.01
0.94	85.37	59.21
0.95	84.9	58.1
0.96	84.67	57.02
0.97	85.04	55.64
0.98	85.56	54.58
0.99	0	53.66
1	0	52.02
1.01	0	50.21
1.02	0	48.7
1.03	0	47.74
1.04	0	46.98
1.05	0	45.49
1.06	0	43.51
1.07	0	41.11
1.08	0	37.86
1.09	0	34.55
1.1	0	32.58
1.11	0	31.16
1.12	0	30.53
1.13	0	30.42
1.14	0	28.89
1.15	0	28.08
1.16	0	28.44
1.17	0	29.74
1.18	0	30.24
1.19	0	29.71
1.2	0	36.24
1.21	0	47.82
1.22	0	56.14
1.23	108.6	61.16
1.24	109.66	64.48
1.25	112.74	67.44
1.26	118.42	70.03
1.27	115.4	71.52
1.28	113.76	72.3
1.29	113.49	74.18
1.3	113.07	75.95
1.31	111.97	76.18
1.32	110.27	75.28
1.33	108.77	74.6
1.34	107.63	74.09
1.35	106.86	73.45
1.36	105.84	72.65
1.37	104.96	71.89
1.38	103.94	71.18
1.39	102.85	70.15
1.4	98.34	68.07
1.41	95.97	63.65
1.42	0	55.9
1.43	0	47.16
1.44	0	44.18
1.45	0	46.77
1.46	0	52.83
1.47	0	58.85
1.48	102.41	64.48
1.49	102.81	68.73
1.5	103.17	72.22
1.51	106.29	74.65
1.52	107.11	74.86
1.53	105.79	73.6
1.54	106.03	73.49
1.55	106.47	73.83
1.56	106.36	73.1
1.57	105.32	71.38
1.58	105.09	70.57
1.59	105.64	71.13
1.6	105.27	71.23
1.61	104.4	70.42
1.62	101.91	68.98
1.63	101.44	66.74
1.64	100.17	63.5
1.65	98.64	59.79
1.66	97.65	58.06
1.67	96.58	57.67
1.68	95.74	57.38
1.69	95.93	58.74
1.7	95.77	62.55
1.71	95.95	65.65
1.72	96.98	68.09
1.73	98.32	69.94
1.74	99.33	71.31
1.75	99.75	72.08
1.76	101.14	72.84
1.77	101.69	73.48
1.78	102.24	73.6
1.79	103.67	73.85
1.8	105.34	74.35
1.81	107.31	74.74
1.82	109.48	75.39
1.83	109.18	75.57
1.84	107.32	72.88
1.85	98.46	67.26
1.86	0	64.04
1.87	0	59.18
1.88	0	47.42
1.89	0	44.96
1.9	0	47.23
1.91	0	49.52
1.92	0	51.19
1.93	0	53.38
1.94	0	55.63
1.95	108.39	57.9
1.96	109.96	63.58
1.97	108.61	69.02
1.98	107.76	71.83
1.99	107.29	73.32
2	107.03	74.15
2.01	106.83	74.29
2.02	105.76	73.61
2.03	104.34	73.01
2.04	103.53	72.7
2.05	103.08	72.46
2.06	102.22	72.04
2.07	101.48	71.34
2.08	101.2	70.42
2.09	100.77	69.62
2.1	99.42	68.72
2.11	97.22	67.17
2.12	0	64.14
2.13	0	58.44
2.14	0	51.51
2.15	0	53.42
2.16	90	58.3
2.17	88.87	61.46
2.18	86.73	63.19
2.19	85.12	63.51
2.2	83.18	62.84
2.21	82	61.55
2.22	81.53	59.88
2.23	81.03	57.27
2.24	0	53.43
2.25	0	48.37
2.26	0	42.02
2.27	0	39.56
2.28	0	38.95
2.29	0	37.63
2.3	0	36.64
2.31	0	36.94
2.32	0	35.79
2.33	0	33.41
2.34	0	33.78
2.35	0	34.18
2.36	0	32.73
2.37	0	31.21
2.38	0	30.29
2.39	0	30.44
2.4	0	30.95
2.41	0	31.15
2.42	0	0
2.43	0	0
2.44	0	0
