time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.29
0.04	0	29.57
0.05	0	28.63
0.06	0	29.2
0.07	0	29.42
0.08	0	30.04
0.09	0	31.36
0.1	0	31.84
0.11	0	31.16
0.12	0	33.49
0.13	0	40.66
0.14	0	48
0.15	0	54.03
0.16	0	59.96
0.17	0	65.43
0.18	0	68.36
0.19	0	68.74
0.2	0	67.86
0.21	0	68.37
0.22	0	69.55
0.23	0	70.11
0.24	0	70.57
0.25	0	70.07
0.26	0	67.23
0.27	0	65.88
0.28	96.31	68.43
0.29	96.64	69.39
0.3	96.32	69.65
0.31	95.43	69.71
0.32	94.71	69.83
0.33	94.04	70.38
0.34	93.47	71.02
0.35	92.86	71.49
0.36	92.21	71.43
0.37	91.15	70.6
0.38	88.98	68.94
0.39	0	67.27
0.4	0	67.05
0.41	0	68.14
0.42	0	69.89
0.43	0	71.38
0.44	0	70.93
0.45	0	67.81
0.46	0	63.99
0.47	0	61.34
0.48	0	60.61
0.49	0	61.23
0.5	0	61.75
0.51	0	63.26
0.52	115.59	68.99
0.53	116.11	74.81
0.54	116.88	77.92
0.55	117.23	79.07
0.56	117.82	79.37
0.57	119.43	79.21
0.58	121.47	78.63
0.59	122.93	77.59
0.6	123.46	76.34
0.61	122.93	74.98
0.62	121.19	73.79
0.63	119.53	73.86
0.64	119.15	75.1
0.65	119.05	75.65
0.66	118.2	75.18
0.67	114.97	73.48
0.68	109.96	70.77
0.69	105.87	68.76
0.7	101.46	68.7
0.71	93.57	69.71
0.72	84.15	70.32
0.73	80.01	71.25
0.74	78.15	72.57
0.75	80.38	74.41
0.76	90.49	76.29
0.77	100.31	77.25
0.78	105.62	77.83
0.79	109.12	77.95
0.8	112.22	78.24
0.81	113.42	78.61
0.82	112.73	78.43
0.83	111.1	76.18
0.84	108.38	70.19
0.85	105.56	63.92
0.86	103.85	61.66
0.87	103.01	60.31
0.88	106.51	66.57
0.89	110.28	73.28
0.9	109.52	76.05
0.91	107.25	75.89
0.92	104.23	74.42
0.93	101.19	71.75
0.94	97.85	68.18
0.95	94.5	64.71
0.96	92.38	62.93
0.97	93.76	62.42
0.98	97.37	63.16
0.99	100.46	65.68
1	103.35	69.32
1.01	104.34	73.07
1.02	103.7	75.6
1.03	102.06	76.19
1.04	99.07	74.41
1.05	95.35	70.94
1.06	0	66.99
1.07	0	64.76
1.08	0	64.55
1.09	0	64.39
1.1	0	63.24
1.11	0	61.94
1.12	0	61.88
1.13	0	61.62
1.14	0	60.11
1.15	0	58.98
1.16	83.45	58.75
1.17	84.31	59.07
1.18	86.21	60.85
1.19	88.56	63.03
1.2	93.34	65.47
1.21	98.47	67.92
1.22	101.46	70.57
1.23	103.54	73.33
1.24	104.8	75.83
1.25	105.47	77.82
1.26	105.66	79.75
1.27	104.93	81.53
1.28	103	82.45
1.29	100.66	82.82
1.3	98.51	83.25
1.31	0	83.57
1.32	0	83.37
1.33	0	82.82
1.34	82.29	82.24
1.35	79.69	81.44
1.36	76.61	80.36
1.37	76.31	79.49
1.38	76.92	78.8
1.39	78.55	77.52
1.4	80.54	74.93
1.41	0	69.32
1.42	0	60.34
1.43	0	44.98
1.44	0	30.46
1.45	0	45.46
1.46	0	60.63
1.47	85.87	65.64
1.48	85.93	64.78
1.49	0	61.63
1.5	0	59.13
1.51	0	58.7
1.52	0	58.38
1.53	0	60.4
1.54	0	63.77
1.55	0	64.61
1.56	0	61.95
1.57	0	55.96
1.58	0	51.53
1.59	0	54.54
1.6	85.53	59.25
1.61	84.31	60.07
1.62	82.36	59.12
1.63	81.26	57.62
1.64	80.8	55.96
1.65	81.15	55.51
1.66	82.74	57.18
1.67	86.86	60.51
1.68	91.87	64.42
1.69	95.06	68.64
1.7	96.71	72.67
1.71	97.33	75.11
1.72	97.29	75.43
1.73	97.47	75.58
1.74	97.86	76.31
1.75	97.78	76.76
1.76	97.11	76.54
1.77	95.69	74.54
1.78	95.07	69.14
1.79	93.95	64.05
1.8	91.13	62.46
1.81	88.12	62.03
1.82	0	63.31
1.83	0	63.13
1.84	0	62.65
1.85	0	63.02
1.86	0	63.21
1.87	0	62.32
1.88	92.3	62.91
1.89	94.44	65.8
1.9	96.66	68.95
1.91	96.08	70.74
1.92	93.1	71.03
1.93	90.46	70.82
1.94	89.46	70.85
1.95	87.59	71.14
1.96	83.91	71.69
1.97	78.35	72.15
1.98	75.21	72.14
1.99	75.24	72
2	0	71.7
2.01	0	70.7
2.02	0	70.81
2.03	0	70.47
2.04	0	69.83
2.05	0	63.24
2.06	0	56.45
2.07	0	55.44
2.08	0	54.54
2.09	0	54.25
2.1	0	56.19
2.11	0	57.87
2.12	0	55.37
2.13	0	53.34
2.14	0	52.32
2.15	0	50.65
2.16	0	48.75
2.17	0	45.74
2.18	0	43.09
2.19	0	40.75
2.2	0	38.05
2.21	0	35.21
2.22	0	32.1
2.23	0	30.59
2.24	0	30.49
2.25	0	30.63
2.26	0	30.8
2.27	0	30.42
2.28	0	30.22
2.29	0	30.46
2.3	0	31.59
2.31	0	31.91
2.32	0	31.58
2.33	0	31.81
2.34	0	32.22
2.35	0	38.88
2.36	0	42.88
2.37	0	38.9
2.38	0	30.54
2.39	0	29.24
2.4	0	30.02
2.41	0	30.48
2.42	0	31.07
2.43	0	31.28
2.44	0	30.59
2.45	0	30.86
2.46	0	32.14
2.47	0	0
2.48	0	0
?	?	?
