time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	25.8
0.04	0	29.55
0.05	0	33.81
0.06	0	32.02
0.07	0	28.13
0.08	0	27.25
0.09	0	28.18
0.1	0	29.61
0.11	0	29.66
0.12	0	28.43
0.13	0	32.56
0.14	0	42.25
0.15	0	51.26
0.16	0	61.47
0.17	0	70.4
0.18	140.66	75.17
0.19	137.74	76.52
0.2	138.76	74.98
0.21	138.58	70.7
0.22	0	66.74
0.23	0	68.68
0.24	0	71.08
0.25	0	71.73
0.26	0	69.36
0.27	0	64.49
0.28	0	59.9
0.29	0	59.2
0.3	0	60.01
0.31	0	58.43
0.32	0	55.94
0.33	0	57.03
0.34	0	62.75
0.35	157.85	65.87
0.36	157.03	68.27
0.37	149.27	71.38
0.38	147	73.47
0.39	148.02	73.92
0.4	149.55	73.48
0.41	149.79	72.63
0.42	148.97	71.53
0.43	147.68	70.54
0.44	146.58	69.65
0.45	145.5	68.24
0.46	143.47	65.36
0.47	143.56	61.48
0.48	0	59.81
0.49	0	61.14
0.5	0	63.13
0.51	0	65.6
0.52	0	66.12
0.53	0	65.15
0.54	0	64.26
0.55	0	62.22
0.56	0	57.96
0.57	0	54.81
0.58	0	53.71
0.59	0	56.25
0.6	0	64.46
0.61	148.33	69.26
0.62	134.08	70.08
0.63	130.32	68.68
0.64	0	67.96
0.65	0	66.64
0.66	0	65.92
0.67	0	67.27
0.68	0	67.6
0.69	0	67.59
0.7	0	70.89
0.71	0	73.88
0.72	130.26	75.85
0.73	128.92	77.18
0.74	128.43	78.15
0.75	127.52	78.54
0.76	128.61	78.3
0.77	130.25	77.89
0.78	129.44	76.39
0.79	126.72	72.31
0.8	125.07	66.18
0.81	125.75	61.91
0.82	128.52	61.37
0.83	134.62	64.88
0.84	137.98	68.72
0.85	140.04	70.92
0.86	139.61	72.2
0.87	138.19	73.05
0.88	136.14	73.48
0.89	133.14	73.93
0.9	130.54	74.63
0.91	129.76	74.86
0.92	130.38	74.16
0.93	131.44	73.01
0.94	132.15	71.87
0.95	132.85	70.5
0.96	132.11	68.26
0.97	131.55	65.91
0.98	131.42	65.71
0.99	129.59	67.35
1	127.54	69.34
1.01	124.91	71.05
1.02	120.72	72.34
1.03	117.52	73.23
1.04	114.46	73.55
1.05	112.52	72.81
1.06	110.16	70.01
1.07	0	64.35
1.08	0	56.71
1.09	0	50.01
1.1	0	48.59
1.11	0	49.82
1.12	0	50.53
1.13	0	53.38
1.14	0	60.78
1.15	0	63.71
1.16	0	65.51
1.17	0	67.54
1.18	0	71.34
1.19	0	73.03
1.2	0	73.21
1.21	114.8	75
1.22	120.42	75.15
1.23	121.37	73.82
1.24	121.58	71.07
1.25	121.55	66.86
1.26	123.44	64.39
1.27	123.83	62.03
1.28	124.12	58.22
1.29	0	53.61
1.3	0	50.35
1.31	0	50.87
1.32	0	55.03
1.33	0	58.94
1.34	0	62.92
1.35	0	65.03
1.36	0	65.59
1.37	0	63.23
1.38	0	59.77
1.39	0	59.17
1.4	0	64.36
1.41	131.68	68.01
1.42	127.09	69.24
1.43	124.23	69.19
1.44	122.65	68.32
1.45	119.49	66.8
1.46	117.45	64.67
1.47	114.67	63.52
1.48	0	65.83
1.49	0	66.97
1.5	0	66.71
1.51	0	67.04
1.52	0	66.16
1.53	0	63.94
1.54	0	60.93
1.55	0	57.59
1.56	0	54.34
1.57	0	52.66
1.58	0	52.56
1.59	0	52.73
1.6	0	51.1
1.61	0	53.65
1.62	0	66.32
1.63	126.71	74.05
1.64	119.07	77.6
1.65	116.14	79.17
1.66	114.77	80.31
1.67	114.4	80.99
1.68	114.15	81.07
1.69	112.74	80.91
1.7	112.16	80.48
1.71	112.14	79.86
1.72	113.57	79.18
1.73	114.9	78.21
1.74	115.6	77.49
1.75	115.49	77.37
1.76	115.99	76.93
1.77	116.74	75.9
1.78	116.49	75.14
1.79	115.88	74.4
1.8	115.65	73.31
1.81	115.34	72.16
1.82	114	71.46
1.83	111.39	71.69
1.84	108.86	72.21
1.85	105.65	71.53
1.86	113.19	70.03
1.87	133.72	70.27
1.88	135.97	69.54
1.89	139.64	68.04
1.9	0	63.2
1.91	0	55.25
1.92	0	54.35
1.93	0	54.37
1.94	0	51.55
1.95	0	51.37
1.96	0	53.97
1.97	0	60.96
1.98	0	67.43
1.99	111.45	69.81
2	102.94	70.93
2.01	0	71.65
2.02	0	69.72
2.03	0	68.52
2.04	0	68.38
2.05	0	66.49
2.06	0	63.36
2.07	0	59.08
2.08	0	51.52
2.09	0	46.15
2.1	0	46.63
2.11	0	46.35
2.12	0	47.37
2.13	0	50.73
2.14	0	48.39
2.15	0	42.79
2.16	0	40.99
2.17	0	39.54
2.18	0	37.95
2.19	0	36.76
2.2	0	36.05
2.21	0	34.22
2.22	0	31.88
2.23	0	31.34
2.24	0	0
2.25	0	0
2.26	0	0
?	?	?
