time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	32.98
0.05	0	31.5
0.06	0	29.3
0.07	0	27.52
0.08	0	27.13
0.09	0	25.92
0.1	0	25.55
0.11	0	30.97
0.12	0	52.22
0.13	0	63.33
0.14	0	66.37
0.15	0	65.02
0.16	0	61.92
0.17	0	59.84
0.18	0	59
0.19	0	59.9
0.2	0	68.61
0.21	111.87	75.87
0.22	112.05	78.95
0.23	112.17	80.14
0.24	112.14	80.08
0.25	111.74	78.78
0.26	110.99	77.31
0.27	111.27	76.66
0.28	111.83	76.69
0.29	112.33	77.15
0.3	113.38	77.96
0.31	114.38	78.74
0.32	115.19	78.99
0.33	116.2	78.95
0.34	116.23	78.18
0.35	114.91	75.61
0.36	114.21	71.46
0.37	113.39	67.6
0.38	113.85	65.69
0.39	115.08	65.62
0.4	115.9	66.84
0.41	117.81	69.16
0.42	118.61	71.45
0.43	119.29	72.81
0.44	118.78	73.4
0.45	116.5	73.18
0.46	113.67	72.02
0.47	111.43	69.95
0.48	0	66.35
0.49	0	60.23
0.5	0	51.12
0.51	0	42.96
0.52	0	34.99
0.53	0	27.31
0.54	0	25.55
0.55	0	25.19
0.56	0	32.58
0.57	0	52.54
0.58	0	63.88
0.59	0	67.27
0.6	0	68.31
0.61	0	66.86
0.62	0	64.74
0.63	0	72.74
0.64	0	77.45
0.65	110.03	79.05
0.66	108.88	80.37
0.67	108.15	82.01
0.68	107.5	83.25
0.69	107.26	83.86
0.7	107.61	84.04
0.71	107.73	83.91
0.72	107.84	83.48
0.73	108.03	82.92
0.74	108.23	81.96
0.75	108.04	79.93
0.76	107.53	76.41
0.77	104.59	71.91
0.78	0	66.42
0.79	0	56.84
0.8	0	44.87
0.81	0	34.32
0.82	0	27.51
0.83	0	26.98
0.84	0	26.67
0.85	0	26.22
0.86	0	29.3
0.87	0	40.34
0.88	0	48.46
0.89	0	55.6
0.9	0	58.78
0.91	0	64.93
0.92	0	69.78
0.93	86.5	70.3
0.94	114.29	70.99
0.95	92.04	72.86
0.96	95.22	75.9
0.97	95.46	77.15
0.98	93.21	77.29
0.99	98.07	77.53
1	101.53	77.19
1.01	99.54	76.8
1.02	99.11	77.12
1.03	98.77	78.11
1.04	98.18	78.97
1.05	97.46	78.82
1.06	96.31	77.35
1.07	94.8	74.43
1.08	91.45	70.21
1.09	90.18	65.03
1.1	88.23	59.32
1.11	87.26	54.68
1.12	0	54.95
1.13	93.16	60.1
1.14	94.08	65.71
1.15	92.11	69.23
1.16	89.8	70.25
1.17	86.03	69.72
1.18	83.94	67.53
1.19	100.73	63.68
1.2	103.13	61.36
1.21	102.67	60.07
1.22	103.02	57.25
1.23	0	53.73
1.24	0	51.41
1.25	0	49.97
1.26	0	47.71
1.27	0	45.19
1.28	0	42.66
1.29	0	40.31
1.3	0	41.04
1.31	0	41.59
1.32	0	0
1.33	0	0
1.34	0	0
1.35	0	0
