time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.7
0.04	0	29.42
0.05	0	28.8
0.06	0	29.13
0.07	0	29.41
0.08	0	30.9
0.09	0	32.83
0.1	0	34.07
0.11	0	36.16
0.12	0	49.66
0.13	0	60.65
0.14	0	67.06
0.15	0	71.69
0.16	126.79	73.11
0.17	126.25	73.25
0.18	125.79	72.21
0.19	0	68.28
0.2	0	59.81
0.21	0	47.97
0.22	0	52.48
0.23	0	63.78
0.24	0	69.74
0.25	0	71.8
0.26	0	71.53
0.27	0	69.03
0.28	0	64.46
0.29	0	65.83
0.3	0	67.68
0.31	0	63.76
0.32	0	55.87
0.33	0	52.92
0.34	0	54.4
0.35	0	55.45
0.36	0	56.95
0.37	0	58.68
0.38	0	61.36
0.39	0	63.57
0.4	0	62.94
0.41	0	60.74
0.42	0	59.52
0.43	0	68.25
0.44	130.32	75.9
0.45	129.85	77.87
0.46	128.46	77.41
0.47	125.88	76.52
0.48	123.19	74.73
0.49	120.52	71.6
0.5	118.26	67.29
0.51	116.21	64.39
0.52	115.95	64.2
0.53	116.25	64.5
0.54	117.02	65.02
0.55	118.78	65.67
0.56	120.34	68.25
0.57	120.89	73.04
0.58	121.09	76.66
0.59	120.96	78.41
0.6	120.99	79.16
0.61	121.58	79.6
0.62	122.52	80.03
0.63	123.18	80.33
0.64	123.49	80.57
0.65	124.05	80.28
0.66	124.56	79.91
0.67	124.5	79.75
0.68	124.3	80.14
0.69	123.81	80.52
0.7	123	80.18
0.71	122.32	79.68
0.72	121.29	79.1
0.73	120.42	78.47
0.74	119.49	77.96
0.75	118.49	77.44
0.76	116.85	76.93
0.77	114.81	76.47
0.78	112.46	76
0.79	110.13	75.51
0.8	107.41	74.48
0.81	0	72.11
0.82	0	66.14
0.83	0	54.33
0.84	0	53.03
0.85	105.12	61.73
0.86	99.72	66.85
0.87	95.49	67.64
0.88	91.96	66.72
0.89	90.77	65.62
0.9	90.42	64.72
0.91	90.06	63.97
0.92	89.98	63.33
0.93	90.22	62.64
0.94	90.33	61.7
0.95	90.59	60.64
0.96	91.52	59.81
0.97	91.69	58.94
0.98	91.21	57.28
0.99	90.55	55.14
1	0	51.84
1.01	0	47.97
1.02	0	47.93
1.03	0	46.39
1.04	0	43.57
1.05	0	43.28
1.06	0	42.52
1.07	0	41.1
1.08	0	38.78
1.09	0	37.3
1.1	0	36.26
1.11	0	36.04
1.12	0	36.65
1.13	0	37.18
1.14	0	37.37
1.15	0	37.8
1.16	0	38.49
1.17	0	38.15
1.18	0	42.16
1.19	0	51.88
1.2	102.93	57.67
1.21	110.63	60.3
1.22	106.84	61.46
1.23	105.07	62.51
1.24	101.88	63.86
1.25	101.21	64.69
1.26	101.84	65.74
1.27	101.29	66.26
1.28	98.05	65.07
1.29	97.55	63.62
1.3	97.97	62.77
1.31	97.14	60.41
1.32	97.54	57.4
1.33	96.75	55.88
1.34	0	54.89
1.35	0	56.23
1.36	0	59.81
1.37	0	62.16
1.38	92.05	64.01
1.39	92.15	64.99
1.4	92.36	65.02
1.41	91.42	63.88
1.42	90.65	61.51
1.43	89.52	60.55
1.44	89.91	60.79
1.45	90.74	60.64
1.46	91.49	59.89
1.47	92.55	59.31
1.48	93.55	59.4
1.49	96.36	60.03
1.5	97.69	61.53
1.51	98.94	61.96
1.52	100.66	61.09
1.53	101.71	59.62
1.54	0	55.93
1.55	0	51.71
1.56	0	49.67
1.57	0	47.97
1.58	0	44.54
1.59	0	38.98
1.6	0	35.89
1.61	0	35.98
1.62	0	35.41
1.63	0	33.26
1.64	0	0
1.65	0	0
1.66	0	0
