time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.54
0.04	0	33.48
0.05	0	31.53
0.06	0	29.65
0.07	0	29.66
0.08	0	31.05
0.09	0	37.05
0.1	0	41.55
0.11	0	42.55
0.12	0	45.45
0.13	0	56.99
0.14	0	65.52
0.15	0	67.81
0.16	0	66.26
0.17	0	61.51
0.18	98.6	58.24
0.19	97.88	59.08
0.2	97.92	59.85
0.21	98.94	60.85
0.22	100.71	64.09
0.23	102.99	70.33
0.24	104.41	74.72
0.25	105.74	77.07
0.26	107.63	78.67
0.27	109.96	80.15
0.28	113.47	81.31
0.29	116.63	81.34
0.3	118.32	79.22
0.31	118.38	73.58
0.32	122	64.99
0.33	129.71	65.21
0.34	134.18	73.33
0.35	135.73	77.84
0.36	136.71	78.94
0.37	137.21	78.75
0.38	136.67	78
0.39	135.1	77.11
0.4	132.29	76.44
0.41	129.08	74.93
0.42	0	71.39
0.43	0	71.03
0.44	0	73.6
0.45	0	74.42
0.46	0	75.74
0.47	0	77.82
0.48	0	79.46
0.49	0	80.88
0.5	0	81.88
0.51	0	81.76
0.52	0	81.61
0.53	0	80.12
0.54	0	77.28
0.55	0	72.37
0.56	0	63.92
0.57	0	56.87
0.58	0	58.96
0.59	108.18	62.75
0.6	106.95	63.65
0.61	106.96	65.01
0.62	107.03	70.77
0.63	107.19	75.71
0.64	107.21	78.04
0.65	107.07	78.87
0.66	107.18	79.3
0.67	107.61	79.9
0.68	108.48	80.58
0.69	109.97	81.35
0.7	111.7	82.21
0.71	112.78	82.97
0.72	113.45	83.3
0.73	114.08	83.45
0.74	114.01	83.42
0.75	113.27	83.05
0.76	112.49	82.64
0.77	111.99	82.2
0.78	111.44	81.74
0.79	110.69	81.29
0.8	109.69	80.87
0.81	108.54	80.6
0.82	107.33	80.46
0.83	105.75	80.3
0.84	104.17	79.76
0.85	102.4	78.85
0.86	100.59	77.93
0.87	98.9	77.24
0.88	97.67	76.91
0.89	96.79	76.53
0.9	95.91	75.48
0.91	93.08	72.05
0.92	92.26	65
0.93	0	58.96
0.94	0	54.3
0.95	0	52.01
0.96	0	50.88
0.97	0	48.92
0.98	0	50.8
0.99	0	56.9
1	0	56.6
1.01	0	53.1
1.02	0	64.23
1.03	0	68.2
1.04	0	68.25
1.05	0	73.1
1.06	0	72.69
1.07	0	69.2
1.08	0	66.47
1.09	0	62.81
1.1	0	60.55
1.11	0	64.38
1.12	0	72
1.13	0	75.8
1.14	102.67	76.36
1.15	101.92	76.02
1.16	101.34	75.44
1.17	101.3	74.62
1.18	101.61	74.23
1.19	101.83	73.88
1.2	0	71.25
1.21	0	65.62
1.22	0	65.91
1.23	0	69.48
1.24	0	71.76
1.25	0	72.51
1.26	0	73.51
1.27	0	75.01
1.28	0	73.89
1.29	0	70.52
1.3	0	69.52
1.31	0	73.4
1.32	98.62	75.45
1.33	98.88	75.62
1.34	99.2	74.98
1.35	99.78	74.65
1.36	100.4	74.35
1.37	101.04	73.42
1.38	100.69	71.19
1.39	99.57	67.42
1.4	98.54	63.14
1.41	98.14	59.83
1.42	98.49	58.52
1.43	99.28	60.19
1.44	101.25	65.04
1.45	102.67	70.66
1.46	102.2	74.15
1.47	101.33	75.37
1.48	100.09	74.25
1.49	93.06	70.39
1.5	93.71	65.79
1.51	98.16	63.81
1.52	99.62	63.92
1.53	102.78	64.27
1.54	105.26	64.46
1.55	107.74	66.19
1.56	110.04	69.36
1.57	110.13	72.91
1.58	109.5	75.04
1.59	108.72	75.58
1.6	107.2	74.96
1.61	105.42	73.86
1.62	103.94	72.93
1.63	102.18	72.29
1.64	100.19	72.2
1.65	97.35	72.19
1.66	93.93	71.91
1.67	89.75	71.46
1.68	86.17	71.38
1.69	84.68	71.73
1.7	83.97	71.71
1.71	83.95	69.95
1.72	0	65.44
1.73	0	57.55
1.74	0	50.94
1.75	0	50.77
1.76	0	53.95
1.77	0	57.37
1.78	0	58.85
1.79	0	58.1
1.8	0	56.67
1.81	0	55.06
1.82	0	52.7
1.83	0	50.61
1.84	0	48.88
1.85	0	45.95
1.86	0	42.91
1.87	0	41.13
1.88	0	40.48
1.89	0	40.58
1.9	0	40.35
1.91	0	39.66
1.92	0	0
1.93	0	0
1.94	0	0
?	?	?
