time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	34.78
0.04	0	34.95
0.05	0	34.97
0.06	0	34.89
0.07	0	34.91
0.08	0	35.42
0.09	0	35.48
0.1	0	35.08
0.11	0	34.76
0.12	0	42.83
0.13	0	57.62
0.14	0	64.99
0.15	0	70.99
0.16	0	77.12
0.17	0	79.4
0.18	0	80.47
0.19	114.05	80.42
0.2	113.6	79.52
0.21	112.52	78.43
0.22	111.95	75.06
0.23	114.02	67.26
0.24	112.63	63.92
0.25	110.3	68.45
0.26	110.25	72.6
0.27	111.03	75.2
0.28	111.87	76.15
0.29	111.51	75.26
0.3	110.92	72.9
0.31	110.34	70.18
0.32	109.95	67.91
0.33	108.29	65.93
0.34	0	65.1
0.35	0	64.64
0.36	0	62.61
0.37	0	60.75
0.38	0	60.29
0.39	122.33	61.8
0.4	121.99	65.82
0.41	121.55	70.26
0.42	120.97	74.05
0.43	120.32	77.22
0.44	120	80.19
0.45	119.71	82.53
0.46	119.39	83.69
0.47	119.45	83.91
0.48	120.15	83.98
0.49	121.16	83.85
0.5	122.07	82.5
0.51	123.03	79.38
0.52	123.1	75.59
0.53	122.58	72.79
0.54	121.02	70.28
0.55	119.93	68.73
0.56	119.83	69.39
0.57	121.1	69.93
0.58	122.87	70.96
0.59	124.38	72.78
0.6	125.22	74.19
0.61	124.82	74.84
0.62	124.07	75.02
0.63	122.98	74.81
0.64	121.67	73.87
0.65	120.25	71.94
0.66	119.16	69.63
0.67	118.84	68.71
0.68	119.71	69.77
0.69	121.4	71.82
0.7	122.68	73.69
0.71	123.45	74.69
0.72	124.03	74.93
0.73	124.57	74.84
0.74	125.02	74.68
0.75	125.23	74.48
0.76	124.93	74.23
0.77	123.99	73.81
0.78	121.97	72.71
0.79	0	69.73
0.8	0	69.37
0.81	0	74.59
0.82	0	77.08
0.83	0	76.6
0.84	0	75.93
0.85	0	77.66
0.86	0	78.71
0.87	0	77.5
0.88	0	75.62
0.89	0	73.68
0.9	0	71.37
0.91	0	69.4
0.92	120.85	67.99
0.93	122.65	67.07
0.94	123.64	67.85
0.95	121.42	68.4
0.96	118.59	68.26
0.97	116.01	67.69
0.98	112.5	66.52
0.99	109.97	65.03
1	110.05	65.42
1.01	0	66.2
1.02	0	65.5
1.03	0	64.19
1.04	0	63.31
1.05	0	63.18
1.06	0	63.35
1.07	0	65.83
1.08	0	71.82
1.09	124.78	77.1
1.1	124.72	80.16
1.11	124.67	82.08
1.12	124.14	83.34
1.13	123.03	84.26
1.14	122.2	84.47
1.15	121.85	84.12
1.16	121.6	83.66
1.17	121.43	83.26
1.18	120.88	82.79
1.19	119.65	81.74
1.2	118.15	78.89
1.21	116.59	72.17
1.22	114.04	64.6
1.23	110.6	63.16
1.24	107.32	61.24
1.25	105.91	59.28
1.26	109.68	59.34
1.27	114.07	60.38
1.28	116.32	64.47
1.29	116.58	69.34
1.3	115.46	71.16
1.31	113.28	70.26
1.32	111.14	67.79
1.33	0	66.36
1.34	0	69.61
1.35	0	73.39
1.36	0	74.51
1.37	0	74.53
1.38	0	74.82
1.39	0	75.9
1.4	0	76.91
1.41	0	77.35
1.42	0	76.77
1.43	0	74.66
1.44	0	71.01
1.45	0	67.9
1.46	0	71.81
1.47	117.87	74.81
1.48	118.16	75.57
1.49	118.27	75.73
1.5	118	75.51
1.51	117.37	75.02
1.52	116.3	74.25
1.53	115.09	72.62
1.54	113.88	69.9
1.55	114.55	67.97
1.56	115.52	67.88
1.57	114.57	67.62
1.58	112.89	66.95
1.59	110.57	65.7
1.6	107.77	64.65
1.61	0	65.19
1.62	0	63.58
1.63	0	66.68
1.64	0	70.72
1.65	105.99	73.6
1.66	105.88	74.96
1.67	103.82	73.81
1.68	105.29	72.36
1.69	107.51	70.55
1.7	106.88	69.05
1.71	105.66	67.77
1.72	104.91	67.89
1.73	105.93	67.92
1.74	108.29	67.96
1.75	110.46	69.02
1.76	112.58	70.16
1.77	113.82	71.57
1.78	113.43	72.71
1.79	112.19	73.73
1.8	109.88	73.81
1.81	108.26	72.82
1.82	107.94	71.63
1.83	107.25	71.58
1.84	105.82	72.12
1.85	103.98	72.64
1.86	102.5	73.27
1.87	101.31	73.84
1.88	100.22	73.67
1.89	0	72.5
1.9	0	72
1.91	0	68.1
1.92	0	59.78
1.93	0	57.48
1.94	0	54.48
1.95	0	48.11
1.96	0	39.64
1.97	0	33.92
1.98	0	34.77
1.99	0	34.98
2	0	34.08
2.01	0	33.93
2.02	0	34.09
2.03	0	37.8
2.04	0	51.59
2.05	0	60.39
2.06	0	60.96
2.07	0	54.98
2.08	0	48.64
2.09	0	47.87
2.1	0	47.45
2.11	0	44.24
2.12	0	43.25
2.13	0	42.58
2.14	0	38.34
2.15	0	36.39
2.16	0	36.55
2.17	0	36.18
2.18	0	35.93
2.19	0	35.68
2.2	0	34.88
2.21	0	34.67
2.22	0	35.21
2.23	0	0
2.24	0	0
2.25	0	0
?	?	?
