time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.41
0.04	0	28.62
0.05	0	28.34
0.06	0	27.39
0.07	0	26.16
0.08	0	24.19
0.09	0	22.93
0.1	0	22.22
0.11	0	23.52
0.12	0	32.19
0.13	0	42.53
0.14	0	49.76
0.15	0	54.32
0.16	0	57.41
0.17	0	59.33
0.18	0	59.83
0.19	0	60.28
0.2	0	70.8
0.21	0	78.56
0.22	162.12	81.83
0.23	162.82	83.62
0.24	164.61	84.29
0.25	166.96	83.53
0.26	169.43	81.87
0.27	171.57	78.79
0.28	173.84	72.82
0.29	177.18	64.06
0.3	177.97	58.46
0.31	0	55.04
0.32	0	50.89
0.33	0	46.05
0.34	0	39.31
0.35	0	39.88
0.36	0	46.63
0.37	0	49.07
0.38	0	52.92
0.39	0	56.02
0.4	0	60.68
0.41	0	68.55
0.42	144.04	72.37
0.43	140.02	73.01
0.44	134.9	72.34
0.45	130.06	70.44
0.46	123.83	68.02
0.47	120.03	66.23
0.48	118.12	64.8
0.49	116.9	63.55
0.5	116.27	61.99
0.51	115.76	58.84
0.52	0	53.22
0.53	0	45.37
0.54	0	37.91
0.55	0	31.72
0.56	0	37.75
0.57	0	50.8
0.58	0	55.57
0.59	0	55.29
0.6	0	55.49
0.61	0	60.46
0.62	146.39	67.16
0.63	144.82	71.34
0.64	143.41	73.12
0.65	142.67	73.35
0.66	142.27	72.81
0.67	142.04	72.13
0.68	141.99	71.4
0.69	142.11	70.88
0.7	142.78	70.72
0.71	143.75	70.16
0.72	143.6	67.43
0.73	139.31	61.04
0.74	0	52.84
0.75	0	47.36
0.76	0	45.82
0.77	0	45.61
0.78	0	44.68
0.79	0	48.11
0.8	0	53.16
0.81	0	60.97
0.82	0	70.98
0.83	135.39	76.13
0.84	134.08	77.84
0.85	131.95	78.32
0.86	129.64	78.49
0.87	128.26	78.51
0.88	127.43	78.39
0.89	126.69	78.31
0.9	126.2	78.32
0.91	125.46	78.21
0.92	124.59	77.47
0.93	123.51	75.53
0.94	123.82	73.46
0.95	123.92	73.38
0.96	123.79	73.41
0.97	123.96	73.08
0.98	124.79	72.73
0.99	126.92	72.47
1	130.7	73.2
1.01	133.99	76.01
1.02	135.38	78.63
1.03	136.59	79.9
1.04	138.25	80.73
1.05	139.69	81.35
1.06	140.94	81.65
1.07	141.69	81.63
1.08	141.9	81.29
1.09	141.7	80.89
1.1	141.03	80.6
1.11	139.84	80.34
1.12	138.1	79.95
1.13	136.2	79.47
1.14	133.96	78.95
1.15	130.87	78.32
1.16	127.16	77.54
1.17	123.23	76.3
1.18	118.83	74.34
1.19	114.82	71.35
1.2	111.39	67.3
1.21	111.08	62.33
1.22	0	56
1.23	0	48.72
1.24	0	41.54
1.25	0	37.38
1.26	0	35.27
1.27	0	33.08
1.28	0	29.87
1.29	0	29.24
1.3	0	28.93
1.31	0	29.09
1.32	0	29.89
1.33	0	31.08
1.34	0	31.22
1.35	0	0
1.36	0	0
1.37	0	0
?	?	?
