time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.84
0.04	0	34.36
0.05	0	34.84
0.06	0	34.69
0.07	0	34.3
0.08	0	32.68
0.09	0	31.99
0.1	0	32.01
0.11	0	30.3
0.12	0	35.79
0.13	0	49.12
0.14	0	54.35
0.15	0	55.79
0.16	0	55.73
0.17	0	48.62
0.18	0	36.66
0.19	0	42.46
0.2	0	52.09
0.21	0	56.06
0.22	0	58.69
0.23	0	65.85
0.24	0	74.6
0.25	108.52	78.43
0.26	108.47	79.63
0.27	108.48	80.15
0.28	108.96	80.35
0.29	110.11	80.45
0.3	111.79	80.56
0.31	114.19	80.41
0.32	117.08	80.01
0.33	120.25	79.4
0.34	124.72	79.21
0.35	128.75	80.12
0.36	131.13	81.34
0.37	132.03	81.12
0.38	0	77.52
0.39	0	69.19
0.4	0	58.1
0.41	0	57.07
0.42	0	65.47
0.43	137.02	74.79
0.44	135.06	80.74
0.45	131.44	83.27
0.46	127.21	83.13
0.47	123.77	80.25
0.48	0	75.09
0.49	0	71.22
0.5	0	70.17
0.51	113.79	67.95
0.52	118.55	68.49
0.53	124.42	72.16
0.54	129.34	76.79
0.55	131.56	80.35
0.56	130	81.71
0.57	128.47	81.18
0.58	129.03	79.44
0.59	129.47	77.93
0.6	128.86	76.99
0.61	128.08	76.42
0.62	125.71	75.46
0.63	121.96	72.56
0.64	0	66.36
0.65	0	54.48
0.66	0	37.1
0.67	0	30.37
0.68	0	30.5
0.69	0	31.04
0.7	0	31.62
0.71	0	36.42
0.72	0	46.62
0.73	0	51.76
0.74	0	50.67
0.75	0	43.13
0.76	0	45.75
0.77	0	60.86
0.78	113.04	70.82
0.79	114.32	76
0.8	114.97	78.13
0.81	114.49	78.56
0.82	114	78.19
0.83	112.42	76.22
0.84	111.61	71.51
0.85	111.11	66.58
0.86	0	66.87
0.87	0	68.53
0.88	0	67.46
0.89	0	67.11
0.9	0	65.1
0.91	0	59.56
0.92	0	50.05
0.93	0	44.65
0.94	0	46.77
0.95	0	57.29
0.96	0	63.46
0.97	0	67.63
0.98	0	73.9
0.99	107.65	76.87
1	104.94	77.19
1.01	100.84	76.5
1.02	98.4	76.02
1.03	97.12	75.78
1.04	95.79	75.48
1.05	94.56	75.05
1.06	93.83	74.75
1.07	92.65	74.26
1.08	92.11	73.74
1.09	91.68	73.45
1.1	91.35	73.3
1.11	90.83	73.14
1.12	89.63	72.91
1.13	87.35	72.77
1.14	85.73	72.6
1.15	85.28	72.44
1.16	85.77	72.05
1.17	85.92	70.25
1.18	0	65.36
1.19	0	58.85
1.2	0	56.17
1.21	0	54.85
1.22	0	52.77
1.23	0	49.73
1.24	0	45.97
1.25	0	42.05
1.26	0	37.82
1.27	0	33.86
1.28	0	31.25
1.29	0	30.46
1.3	0	29.36
1.31	0	0
1.32	0	0
1.33	0	0
?	?	?
