time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	30.71
0.05	0	30.69
0.06	0	28.96
0.07	0	27
0.08	0	26.79
0.09	0	26.98
0.1	0	27.76
0.11	0	31.12
0.12	0	33.82
0.13	0	35.97
0.14	0	36.19
0.15	0	34.08
0.16	0	33.11
0.17	0	30.5
0.18	0	28.3
0.19	0	27.63
0.2	0	27.84
0.21	0	32.03
0.22	0	43.54
0.23	0	51.77
0.24	0	55.82
0.25	0	57.94
0.26	122.66	60.91
0.27	121.73	63.7
0.28	123.71	66.52
0.29	119.13	69.28
0.3	117.43	70.95
0.31	125.44	73.82
0.32	128.53	77.57
0.33	131.63	80.73
0.34	131.45	82.74
0.35	133.64	83.97
0.36	135.16	85.1
0.37	136.59	85.61
0.38	136.93	85.55
0.39	136.87	85.43
0.4	137.03	84.96
0.41	137.25	83.21
0.42	139.93	80.21
0.43	143.95	78.93
0.44	146.26	79.16
0.45	147.83	79.43
0.46	148.95	79.78
0.47	151.91	80.92
0.48	153.77	82.72
0.49	154.72	83.78
0.5	154.45	83.98
0.51	152.79	82.63
0.52	149.92	78
0.53	0	68.56
0.54	0	56.71
0.55	0	51.54
0.56	0	46.64
0.57	0	44.08
0.58	0	57.85
0.59	0	64.34
0.6	0	67.43
0.61	0	76.75
0.62	150.59	82.88
0.63	150.11	84.98
0.64	148.8	85.62
0.65	146.82	85.38
0.66	145.05	84.52
0.67	143.42	84.13
0.68	142.32	84.21
0.69	142.07	84.01
0.7	142.06	83.39
0.71	142.05	82.47
0.72	141.37	81.38
0.73	141.46	79.87
0.74	142.1	78.65
0.75	142.91	78.14
0.76	143.5	77.87
0.77	143.4	77.57
0.78	142.13	77.4
0.79	140.57	77.35
0.8	138.18	77.21
0.81	136.48	77.04
0.82	134.53	76.59
0.83	130.02	75.45
0.84	128.41	74.31
0.85	124.85	73.23
0.86	123.45	72.16
0.87	119.79	70.54
0.88	119.44	67.84
0.89	117.01	63.39
0.9	115.43	61.21
0.91	114.16	60.95
0.92	114.07	60.52
0.93	113.71	59.82
0.94	112.27	58.05
0.95	0	54.5
0.96	0	48.96
0.97	0	42.44
0.98	0	55.53
0.99	0	65.89
1	0	68.9
1.01	0	66.25
1.02	0	67.61
1.03	0	73
1.04	118.1	73.76
1.05	117.76	73.56
1.06	116.5	73.51
1.07	115.38	72.4
1.08	0	68.46
1.09	0	59.26
1.1	0	47.45
1.11	0	43.27
1.12	0	41.06
1.13	0	40.6
1.14	0	41.48
1.15	0	44.95
1.16	0	50.58
1.17	0	55.01
1.18	114.34	59.84
1.19	121.76	67.42
1.2	117.66	74.55
1.21	117.3	78.4
1.22	117.14	80.08
1.23	116.09	80.41
1.24	115.23	80.12
1.25	115.43	79.93
1.26	115.7	79.81
1.27	116.17	79.7
1.28	116.2	79.39
1.29	115.92	78.89
1.3	115.44	78.55
1.31	114.63	78.45
1.32	112.37	78.3
1.33	110.97	77.81
1.34	109.01	76.88
1.35	105.12	75.82
1.36	101.42	75.18
1.37	0	74.57
1.38	0	72.96
1.39	0	69.83
1.4	0	65.56
1.41	0	59.96
1.42	0	51.34
1.43	0	38.66
1.44	0	37.74
1.45	0	46.5
1.46	0	55.83
1.47	0	58.37
1.48	0	55.64
1.49	0	54.38
1.5	0	55.22
1.51	0	55.62
1.52	0	54.12
1.53	0	53.3
1.54	0	54.88
1.55	0	57.72
1.56	111.25	61.18
1.57	110.43	64.72
1.58	109.44	66.51
1.59	107.29	67.06
1.6	103.43	66.87
1.61	100.58	65.46
1.62	99.38	63.76
1.63	99.33	62.67
1.64	0	62.05
1.65	0	62.32
1.66	0	66.17
1.67	0	69.78
1.68	0	69.58
1.69	0	64.6
1.7	0	55.89
1.71	0	52.36
1.72	0	52.03
1.73	0	47.18
1.74	0	44.49
1.75	0	46.18
1.76	0	53.86
1.77	108.67	61.9
1.78	109.51	67.36
1.79	108.91	70.76
1.8	109.6	73.23
1.81	110.72	75.21
1.82	112.14	76.6
1.83	113.57	77.58
1.84	114.59	78
1.85	115.92	78.13
1.86	116.06	77.9
1.87	115.09	77.12
1.88	113.3	75.6
1.89	111.4	73.63
1.9	108.48	71.73
1.91	107.2	69.24
1.92	106.13	64.93
1.93	0	60.72
1.94	0	61.45
1.95	0	65.56
1.96	0	68.66
1.97	0	70.69
1.98	0	71.32
1.99	0	71.58
2	0	72.55
2.01	0	73.18
2.02	0	72.68
2.03	0	72.78
2.04	0	72.83
2.05	0	72.82
2.06	0	73.12
2.07	0	73.08
2.08	0	73.29
2.09	0	73.16
2.1	0	71.22
2.11	0	67.84
2.12	0	63.1
2.13	0	61.34
2.14	119.55	67.07
2.15	119.34	70.86
2.16	119.28	72.76
2.17	119.01	74.19
2.18	118.78	75.49
2.19	118.37	76.46
2.2	117.42	76.71
2.21	114.97	76.16
2.22	111.73	75.39
2.23	107.3	75.04
2.24	103.46	74.67
2.25	100.23	72.68
2.26	97.4	68.38
2.27	0	62.59
2.28	0	55.74
2.29	0	47.65
2.3	0	39.01
2.31	0	30.2
2.32	0	26.5
2.33	0	41.83
2.34	0	56.49
2.35	0	61.6
2.36	0	61.81
2.37	0	60.83
2.38	0	58.62
2.39	0	58.37
2.4	0	59.87
2.41	0	59.72
2.42	0	57.73
2.43	0	55.14
2.44	0	52.6
2.45	0	50.08
2.46	0	47.97
2.47	0	47.19
2.48	0	45.09
2.49	0	42.41
2.5	0	41.22
2.51	0	39.18
2.52	0	36.78
2.53	0	35.5
2.54	0	34.94
2.55	0	0
2.56	0	0
2.57	0	0
