time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	23.06
0.04	0	22.85
0.05	0	22.44
0.06	0	22.01
0.07	0	21.77
0.08	0	21.61
0.09	0	21.96
0.1	0	22.7
0.11	0	24.54
0.12	0	28.53
0.13	0	44.83
0.14	0	61.67
0.15	0	71.11
0.16	154.47	75.66
0.17	153.07	78.71
0.18	151.81	81.21
0.19	151.01	82.33
0.2	150.1	82.54
0.21	149.37	82.45
0.22	149.32	81.21
0.23	149.56	77.42
0.24	0	70.6
0.25	0	59.44
0.26	0	42.36
0.27	0	29.61
0.28	0	27.82
0.29	0	25.38
0.3	0	22.51
0.31	0	24.38
0.32	0	37.37
0.33	0	51.43
0.34	0	59.31
0.35	0	61.71
0.36	0	59.74
0.37	0	56.59
0.38	0	55.55
0.39	0	62.77
0.4	181.03	73.48
0.41	181.89	79.3
0.42	182.61	81.79
0.43	182.29	82.4
0.44	180.57	82.04
0.45	177.38	81.43
0.46	174.12	81.05
0.47	170.55	81
0.48	166.15	80.45
0.49	159.79	78.47
0.5	153.56	74.27
0.51	0	67.01
0.52	0	62.8
0.53	0	64.39
0.54	0	65.77
0.55	0	67.56
0.56	0	68.34
0.57	0	67.62
0.58	0	67.57
0.59	0	69.46
0.6	0	70.5
0.61	0	68.8
0.62	0	63.64
0.63	0	53.42
0.64	0	36.99
0.65	0	36.68
0.66	0	51.55
0.67	0	63.92
0.68	161.51	74.31
0.69	160.38	79.3
0.7	156.61	81.71
0.71	153.09	83.77
0.72	151.65	84.65
0.73	151.25	84.78
0.74	151.19	84.99
0.75	151.38	85.55
0.76	152.23	85.88
0.77	153.31	85.91
0.78	154.3	85.91
0.79	155.65	85.82
0.8	156.51	85.62
0.81	156.03	85.47
0.82	154.62	85.26
0.83	153.06	84.32
0.84	151.77	82.24
0.85	148.98	78.07
0.86	145.1	70.16
0.87	0	59.53
0.88	0	53.41
0.89	0	51.63
0.9	0	51.19
0.91	0	51.46
0.92	0	50.14
0.93	0	48.51
0.94	0	57.46
0.95	142.07	69.69
0.96	142.05	75.16
0.97	141.19	76.67
0.98	137.96	76.54
0.99	131.93	75.54
1	128.09	73.39
1.01	131.83	70.91
1.02	136.5	69.94
1.03	137.24	70.37
1.04	134.09	69.87
1.05	130.91	66.5
1.06	0	58.33
1.07	0	45.53
1.08	0	35.58
1.09	0	26.84
1.1	0	22.86
1.11	0	25.85
1.12	0	45.4
1.13	0	58.32
1.14	0	62.51
1.15	0	60.32
1.16	0	57.41
1.17	0	56.81
1.18	0	62.64
1.19	158.16	73.35
1.2	157.35	78.15
1.21	156.86	79.47
1.22	157.53	79.4
1.23	158.56	79.21
1.24	158.81	79.13
1.25	158.67	78.81
1.26	159.28	78.43
1.27	160.21	78.39
1.28	160.71	78.37
1.29	160.71	77.76
1.3	160.26	76.74
1.31	159.49	75.78
1.32	158.2	74.48
1.33	155.83	71.61
1.34	155.94	70.12
1.35	157.35	71.26
1.36	158.15	71.93
1.37	158.07	72.3
1.38	157.16	72.47
1.39	155.98	72.55
1.4	155.19	72.42
1.41	155	71.53
1.42	154.73	69.34
1.43	152.46	65.41
1.44	0	59.76
1.45	0	56.92
1.46	0	61.01
1.47	0	64.15
1.48	0	66.42
1.49	0	67.47
1.5	0	67.66
1.51	0	68.4
1.52	0	67.26
1.53	0	61.93
1.54	0	53.43
1.55	0	41.78
1.56	0	48.19
1.57	0	56.51
1.58	0	63.92
1.59	159.68	71.6
1.6	156.44	74.85
1.61	151.74	74.94
1.62	149.03	73.25
1.63	146.52	70.94
1.64	144.98	69.73
1.65	144.79	68.99
1.66	144.92	68.62
1.67	144.66	68.59
1.68	144.02	68.71
1.69	143.56	69.04
1.7	143.3	69.67
1.71	143.03	70.46
1.72	142.67	71.19
1.73	142.05	71.74
1.74	141.16	71.38
1.75	139.49	68.19
1.76	138.65	63.05
1.77	137.04	60.7
1.78	134.24	58.74
1.79	0	54.35
1.8	0	45.82
1.81	0	34.81
1.82	0	30.06
1.83	0	42.16
1.84	0	52.82
1.85	0	54.53
1.86	0	50.95
1.87	0	47.6
1.88	0	53.73
1.89	0	65.54
1.9	148.95	71.96
1.91	148.89	74.13
1.92	148.84	74.06
1.93	148.68	72.96
1.94	148.29	71.76
1.95	146.76	70.91
1.96	144.82	70.21
1.97	143.09	69.6
1.98	141.18	68.96
1.99	139.36	68.23
2	137.33	67.35
2.01	135.33	66.39
2.02	134.27	65.57
2.03	133.37	65.08
2.04	132.05	64.38
2.05	131.96	63.06
2.06	131.94	62.47
2.07	132.05	62.38
2.08	132.44	61.82
2.09	132.37	61.14
2.1	0	60.94
2.11	0	60.47
2.12	0	61.45
2.13	0	60.71
2.14	0	59.51
2.15	125.29	58.99
2.16	0	57.35
2.17	0	52.26
2.18	0	44.66
2.19	0	41.37
2.2	0	40.39
2.21	0	45.63
2.22	0	50.57
2.23	0	49.74
2.24	0	48.53
2.25	0	48.59
2.26	0	45.86
2.27	0	40.69
2.28	0	38.4
2.29	0	36.74
2.3	0	35.11
2.31	0	35.2
2.32	0	35.87
2.33	0	35.28
2.34	0	33.07
2.35	0	32.09
2.36	0	32.36
2.37	0	32.46
2.38	0	31.54
2.39	0	29.43
2.4	0	29.2
2.41	0	29.86
2.42	0	28.49
2.43	0	0
2.44	0	0
2.45	0	0
?	?	?
