time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	33.4
0.05	0	32.84
0.06	0	32.61
0.07	0	33.44
0.08	0	33.43
0.09	0	33.06
0.1	0	33.08
0.11	0	33.88
0.12	0	37.52
0.13	0	42.53
0.14	0	46.25
0.15	0	48.56
0.16	0	56.6
0.17	0	64.71
0.18	113.46	68.12
0.19	108.67	69.28
0.2	107.58	68.97
0.21	0	65.82
0.22	0	58.56
0.23	0	47.18
0.24	0	36.73
0.25	0	33.32
0.26	0	32.26
0.27	0	32.5
0.28	0	34.96
0.29	0	50.19
0.3	0	61.31
0.31	0	63.67
0.32	0	60.62
0.33	0	59.62
0.34	0	59.5
0.35	0	58.39
0.36	0	59.71
0.37	0	67.58
0.38	132.25	74.23
0.39	131.37	77.29
0.4	129.86	78.1
0.41	128.92	78.03
0.42	130.55	77.61
0.43	132.29	77.41
0.44	132.9	76.38
0.45	127.8	71.56
0.46	134.32	69.27
0.47	134.38	73.97
0.48	138.21	77.38
0.49	140.04	79.21
0.5	141.57	79.71
0.51	143.79	79.25
0.52	145.01	77.93
0.53	144.17	75.35
0.54	142.61	70.34
0.55	0	60.46
0.56	0	46.47
0.57	0	37.96
0.58	0	36.81
0.59	0	41.52
0.6	0	40.77
0.61	0	36.51
0.62	0	34.5
0.63	0	35
0.64	0	44.43
0.65	0	49.22
0.66	0	45.84
0.67	0	39.79
0.68	0	44.88
0.69	0	55.08
0.7	124.92	62.76
0.71	116.93	66.24
0.72	113.04	66.19
0.73	111.08	64.83
0.74	110.67	64.36
0.75	109.57	64.3
0.76	108.86	65.11
0.77	107.07	67.08
0.78	103.98	68.76
0.79	102.91	69.57
0.8	101.9	69.86
0.81	101.15	69.89
0.82	100.89	69.92
0.83	100.47	69.96
0.84	99.54	69.41
0.85	98.62	67.71
0.86	95.23	64.38
0.87	0	63.28
0.88	0	65.9
0.89	0	65.15
0.9	0	63.02
0.91	0	61.03
0.92	0	62.6
0.93	113.81	68.17
0.94	112.31	70.95
0.95	107.39	71.1
0.96	104.24	71.35
0.97	103.09	71.69
0.98	103.35	71.52
0.99	104.41	70.7
1	106.98	70.19
1.01	108.57	69.96
1.02	110.27	69.46
1.03	112.51	68.84
1.04	115.14	68.21
1.05	116.41	67.36
1.06	116.8	66.1
1.07	117.16	64.55
1.08	119.06	63.59
1.09	120.81	63.21
1.1	121.25	62.39
1.11	119.77	59.81
1.12	0	54.53
1.13	0	46.79
1.14	0	37.58
1.15	0	31.97
1.16	0	33.52
1.17	0	48.67
1.18	0	60.01
1.19	0	62.66
1.2	0	60.05
1.21	0	60.48
1.22	0	61.59
1.23	0	65.54
1.24	0	71.88
1.25	0	76.58
1.26	0	80.48
1.27	100.7	82.91
1.28	95.74	83.65
1.29	93.26	83.31
1.3	93.35	82.75
1.31	94.33	82.6
1.32	94.85	82.13
1.33	94.75	80.65
1.34	94.17	77.43
1.35	92.41	71.1
1.36	92.7	63.66
1.37	0	58.19
1.38	0	50.77
1.39	0	39.87
1.4	0	39.29
1.41	0	51.24
1.42	0	56.52
1.43	0	56.33
1.44	0	59.77
1.45	0	68.31
1.46	0	71.88
1.47	0	71.22
1.48	0	67.62
1.49	0	64.21
1.5	0	60.22
1.51	0	49.81
1.52	0	39.8
1.53	0	39.8
1.54	0	49.55
1.55	0	52.9
1.56	0	49.28
1.57	0	44.6
1.58	0	42.94
1.59	0	43.05
1.6	0	46.07
1.61	0	50.24
1.62	0	53.89
1.63	0	54.92
1.64	0	53.12
1.65	0	57
1.66	100.76	62.89
1.67	100.52	64.15
1.68	95.8	61.59
1.69	0	58.79
1.7	0	61.01
1.71	0	63.66
1.72	0	65.43
1.73	0	66.24
1.74	0	65.52
1.75	0	64.35
1.76	0	64.64
1.77	0	65.53
1.78	0	65.93
1.79	0	65.71
1.8	0	64.49
1.81	0	63.03
1.82	0	61.32
1.83	0	62.19
1.84	0	69.26
1.85	108.53	73.85
1.86	104.79	75.53
1.87	98.79	75.89
1.88	97.22	76.21
1.89	96.9	76.19
1.9	98.11	75.34
1.91	98.69	73.49
1.92	96.05	70.13
1.93	94.14	64.7
1.94	0	58.53
1.95	0	54.21
1.96	0	52.58
1.97	0	52.29
1.98	0	50.77
1.99	0	49.53
2	0	47.2
2.01	0	40.67
2.02	0	42.63
2.03	0	50.55
2.04	0	49.72
2.05	0	44.77
2.06	0	50.32
2.07	0	56.32
2.08	0	56.13
2.09	0	55.68
2.1	0	63.94
2.11	110.52	69.23
2.12	105.35	70.68
2.13	100.1	70.5
2.14	97.02	70.1
2.15	94.65	69.16
2.16	92.53	67.22
2.17	92.57	64.16
2.18	0	58.68
2.19	0	49.26
2.2	0	36.75
2.21	0	31.25
2.22	0	32.32
2.23	0	33.17
2.24	0	37.63
2.25	0	51.35
2.26	0	58.51
2.27	0	58.17
2.28	0	59.92
2.29	91.18	64.26
2.3	88.55	65.61
2.31	88.04	65.43
2.32	85.69	64.59
2.33	84.21	63.33
2.34	83.07	61.67
2.35	81.96	59.47
2.36	0	56.75
2.37	0	54.95
2.38	0	53.73
2.39	0	52.24
2.4	0	49.87
2.41	0	45.88
2.42	0	44.1
2.43	0	42.69
2.44	0	40.6
2.45	0	37.41
2.46	0	34.77
2.47	0	33.72
2.48	0	0
2.49	0	0
2.5	0	0
