time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.47
0.04	0	27.33
0.05	0	26.97
0.06	0	26.73
0.07	0	25.64
0.08	0	24.18
0.09	0	24.25
0.1	0	25.32
0.11	0	26.71
0.12	0	26.56
0.13	0	25.68
0.14	0	28.59
0.15	0	30.82
0.16	0	31.81
0.17	0	30.24
0.18	0	25.69
0.19	0	26.09
0.2	0	36.05
0.21	0	46
0.22	132.46	53.52
0.23	130.07	59.95
0.24	127.29	64.34
0.25	121.72	67.6
0.26	118.26	69.91
0.27	122.14	71.4
0.28	123.88	72.09
0.29	122.91	72.04
0.3	122.05	71.28
0.31	121.12	69.24
0.32	117.47	64.98
0.33	112.49	59.3
0.34	0	55.67
0.35	0	54.49
0.36	0	52.71
0.37	0	46.75
0.38	0	41.01
0.39	0	51.39
0.4	0	60
0.41	0	70.1
0.42	0	77.51
0.43	0	80.9
0.44	126.97	82.38
0.45	125.79	82.83
0.46	124.4	82.28
0.47	124.08	81.87
0.48	122.93	81.81
0.49	121.4	81.1
0.5	120.64	79.44
0.51	119.62	76.7
0.52	0	72.25
0.53	0	64.47
0.54	0	50.78
0.55	0	33.51
0.56	0	24.54
0.57	0	23.19
0.58	0	25.93
0.59	0	26.39
0.6	0	35.36
0.61	0	50.88
0.62	0	58.13
0.63	0	59.74
0.64	0	59.01
0.65	0	65.1
0.66	0	72.72
0.67	133.64	75.68
0.68	133.73	75.93
0.69	133.12	75.52
0.7	131.76	74.96
0.71	130.34	73.95
0.72	129.03	71.13
0.73	126.59	65.46
0.74	128.35	62.28
0.75	128.65	64.58
0.76	127.57	68.99
0.77	126.92	71.52
0.78	125.73	72.29
0.79	123.33	72.41
0.8	120.85	72.23
0.81	118.94	71.53
0.82	117.3	70.77
0.83	115.59	70.2
0.84	113.44	68.93
0.85	107.97	65.3
0.86	0	58.13
0.87	0	50.59
0.88	0	50.53
0.89	0	49.52
0.9	0	40.92
0.91	0	26.11
0.92	0	21.03
0.93	0	37.13
0.94	0	53.12
0.95	0	59.4
0.96	0	59.09
0.97	0	58.37
0.98	0	66.06
0.99	0	72.32
1	116.99	74.54
1.01	114.72	74.72
1.02	113.18	74.61
1.03	113.15	74.96
1.04	113.4	75.37
1.05	113.25	75.31
1.06	113.14	74.84
1.07	112.7	73.93
1.08	113.41	72.63
1.09	114.18	72.09
1.1	113.6	71.72
1.11	112.42	69.99
1.12	111.02	65.84
1.13	109.93	59.83
1.14	110.31	57.49
1.15	109.43	57.24
1.16	0	55.68
1.17	0	53
1.18	0	54.22
1.19	108.44	60.08
1.2	108.26	64.29
1.21	104.88	65.78
1.22	99.19	63.87
1.23	0	58.16
1.24	0	47.77
1.25	0	39.78
1.26	0	39.16
1.27	0	41.5
1.28	0	43.88
1.29	0	46
1.3	0	56.1
1.31	0	64.25
1.32	119.58	67.9
1.33	118.65	68.73
1.34	117.54	68.46
1.35	116.22	67.28
1.36	115.02	64.95
1.37	0	60.82
1.38	0	53.43
1.39	0	43.61
1.4	0	47.75
1.41	0	56.16
1.42	0	58.35
1.43	0	59.91
1.44	0	65.75
1.45	0	69.79
1.46	0	70.31
1.47	0	66.25
1.48	0	56.85
1.49	0	50.47
1.5	0	51.73
1.51	0	58.92
1.52	112.57	67.09
1.53	112.19	71.91
1.54	110.68	73.74
1.55	108.46	73.92
1.56	105.87	73.6
1.57	103.67	73.35
1.58	101.63	73.23
1.59	99.61	72.89
1.6	98.97	72.39
1.61	98.78	71.98
1.62	98.85	71.04
1.63	98.04	68.8
1.64	0	63.06
1.65	0	52.95
1.66	0	39.98
1.67	0	34.12
1.68	0	31.79
1.69	0	37.83
1.7	0	44.87
1.71	0	44.07
1.72	0	42.37
1.73	0	48.83
1.74	0	57.33
1.75	0	65.07
1.76	114.1	68.75
1.77	112.83	70.13
1.78	111.05	70.77
1.79	110.48	71.29
1.8	110.28	71.48
1.81	109.72	70.35
1.82	109.41	69.12
1.83	108.52	68.52
1.84	107.71	68.06
1.85	107.48	68.51
1.86	105.32	69.7
1.87	103.31	70.06
1.88	101.8	69.59
1.89	100.61	69.16
1.9	99.82	69.22
1.91	99.04	67.92
1.92	101.78	65
1.93	0	60.12
1.94	0	50.64
1.95	0	39.17
1.96	0	25.93
1.97	0	20.12
1.98	0	21.33
1.99	0	23.97
2	0	25.22
2.01	0	27.2
2.02	0	28.62
2.03	0	28.83
2.04	0	0
2.05	0	0
2.06	0	0
?	?	?
