time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.33
0.04	0	27.26
0.05	0	26.55
0.06	0	25.73
0.07	0	24.88
0.08	0	24.19
0.09	0	24.92
0.1	0	27.46
0.11	0	26.53
0.12	0	28.87
0.13	0	40.34
0.14	0	47.98
0.15	0	55.57
0.16	0	61.74
0.17	0	64.49
0.18	0	65.82
0.19	0	69.08
0.2	0	73.67
0.21	106.73	77.82
0.22	106.27	80.37
0.23	106.17	81.01
0.24	106.83	79.89
0.25	104.94	76.21
0.26	0	70.22
0.27	0	67.08
0.28	0	65.14
0.29	0	59.32
0.3	0	50.01
0.31	0	47.38
0.32	0	53.82
0.33	0	54.85
0.34	0	53.32
0.35	0	60.34
0.36	105.96	66.98
0.37	102.91	71.83
0.38	100.35	75.81
0.39	100.22	78.37
0.4	101.52	80.12
0.41	104.68	81.9
0.42	107.14	83.32
0.43	109.01	84.28
0.44	110.51	85.09
0.45	111.89	85.41
0.46	112.81	84.5
0.47	113.64	81.75
0.48	0	75.51
0.49	0	66.8
0.5	114.82	69.58
0.51	116.53	73.6
0.52	117.86	76.18
0.53	117.5	77.56
0.54	114.58	77.87
0.55	111.02	77.05
0.56	104.92	75.44
0.57	102.67	73.52
0.58	99.21	71.11
0.59	93.84	68.37
0.6	0	66.37
0.61	0	65.64
0.62	0	64.26
0.63	0	61.14
0.64	0	56.75
0.65	104.53	56.29
0.66	105.48	59.25
0.67	106.27	61.59
0.68	107.37	63.23
0.69	109.31	64.56
0.7	112.21	66.93
0.71	116.19	72.21
0.72	118.59	76.32
0.73	121.43	77.71
0.74	124.75	78.09
0.75	126.69	78.6
0.76	126.32	79.13
0.77	125.36	79.22
0.78	123.43	79.12
0.79	120.21	78.76
0.8	0	78.22
0.81	0	77.78
0.82	0	77.41
0.83	0	75.69
0.84	0	70.92
0.85	0	62.52
0.86	0	54.41
0.87	0	52.38
0.88	0	51.16
0.89	0	45.84
0.9	0	40.89
0.91	0	35.77
0.92	0	29.77
0.93	0	33.69
0.94	0	46.22
0.95	0	54.67
0.96	0	65.98
0.97	0	73.07
0.98	88.3	75.71
0.99	87.77	76.42
1	86.74	76.46
1.01	85.39	75.35
1.02	84.29	73.31
1.03	83.16	70.85
1.04	0	67.25
1.05	0	62.01
1.06	0	58.82
1.07	0	59.75
1.08	0	61.02
1.09	0	61.79
1.1	0	62.97
1.11	0	63.37
1.12	0	61.82
1.13	0	56.35
1.14	0	44.42
1.15	0	31.49
1.16	0	30.14
1.17	0	32.68
1.18	0	44.1
1.19	0	56.45
1.2	0	66.24
1.21	112.32	73.49
1.22	104.63	77.01
1.23	100.24	77.69
1.24	99.24	77.33
1.25	98.39	77.57
1.26	98.56	78.05
1.27	99.09	78.44
1.28	99.34	78.44
1.29	99.64	78.39
1.3	99.93	78.55
1.31	100.14	78.8
1.32	100.39	78.83
1.33	100.83	78.57
1.34	101.02	78.32
1.35	100.83	78.14
1.36	100.02	77.65
1.37	98.67	76.48
1.38	94.13	73.91
1.39	92.39	69.07
1.4	91.42	66.48
1.41	92.16	68.02
1.42	94.48	69.67
1.43	95.4	70.2
1.44	95.59	70.16
1.45	95.29	69.6
1.46	94.04	68.3
1.47	92.39	66.55
1.48	90.92	64.97
1.49	89.08	63.39
1.5	88.58	60.8
1.51	87.84	59.19
1.52	86.45	58.04
1.53	0	56.89
1.54	0	60.43
1.55	0	69.51
1.56	0	74.35
1.57	83.54	76.13
1.58	82.7	76.83
1.59	81.64	77.25
1.6	80.76	76.76
1.61	80.92	75.57
1.62	80.67	73.65
1.63	80.55	71.13
1.64	0	67.88
1.65	0	62.51
1.66	0	56.84
1.67	82.35	56.06
1.68	83.29	56.51
1.69	84.25	57.26
1.7	86.48	61.73
1.71	87.2	68.41
1.72	88.3	71.46
1.73	89.01	72.63
1.74	89.81	73.32
1.75	90.25	73.66
1.76	90.72	73.74
1.77	91.35	73.82
1.78	92.33	73.95
1.79	92.69	73.84
1.8	92.03	73.62
1.81	91.27	73.66
1.82	89.38	73.25
1.83	0	71.18
1.84	0	65.97
1.85	0	63.78
1.86	0	67.36
1.87	78.42	68.46
1.88	78.14	68.5
1.89	0	68.8
1.9	0	68.23
1.91	0	65.67
1.92	0	65.22
1.93	0	65.27
1.94	0	59.78
1.95	0	56.14
1.96	0	54.17
1.97	0	50.69
1.98	0	48.74
1.99	0	45.21
2	0	38.56
2.01	0	31.13
2.02	0	29.09
2.03	0	28.73
2.04	0	28.11
2.05	0	27.73
2.06	0	27.09
2.07	0	26.99
2.08	0	0
2.09	0	0
2.1	0	0
?	?	?
