time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	25.54
0.04	0	25.52
0.05	0	25.28
0.06	0	25.46
0.07	0	27.48
0.08	0	32.39
0.09	0	38.05
0.1	0	41.55
0.11	0	44.64
0.12	0	46.74
0.13	0	50.85
0.14	0	61.33
0.15	0	68.85
0.16	119.2	72.33
0.17	116.47	73.52
0.18	115.97	74.01
0.19	114.88	74.41
0.2	114.39	74.81
0.21	113.14	75.13
0.22	111.16	75.19
0.23	109.43	74.71
0.24	107.45	73.41
0.25	105.31	70.91
0.26	100.57	66.24
0.27	0	58.01
0.28	0	47.32
0.29	0	50.13
0.3	0	52.61
0.31	106.02	56.91
0.32	105.01	60.96
0.33	104.31	62.73
0.34	103.89	63.25
0.35	103.51	63.34
0.36	103.08	63.22
0.37	102.93	62.95
0.38	102.88	62.83
0.39	104.05	64.77
0.4	103.91	68.3
0.41	103.89	70.02
0.42	103.94	70.59
0.43	103.8	70.83
0.44	103.2	71.09
0.45	103.19	71.63
0.46	103.56	72.23
0.47	103.88	72.47
0.48	105.06	72
0.49	106.81	70.81
0.5	108.35	70.13
0.51	109.21	70.84
0.52	109.46	72.02
0.53	109.77	73.31
0.54	109.94	74.5
0.55	110.05	74.96
0.56	109.8	74.91
0.57	109.72	74.76
0.58	109.62	74.75
0.59	109.08	74.55
0.6	108.51	74.04
0.61	107.73	73.08
0.62	106.11	71.58
0.63	104.61	69
0.64	100.94	65.03
0.65	0	62.99
0.66	0	63.98
0.67	0	64.53
0.68	0	66.16
0.69	0	66.96
0.7	0	66.49
0.71	0	65.78
0.72	0	62.55
0.73	0	55.29
0.74	0	43.53
0.75	0	31.47
0.76	0	26.63
0.77	0	26.89
0.78	0	43.9
0.79	0	57.98
0.8	0	62.42
0.81	0	61.9
0.82	0	66.52
0.83	106.44	71.57
0.84	104.55	74.76
0.85	102.98	76.99
0.86	100.99	78.36
0.87	100.27	79.27
0.88	99.97	79.79
0.89	99.43	80.05
0.9	99.53	80.28
0.91	99.44	80.46
0.92	99.67	80.44
0.93	99.79	80.24
0.94	99.82	79.66
0.95	99.66	78.29
0.96	98.79	75.49
0.97	0	70.15
0.98	0	60.16
0.99	0	51.94
1	0	50
1.01	0	48.45
1.02	0	47.12
1.03	0	46.34
1.04	0	50.21
1.05	0	57.9
1.06	0	66.16
1.07	96.13	71.66
1.08	96.91	74.17
1.09	97.25	74.92
1.1	97.51	75.17
1.11	98.28	75.13
1.12	98.08	74.16
1.13	96.36	71.28
1.14	0	66.24
1.15	0	59.79
1.16	0	51.39
1.17	0	36.7
1.18	0	25.75
1.19	0	24.99
1.2	0	24.7
1.21	0	25.02
1.22	0	28.31
1.23	0	46.45
1.24	0	60.57
1.25	0	64.77
1.26	0	61.31
1.27	0	54.77
1.28	0	51.64
1.29	0	49.56
1.3	0	48.91
1.31	0	51.02
1.32	0	54.2
1.33	0	55.99
1.34	0	55.47
1.35	0	58.74
1.36	0	69.82
1.37	0	76.99
1.38	99.07	79.72
1.39	98.88	80.75
1.4	97.67	81.08
1.41	96.15	80.88
1.42	94.59	80.42
1.43	92.74	79.89
1.44	90.6	79.11
1.45	90.07	78.07
1.46	86.97	76.6
1.47	85.15	74.74
1.48	83.85	74.15
1.49	81.08	73.1
1.5	80.71	71.77
1.51	81.48	70.43
1.52	0	68.56
1.53	0	66.48
1.54	0	63.53
1.55	0	57.72
1.56	0	53.54
1.57	0	44.98
1.58	0	31.13
1.59	0	27.92
1.6	0	33.18
1.61	0	46.07
1.62	0	55.81
1.63	0	57.27
1.64	0	57.57
1.65	0	62.53
1.66	0	65.92
1.67	0	67.66
1.68	0	67.58
1.69	0	66.86
1.7	0	67.62
1.71	0	67.16
1.72	0	66.39
1.73	0	65.23
1.74	0	62.91
1.75	0	60.37
1.76	0	57.85
1.77	0	54.21
1.78	0	48.35
1.79	0	42.76
1.8	0	39.31
1.81	0	37.87
1.82	0	36.39
1.83	0	34.5
1.84	0	34.4
1.85	0	34.71
1.86	0	34.58
1.87	0	33.03
1.88	0	32.14
1.89	0	0
1.9	0	0
1.91	0	0
