time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	34.35
0.05	0	33.42
0.06	0	32.4
0.07	0	32.53
0.08	0	33.55
0.09	0	34.32
0.1	0	33.74
0.11	0	31.73
0.12	0	31.91
0.13	0	38.97
0.14	0	43.38
0.15	0	41.45
0.16	0	37.78
0.17	0	37.13
0.18	0	39.02
0.19	0	52.8
0.2	0	64.88
0.21	142	70.58
0.22	144.18	73.07
0.23	146.02	75.7
0.24	150.47	78.41
0.25	153.34	80.18
0.26	156.66	81.09
0.27	161.42	81.78
0.28	165.29	82.42
0.29	167.2	81.63
0.3	167.49	77.51
0.31	0	70.42
0.32	0	68.16
0.33	0	69.7
0.34	0	69.42
0.35	0	69.14
0.36	0	71.86
0.37	0	74.09
0.38	0	75.07
0.39	0	74.49
0.4	0	72.25
0.41	0	66.43
0.42	0	54.36
0.43	0	42.27
0.44	0	40.86
0.45	0	49.17
0.46	0	57.78
0.47	151.65	61.51
0.48	150.81	62.13
0.49	149.15	62.14
0.5	148.56	67.34
0.51	145.62	73.92
0.52	144.04	76.59
0.53	143.74	77.49
0.54	143.11	77.97
0.55	142.37	78.11
0.56	142	78.16
0.57	141.85	78.26
0.58	141.9	78.28
0.59	141.96	78.08
0.6	142.38	78.19
0.61	143.1	78.52
0.62	143.75	78.69
0.63	143.99	78.78
0.64	144.09	78.74
0.65	144.58	78.5
0.66	145.25	78.14
0.67	145.58	77.07
0.68	144.81	73.99
0.69	143.26	67.53
0.7	146.47	60.05
0.71	149.04	58.52
0.72	149.97	58.33
0.73	150.44	57.93
0.74	150.23	57.39
0.75	0	56.8
0.76	0	56.29
0.77	0	55.78
0.78	0	55.12
0.79	0	54.42
0.8	0	54.79
0.81	129.74	58.34
0.82	129.03	62.44
0.83	124.21	65.38
0.84	122.48	66.56
0.85	120.63	64.46
0.86	0	57.91
0.87	0	45.28
0.88	0	36.04
0.89	0	48.37
0.9	0	59.08
0.91	0	62.45
0.92	0	65.08
0.93	0	69.1
0.94	0	71.66
0.95	0	73.06
0.96	0	72.61
0.97	0	71.2
0.98	0	70.14
0.99	0	68.28
1	0	64.78
1.01	0	61
1.02	0	64.62
1.03	149.18	72.52
1.04	149.25	75.68
1.05	148.33	76.54
1.06	148.31	77.17
1.07	148.12	77.61
1.08	146.93	77.41
1.09	145.47	76.89
1.1	143.17	76.46
1.11	141.7	75.96
1.12	141.17	75.51
1.13	140.75	74.87
1.14	140.33	72.81
1.15	138.12	67.49
1.16	0	58.21
1.17	0	52.22
1.18	0	50.69
1.19	0	49.48
1.2	0	52.48
1.21	0	57.28
1.22	132.83	59.94
1.23	132.35	62.91
1.24	132.68	65.55
1.25	133.38	67.48
1.26	133.92	68.32
1.27	134.1	68.24
1.28	134.39	67.44
1.29	133.44	65.64
1.3	131.32	62.73
1.31	0	58.46
1.32	0	54.74
1.33	0	54.37
1.34	0	54.52
1.35	0	54.15
1.36	0	56.56
1.37	0	59.12
1.38	0	54.76
1.39	0	44.13
1.4	0	39.09
1.41	0	49.84
1.42	0	62.29
1.43	0	66.2
1.44	0	64.65
1.45	0	64.66
1.46	0	64.32
1.47	0	63.47
1.48	0	61.71
1.49	0	57.54
1.5	0	66.39
1.51	137.32	75.28
1.52	134.96	79.03
1.53	132.8	80.02
1.54	131.76	80.04
1.55	131.39	79.63
1.56	131.93	79.49
1.57	132.77	79.93
1.58	132.54	80.51
1.59	131.93	80.68
1.6	131.5	80.72
1.61	130.93	80.38
1.62	130.37	79.66
1.63	130.09	79.11
1.64	129.73	78.76
1.65	129.15	78.49
1.66	128.24	77.94
1.67	127.01	77.32
1.68	126.03	76.78
1.69	125.32	76.29
1.7	124.1	75.1
1.71	124.38	72.33
1.72	123.73	68.5
1.73	120.2	63.31
1.74	0	61.61
1.75	0	65.29
1.76	0	67.83
1.77	0	68.93
1.78	0	69.09
1.79	0	67.64
1.8	0	64.68
1.81	0	59.11
1.82	0	57.29
1.83	0	61.99
1.84	0	63.93
1.85	0	62.11
1.86	0	59.41
1.87	0	57.44
1.88	0	57.83
1.89	0	59.42
1.9	0	58.68
1.91	0	59.87
1.92	136.69	69.47
1.93	135.76	75.85
1.94	133.53	78.99
1.95	130	80.75
1.96	127.69	81.55
1.97	126.87	81.52
1.98	126.41	81.13
1.99	126.24	80.57
2	126.35	80.1
2.01	127.36	79.88
2.02	127.79	79.51
2.03	127.92	78.15
2.04	128.29	75.98
2.05	127.46	72.22
2.06	126.88	67.53
2.07	128.02	69.12
2.08	128.7	71.61
2.09	128.46	72.56
2.1	128.25	72.67
2.11	128.66	72.78
2.12	129.51	72.64
2.13	130.24	72.11
2.14	130.84	71.25
2.15	131.41	70.3
2.16	132.24	69.27
2.17	135.59	69.61
2.18	137.14	72.41
2.19	137.64	73.73
2.2	138.68	73.64
2.21	139.93	73.45
2.22	140.85	73.17
2.23	141.52	72.28
2.24	142.38	70.36
2.25	143.35	67.46
2.26	142.8	63.32
2.27	143.49	58.52
2.28	0	53.43
2.29	0	47.56
2.3	0	43.63
2.31	0	44.77
2.32	0	45.01
2.33	0	40.67
2.34	0	35.92
2.35	0	35.38
2.36	0	35.67
2.37	0	35.51
2.38	0	0
2.39	0	0
2.4	0	0
?	?	?
