time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.76
0.05	0	26.91
0.06	0	25.43
0.07	0	25.23
0.08	0	25.13
0.09	0	25.02
0.1	0	24.75
0.11	0	24.44
0.12	0	25.02
0.13	0	28.56
0.14	0	29.15
0.15	0	27.31
0.16	0	27.21
0.17	0	27.06
0.18	0	26.54
0.19	0	25.84
0.2	0	25.31
0.21	0	25.42
0.22	0	34.96
0.23	0	52.31
0.24	0	61.12
0.25	0	65.12
0.26	0	68.23
0.27	0	69.39
0.28	125.75	69.19
0.29	128.92	66.9
0.3	131.13	64.46
0.31	130.49	63.64
0.32	129.5	61.47
0.33	126.14	58.26
0.34	0	57.4
0.35	0	61.07
0.36	0	66.81
0.37	0	71.21
0.38	0	74.39
0.39	0	75.34
0.4	0	74.49
0.41	0	73.94
0.42	0	73.5
0.43	0	72.17
0.44	0	71
0.45	0	70.39
0.46	0	68.61
0.47	0	65.61
0.48	0	65.6
0.49	156.3	69.67
0.5	157.69	71.89
0.51	158.49	72.54
0.52	158.2	72.73
0.53	158.87	72.81
0.54	159.97	72.95
0.55	160.85	73.37
0.56	161.64	74.07
0.57	162.75	74.89
0.58	164.25	75.9
0.59	165.31	77.12
0.6	165.74	78.31
0.61	165.76	79.13
0.62	165.4	79.4
0.63	164.23	79.1
0.64	162.29	78.25
0.65	160.1	76.72
0.66	157.14	74.49
0.67	153.93	72.06
0.68	150.63	69.67
0.69	147.04	67.3
0.7	144.1	65.32
0.71	142.24	64.38
0.72	141.31	64.86
0.73	142.06	66.92
0.74	144.09	70.05
0.75	146.18	73.63
0.76	147.63	76.91
0.77	148.35	79.25
0.78	148.67	80.82
0.79	148.95	82.37
0.8	149.37	83.98
0.81	149.46	84.86
0.82	148.79	84.93
0.83	147.81	84.8
0.84	146.71	84.78
0.85	145.02	84.64
0.86	142.28	84.28
0.87	138.76	83.91
0.88	135.35	83.62
0.89	131.99	83.12
0.9	128.78	82.17
0.91	127.13	80.8
0.92	127	79.12
0.93	126.89	77.2
0.94	126.31	74.62
0.95	125.43	71.65
0.96	124.21	68.46
0.97	0	64.85
0.98	0	59.86
0.99	0	51.56
1	0	41.03
1.01	0	27.94
1.02	0	23.67
1.03	0	29.91
1.04	0	47.83
1.05	0	56.47
1.06	0	58.33
1.07	0	58.47
1.08	0	57.7
1.09	0	57.88
1.1	0	57.5
1.11	0	55.67
1.12	0	53.55
1.13	0	53.04
1.14	0	52.54
1.15	0	51.21
1.16	0	49.99
1.17	0	47.68
1.18	0	45.54
1.19	0	44.19
1.2	0	41.06
1.21	0	39.28
1.22	0	39.18
1.23	0	38.37
1.24	0	36.94
1.25	0	37.46
1.26	0	37.45
1.27	0	36.48
1.28	0	36.06
1.29	0	35.3
1.3	0	34.85
1.31	0	35.02
1.32	0	35.81
1.33	0	36.31
1.34	0	35.64
1.35	0	34.2
1.36	0	32.94
1.37	0	32.92
1.38	0	32.81
1.39	0	31.91
1.4	0	32.8
1.41	0	34.42
1.42	0	36.27
1.43	0	39.7
1.44	0	44.69
1.45	0	50.04
1.46	0	54.61
1.47	0	57.8
1.48	0	59.67
1.49	0	62.28
1.5	0	64.56
1.51	0	65.98
1.52	0	66.33
1.53	0	66.44
1.54	0	66.54
1.55	0	65.09
1.56	0	62.61
1.57	0	66.04
1.58	131.68	71.06
1.59	131.81	73.64
1.6	131.17	74.18
1.61	130.8	73.42
1.62	130.74	72.54
1.63	130.01	71.63
1.64	128.85	70.49
1.65	127.68	69.77
1.66	127.33	69.93
1.67	127.97	71.27
1.68	128.5	73.36
1.69	128.34	75.21
1.7	127.74	76.65
1.71	126.84	77.73
1.72	126.13	78.31
1.73	125.8	78.33
1.74	125.69	77.73
1.75	125.56	76.26
1.76	124.73	73.67
1.77	121.91	70.03
1.78	0	66.44
1.79	0	65.97
1.8	0	67.22
1.81	0	66.07
1.82	0	64.18
1.83	0	63.32
1.84	0	62.02
1.85	0	60.61
1.86	0	60.56
1.87	0	60.99
1.88	0	59.45
1.89	0	60.95
1.9	121.72	67.89
1.91	119.86	72
1.92	118.42	73.37
1.93	117.67	72.8
1.94	0	69.98
1.95	0	66.47
1.96	0	67.67
1.97	0	69.33
1.98	0	69.61
1.99	0	70.56
2	0	71.96
2.01	0	72.97
2.02	0	73.17
2.03	0	72.76
2.04	0	72.36
2.05	0	72.95
2.06	0	72.96
2.07	0	72.42
2.08	0	72.02
2.09	0	70.86
2.1	0	68.37
2.11	0	65.28
2.12	117.74	68.76
2.13	117.58	72.94
2.14	117.28	74.64
2.15	115.57	75.55
2.16	0	76.29
2.17	0	76.33
2.18	0	75.35
2.19	0	73.74
2.2	0	72.93
2.21	0	69.28
2.22	0	66.38
2.23	0	60.04
2.24	0	47.26
2.25	0	35.55
2.26	0	33.92
2.27	0	32.16
2.28	0	26.27
2.29	0	24.3
2.3	0	25.71
2.31	0	25.77
2.32	0	24.26
2.33	0	22.84
2.34	0	23.26
2.35	0	33.28
2.36	0	50.3
2.37	0	56.93
2.38	0	55.45
2.39	0	48.5
2.4	0	45.64
2.41	0	43.58
2.42	0	39.78
2.43	0	38.25
2.44	0	36.46
2.45	0	33.94
2.46	0	32.45
2.47	0	30.8
2.48	0	0
2.49	0	0
2.5	0	0
?	?	?
