time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	33.18
0.05	0	32.1
0.06	0	29.95
0.07	0	28.3
0.08	0	26.48
0.09	0	25.86
0.1	0	26.16
0.11	0	27.99
0.12	0	47
0.13	0	64.92
0.14	0	71.79
0.15	0	72.2
0.16	0	71.11
0.17	0	71.26
0.18	0	69.97
0.19	0	66.94
0.2	0	63.8
0.21	0	67.25
0.22	0	71.14
0.23	111.03	71.64
0.24	110.42	70.91
0.25	108.75	70.37
0.26	106.15	69.53
0.27	103.84	67.92
0.28	102.86	67.06
0.29	102.21	67.04
0.3	101.77	67.07
0.31	101.59	66.86
0.32	101.34	66.64
0.33	102.22	66.9
0.34	105.07	69.15
0.35	106.96	72.14
0.36	107.65	74.05
0.37	108.3	74.69
0.38	109.44	74.81
0.39	111.26	75.16
0.4	112.57	75.57
0.41	113.82	75.43
0.42	115.01	73.89
0.43	115.77	70.16
0.44	119.02	68.79
0.45	118.96	71.59
0.46	118.97	72.86
0.47	120.44	72.62
0.48	121.37	72.09
0.49	122.59	71.65
0.5	123.7	71.29
0.51	124.47	70.8
0.52	125.27	70.22
0.53	125.11	69.58
0.54	124.3	68.6
0.55	124.26	67.29
0.56	124.76	66.23
0.57	125.3	65.31
0.58	127.5	64.7
0.59	128.86	64.24
0.6	128.19	63.7
0.61	126.42	63.78
0.62	123.01	65.24
0.63	120.73	67.1
0.64	118.29	68.6
0.65	113.69	70.32
0.66	108.12	71.98
0.67	104.63	73.57
0.68	102.6	74.09
0.69	100.86	73.18
0.7	98.21	70.58
0.71	0	64.87
0.72	0	55.7
0.73	0	47.63
0.74	0	44.42
0.75	0	42.1
0.76	0	39.34
0.77	0	37.39
0.78	0	36.74
0.79	0	37.04
0.8	0	37.68
0.81	0	39.1
0.82	0	49.37
0.83	0	62.37
0.84	0	75.01
0.85	0	81.63
0.86	104.94	83.14
0.87	105.67	83.15
0.88	106.18	83.22
0.89	106.31	83.23
0.9	106.33	83.22
0.91	106.41	83.23
0.92	107.06	83.68
0.93	107.62	83.55
0.94	107.94	82.66
0.95	107.97	82.01
0.96	107.83	81.79
0.97	107.93	80.94
0.98	108.08	79.03
0.99	0	74.79
1	0	66.79
1.01	0	57.14
1.02	0	52.67
1.03	0	51.4
1.04	0	50.8
1.05	0	49.73
1.06	0	48.21
1.07	0	44.52
1.08	0	41.9
1.09	0	54.35
1.1	0	63.96
1.11	0	66.44
1.12	109.92	70.12
1.13	109.75	75
1.14	110.82	77.15
1.15	108.73	77.14
1.16	106.5	77.17
1.17	106.51	77.59
1.18	105.68	76.48
1.19	104.72	75.22
1.2	103.81	75.32
1.21	102.92	75.19
1.22	102.68	75.14
1.23	102.14	75.25
1.24	102.53	75.11
1.25	103.23	75.36
1.26	104.23	75.43
1.27	105.4	75.5
1.28	106.56	74.97
1.29	107.22	72.25
1.3	109.65	68.32
1.31	110.28	66.75
1.32	109.05	67.28
1.33	105.04	69.24
1.34	101.83	70.11
1.35	100.98	69.44
1.36	99.92	67.93
1.37	98.6	65.78
1.38	98.17	63.54
1.39	99.77	63.35
1.4	100.22	63.99
1.41	100.02	64.28
1.42	100.06	64.28
1.43	98.82	63.63
1.44	96.4	62.06
1.45	94.62	60.18
1.46	0	58.11
1.47	0	54.66
1.48	0	50.93
1.49	0	49.56
1.5	0	56.93
1.51	0	68.57
1.52	108.98	75.49
1.53	108.28	79.47
1.54	107.38	81.46
1.55	106.55	81.93
1.56	106	81.23
1.57	104.54	79
1.58	100.47	74.06
1.59	0	65.41
1.6	0	54.67
1.61	0	56.5
1.62	0	61.09
1.63	0	60.58
1.64	0	59.52
1.65	108.5	63.19
1.66	103.33	67.15
1.67	99.02	69.31
1.68	99.92	70.34
1.69	101.94	70.83
1.7	103.64	70.92
1.71	104.01	71.39
1.72	104.56	72.31
1.73	105.38	72.1
1.74	104.97	70.6
1.75	104.51	68.8
1.76	104.1	67.56
1.77	103.2	66.67
1.78	102.1	65.47
1.79	100.04	63.54
1.8	99.15	61.63
1.81	98.57	60.56
1.82	98.7	59.51
1.83	100.29	58.7
1.84	101.46	58.01
1.85	0	56.26
1.86	0	53.51
1.87	0	50.56
1.88	0	48.32
1.89	0	46.83
1.9	0	45.99
1.91	0	45.39
1.92	0	44.06
1.93	0	42.62
1.94	0	41.69
1.95	0	40.66
1.96	0	41.22
1.97	0	41.18
1.98	0	39.59
1.99	0	39.68
2	0	38.33
2.01	0	34.57
2.02	0	34.69
2.03	0	36.26
2.04	0	35.48
2.05	0	35.18
2.06	0	34.08
2.07	0	34.06
2.08	0	35.24
2.09	0	0
2.1	0	0
2.11	0	0
?	?	?
