time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	23.87
0.05	0	25.92
0.06	0	27.65
0.07	0	29.43
0.08	0	31.03
0.09	0	31.68
0.1	0	30.56
0.11	0	29.55
0.12	0	38.81
0.13	0	54.77
0.14	138.07	64.7
0.15	134.74	70.41
0.16	129.47	73.9
0.17	129.7	76.12
0.18	130.98	77.43
0.19	128.9	78.59
0.2	126.7	79.1
0.21	124.32	78.16
0.22	121.55	75.82
0.23	117.74	72.08
0.24	0	66.64
0.25	0	63.09
0.26	0	61.99
0.27	0	60.41
0.28	0	59.54
0.29	122.22	60.88
0.3	122.23	64.73
0.31	121.31	68.65
0.32	120.53	71.17
0.33	120.77	72.32
0.34	119.36	71.92
0.35	118.21	69.34
0.36	116.2	64.57
0.37	117.6	63.23
0.38	122.59	69.4
0.39	126.81	75.53
0.4	127.94	79.56
0.41	128.8	81.91
0.42	129.06	83.02
0.43	129.24	83.22
0.44	129.49	83.17
0.45	129.37	83.24
0.46	128.95	83.29
0.47	128.93	83.31
0.48	129.71	83.32
0.49	130.28	83.27
0.5	130.44	83.18
0.51	130.43	82.98
0.52	130.21	82.7
0.53	129.81	82.3
0.54	129.35	81.76
0.55	128.79	81.06
0.56	128.03	80.09
0.57	126.45	77.96
0.58	122.83	73.15
0.59	117.33	64.89
0.6	115.16	56.5
0.61	0	51.59
0.62	0	51.2
0.63	124.68	56.72
0.64	127.24	64.46
0.65	128.2	70.32
0.66	128.31	73.54
0.67	128.99	74.8
0.68	129.25	75.01
0.69	129.1	74.26
0.7	129.1	73.08
0.71	129.39	72.47
0.72	129.76	71.87
0.73	130.03	71.41
0.74	129.97	71.03
0.75	130.05	70.61
0.76	130.14	70.33
0.77	129.99	70.04
0.78	129.2	69.56
0.79	128.45	68.99
0.8	127.9	68.4
0.81	127.29	67.62
0.82	126.83	66.38
0.83	125.33	63.64
0.84	124.91	60.89
0.85	125.13	60.66
0.86	124.45	61.2
0.87	123.21	62.28
0.88	122.66	63.98
0.89	124.03	66.02
0.9	124.71	67.45
0.91	125.84	69.43
0.92	127.26	72.61
0.93	127.62	74.37
0.94	128.29	74.96
0.95	129.45	75.34
0.96	130.62	75.4
0.97	131.55	75.39
0.98	133.14	75.33
0.99	134.77	74.62
1	135.96	73.16
1.01	136.51	71.73
1.02	136.28	70.43
1.03	134.85	68.14
1.04	132.19	63.08
1.05	0	54.8
1.06	0	52.4
1.07	138.69	58.57
1.08	139.07	63.97
1.09	139.23	66.63
1.1	138.5	66.71
1.11	136.17	65.16
1.12	134.63	62.88
1.13	129.31	58.81
1.14	0	53.05
1.15	0	48.85
1.16	0	47.57
1.17	0	46.07
1.18	0	43.9
1.19	0	43.65
1.2	0	43.11
1.21	0	42.26
1.22	0	42.35
1.23	0	41.58
1.24	0	40.1
1.25	0	39.1
1.26	0	38.29
1.27	0	39.02
1.28	0	40.26
1.29	0	39.82
1.3	0	0
1.31	0	0
1.32	0	0
