time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.33
0.05	0	27.76
0.06	0	26
0.07	0	25.15
0.08	0	25.07
0.09	0	26.51
0.1	0	28.56
0.11	0	28.4
0.12	0	36.9
0.13	0	50.9
0.14	0	56.84
0.15	0	58.33
0.16	130.68	63.58
0.17	126.84	68.49
0.18	126.02	70.29
0.19	125.39	68.36
0.2	116.98	62.25
0.21	116.94	60.3
0.22	120.97	62.98
0.23	125.36	69.27
0.24	126.65	74.1
0.25	128.49	77
0.26	130.6	78.82
0.27	134.57	80.11
0.28	138	81.24
0.29	140.86	81.89
0.3	142.77	82.23
0.31	144.56	82.47
0.32	146.31	82.46
0.33	147.36	81.36
0.34	147.36	77.67
0.35	0	69.63
0.36	0	55.64
0.37	0	43.03
0.38	0	38.93
0.39	0	43.52
0.4	0	50.94
0.41	0	56.67
0.42	0	61.95
0.43	0	65.08
0.44	0	65.68
0.45	0	64.68
0.46	0	66.25
0.47	131.51	70
0.48	132.41	72.58
0.49	134.07	74.99
0.5	135.75	76.99
0.51	137.15	78.54
0.52	137.23	79.75
0.53	136.65	80.74
0.54	135.92	81.64
0.55	135.34	82.35
0.56	134.79	82.98
0.57	134.19	83.44
0.58	133.38	83.59
0.59	132.84	83.63
0.6	132.38	83.62
0.61	131.99	83.46
0.62	130.93	83.04
0.63	129.94	82.52
0.64	128.56	81.83
0.65	127.61	80.63
0.66	127.85	78.43
0.67	127.56	75.44
0.68	120.91	72.45
0.69	123.61	68.77
0.7	123.68	65.1
0.71	121.56	62.83
0.72	120.24	61.55
0.73	117.7	61.37
0.74	120.56	62.98
0.75	122.91	66.4
0.76	125.16	70.61
0.77	127.81	74.26
0.78	128.89	76.36
0.79	128.16	77.16
0.8	127.26	78.44
0.81	126.24	79.79
0.82	125.24	80.33
0.83	124.67	80.51
0.84	124.72	80.6
0.85	124.66	80.7
0.86	124.44	80.68
0.87	124.02	80.37
0.88	123.31	80.11
0.89	122.27	79.89
0.9	121.15	79.55
0.91	120.28	79.09
0.92	119.08	78.52
0.93	118.05	77.85
0.94	117.18	76.88
0.95	116.44	75.48
0.96	115.6	73.59
0.97	114.96	70.59
0.98	114.36	66.16
0.99	115.16	62.85
1	114.13	61.73
1.01	111.82	60.17
1.02	107.44	57.34
1.03	0	52.91
1.04	0	48.78
1.05	0	47.85
1.06	0	48.04
1.07	0	54.42
1.08	0	65.59
1.09	0	70.4
1.1	0	70.75
1.11	0	69.37
1.12	0	65.68
1.13	0	59.81
1.14	0	62.72
1.15	122.76	67.94
1.16	122.25	69.34
1.17	121.22	69.06
1.18	120.06	68.22
1.19	118.29	66.92
1.2	116.89	64.61
1.21	0	59.58
1.22	0	49.73
1.23	0	33.87
1.24	0	30.8
1.25	0	47.79
1.26	0	59.08
1.27	0	64.67
1.28	0	66.1
1.29	0	64.13
1.3	0	60.7
1.31	0	57.61
1.32	0	55.79
1.33	0	63.88
1.34	121.15	71.92
1.35	120.76	75.56
1.36	119.02	77.12
1.37	116.52	77.57
1.38	113.83	77.48
1.39	111.52	77.03
1.4	108.76	76.22
1.41	106.39	75.23
1.42	104.14	74.15
1.43	102.83	72.96
1.44	101.21	71.85
1.45	100.26	70.88
1.46	99.14	70.03
1.47	97.9	69.13
1.48	97.19	68.06
1.49	97.21	67.16
1.5	96.81	66.43
1.51	92.59	64.51
1.52	95.42	61.54
1.53	0	58.13
1.54	0	51.41
1.55	0	49.82
1.56	0	51.13
1.57	0	51.15
1.58	0	52.55
1.59	0	55.08
1.6	0	54.66
1.61	0	51.43
1.62	0	48.03
1.63	0	45.97
1.64	0	45.38
1.65	0	44.49
1.66	0	41.95
1.67	0	40.32
1.68	0	40.7
1.69	0	39.49
1.7	0	37.52
1.71	0	35.68
1.72	0	33.27
1.73	0	31.09
1.74	0	32.14
1.75	0	0
1.76	0	0
1.77	0	0
