time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	33.21
0.05	0	32.38
0.06	0	31.13
0.07	0	30.56
0.08	0	31.37
0.09	0	32.02
0.1	0	33.03
0.11	0	33.77
0.12	0	41.86
0.13	0	55.94
0.14	0	62.96
0.15	0	64.01
0.16	0	64.83
0.17	0	72.92
0.18	118.58	78.54
0.19	114.95	80.99
0.2	110.8	81.75
0.21	109.81	80.96
0.22	106.36	78.5
0.23	105.24	74.03
0.24	0	66.52
0.25	0	54.16
0.26	0	41.02
0.27	0	33.72
0.28	0	31.18
0.29	0	32.69
0.3	0	52.14
0.31	0	63.82
0.32	0	66.33
0.33	0	63.72
0.34	0	61.6
0.35	0	60.9
0.36	0	66.14
0.37	0	74.82
0.38	122.37	78.98
0.39	122.98	80.24
0.4	123.4	81.01
0.41	124.04	81.54
0.42	124.55	81.83
0.43	125.54	81.97
0.44	126.53	82.1
0.45	126.97	82.23
0.46	126.69	82.28
0.47	125.43	82.12
0.48	124.12	81.75
0.49	122.6	81.36
0.5	120.91	80.71
0.51	118.43	79.7
0.52	116.03	77.63
0.53	111.35	73.76
0.54	106.54	68.52
0.55	102.74	63.21
0.56	99.56	58.35
0.57	99.48	55.71
0.58	103.83	58.16
0.59	105.5	63.17
0.6	104.57	67.1
0.61	102.28	69.63
0.62	100.82	71.3
0.63	98.83	72.62
0.64	96.34	73.29
0.65	93.46	72.86
0.66	92.21	71.54
0.67	91.13	69.05
0.68	0	65.02
0.69	0	65.95
0.7	0	71.22
0.71	0	73.54
0.72	0	73.73
0.73	0	73.52
0.74	0	73.31
0.75	0	71.57
0.76	0	68.71
0.77	0	64.92
0.78	0	63.19
0.79	0	72.64
0.8	96.48	77.33
0.81	95.53	78.5
0.82	94.66	78.83
0.83	94.16	79.2
0.84	93.46	79.55
0.85	92.63	79.64
0.86	91.79	79.48
0.87	90.57	79.38
0.88	88.88	78.42
0.89	87.11	76.55
0.9	84.72	73.67
0.91	0	68.87
0.92	0	62.55
0.93	0	55.99
0.94	0	52.07
0.95	0	51.32
0.96	0	48.55
0.97	0	42.64
0.98	0	43.4
0.99	0	44.16
1	0	43.93
1.01	0	49.58
1.02	0	55.85
1.03	0	56.27
1.04	0	63.28
1.05	0	72.07
1.06	0	75.94
1.07	91.48	76.53
1.08	91.12	75.58
1.09	89.87	73.98
1.1	88.32	73.03
1.11	86.93	73.19
1.12	86.27	73.36
1.13	85.01	72.77
1.14	84	72.01
1.15	82.99	70.4
1.16	80.05	67.55
1.17	81.1	64.48
1.18	81.6	61.74
1.19	81.01	57.05
1.2	0	50.47
1.21	0	47.36
1.22	0	46.27
1.23	0	44.54
1.24	0	43.11
1.25	0	40.57
1.26	0	38.43
1.27	0	37.98
1.28	0	36.42
1.29	0	35.06
1.3	0	0
1.31	0	0
1.32	0	0
