time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	26.56
0.04	0	26.62
0.05	0	25.79
0.06	0	25.54
0.07	0	25.76
0.08	0	25.79
0.09	0	26.32
0.1	0	27.08
0.11	0	29.35
0.12	0	32.96
0.13	0	41.38
0.14	0	52.8
0.15	144.42	61.52
0.16	144.26	67.65
0.17	143.53	70.41
0.18	143.25	71.48
0.19	143.32	72.3
0.2	144.09	73.2
0.21	145.49	74.15
0.22	147.11	74.95
0.23	148.16	75.74
0.24	148.17	76.04
0.25	147.51	75.8
0.26	146.09	75.59
0.27	144.54	75.42
0.28	144.09	75.02
0.29	144.89	74.52
0.3	145.52	74.06
0.31	144.84	73.29
0.32	144.01	72.56
0.33	143.4	72.16
0.34	142.88	71.44
0.35	142.19	69.75
0.36	142.2	66.85
0.37	144.83	65.52
0.38	146.42	65.72
0.39	147.26	65.91
0.4	149.06	65.99
0.41	152.18	67.56
0.42	153.38	72.05
0.43	154.45	75.21
0.44	158.81	76.94
0.45	162.24	78.64
0.46	164.53	80.15
0.47	166.61	81.05
0.48	168.86	80.79
0.49	169.69	79.59
0.5	167.5	78.05
0.51	161.53	76.44
0.52	157.11	73.47
0.53	0	66.54
0.54	0	53.64
0.55	0	43.92
0.56	0	37.58
0.57	0	43.26
0.58	0	54.03
0.59	0	65.15
0.6	0	71.94
0.61	0	72.1
0.62	0	69.33
0.63	0	66.52
0.64	0	66.51
0.65	172.16	75.76
0.66	171.41	81.39
0.67	169.83	83.02
0.68	169.62	82.88
0.69	169.63	82.78
0.7	168.13	82.72
0.71	166.72	82.68
0.72	166.77	83.01
0.73	167.64	83.53
0.74	169.09	83.88
0.75	171	83.66
0.76	173	82.94
0.77	175.32	82.08
0.78	177.55	80.9
0.79	178.97	79.15
0.8	179.28	76.6
0.81	177.82	72.26
0.82	171.2	65.61
0.83	0	58.5
0.84	0	54.92
0.85	0	57.97
0.86	0	60.31
0.87	0	64.43
0.88	0	66.58
0.89	0	67.65
0.9	0	68.86
0.91	0	69.89
0.92	0	69.7
0.93	0	66.14
0.94	0	66.73
0.95	158.37	73.11
0.96	156.37	76.6
0.97	153.32	77.65
0.98	150.09	77.25
0.99	146.65	76.02
1	143.38	73.85
1.01	141.81	71.66
1.02	141.44	70.78
1.03	142.44	70.99
1.04	144.88	71.85
1.05	148.46	72.77
1.06	151.07	73.34
1.07	151.96	73.6
1.08	152.15	73.83
1.09	152.52	74.09
1.1	153.48	74.44
1.11	154.04	74.69
1.12	153.87	74.51
1.13	153.11	73.7
1.14	151.5	71.59
1.15	145.63	66.81
1.16	141.06	60.21
1.17	138.71	58.88
1.18	146.07	64.38
1.19	151.27	70.47
1.2	151.98	73.8
1.21	150.86	75.3
1.22	147.77	75.35
1.23	144.03	74.24
1.24	139.56	71.41
1.25	127.59	66.93
1.26	120.27	64.53
1.27	118.51	64.37
1.28	118.05	63.99
1.29	121.78	63.51
1.3	127.21	64.03
1.31	137.61	66.43
1.32	146.93	69.51
1.33	153.18	72.7
1.34	157.99	75.08
1.35	164.32	76.56
1.36	168.04	77.75
1.37	169.16	78.47
1.38	169.27	78.86
1.39	168.48	78.94
1.4	166.87	78.74
1.41	165.02	78.45
1.42	163.49	78.26
1.43	162.6	78.15
1.44	162.29	77.98
1.45	162.57	77.79
1.46	163.07	77.62
1.47	163.3	77.5
1.48	163.24	77.48
1.49	162.86	77.45
1.5	162.81	77.22
1.51	163.29	76.67
1.52	163.51	75.7
1.53	162.58	74.37
1.54	160.7	72.87
1.55	158.04	71.24
1.56	154.77	69.45
1.57	150.77	67.3
1.58	146.15	65.11
1.59	143.44	63.55
1.6	142.2	62.73
1.61	140.71	63.7
1.62	144.6	67.38
1.63	146.44	69.65
1.64	155.56	69.89
1.65	168.68	69.31
1.66	171.41	67.48
1.67	164.74	68.62
1.68	161.4	70.95
1.69	159.1	71.51
1.7	155.59	71.39
1.71	151.83	71.88
1.72	148.46	72.82
1.73	145.41	73.77
1.74	142.57	74.02
1.75	139.86	74.17
