time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	32.86
0.05	0	33.28
0.06	0	34.86
0.07	0	36.97
0.08	0	39.14
0.09	0	40.03
0.1	0	40.66
0.11	0	42.4
0.12	0	44.81
0.13	0	47.04
0.14	0	48.47
0.15	0	49.44
0.16	0	51.29
0.17	0	53.11
0.18	0	54.68
0.19	0	55.85
0.2	0	56.76
0.21	0	57.41
0.22	0	56.87
0.23	0	56.22
0.24	0	56.07
0.25	0	55.14
0.26	0	60.32
0.27	0	71.15
0.28	148.28	77.27
0.29	148.09	79.85
0.3	148.07	80.49
0.31	148.79	80.24
0.32	149.77	80.13
0.33	150.65	80.05
0.34	150.7	79.63
0.35	150.18	79.03
0.36	150.06	78.57
0.37	149.96	78.29
0.38	149.71	78.03
0.39	148.83	77.68
0.4	146.81	76.79
0.41	143.67	75.31
0.42	140.97	74.12
0.43	138.55	74.02
0.44	136.91	75.3
0.45	136.17	77.44
0.46	135.55	79.56
0.47	134.47	81.25
0.48	133.53	82.24
0.49	132.54	82.42
0.5	131.74	81.67
0.51	130.97	78.94
0.52	0	72
0.53	0	60.65
0.54	0	55.93
0.55	0	53.94
0.56	0	53.58
0.57	0	57.38
0.58	191.68	63.21
0.59	0	67.23
0.6	135.26	72.09
0.61	134.05	77.82
0.62	127.67	81.35
0.63	126.5	82.81
0.64	125.44	83.32
0.65	124.72	83.02
0.66	124	82.26
0.67	123.48	81.33
0.68	122.82	80.58
0.69	0	80.05
0.7	0	79.13
0.71	0	76.77
0.72	0	73.76
0.73	0	67.4
0.74	0	65.95
0.75	0	64.18
0.76	0	54.46
0.77	0	44.14
0.78	0	42.17
0.79	0	40.37
0.8	0	41.65
0.81	0	47.5
0.82	0	55.28
0.83	0	59.6
0.84	0	61.98
0.85	0	64.86
0.86	0	65.47
0.87	0	65.38
0.88	0	64.16
0.89	0	62.91
0.9	0	60.96
0.91	0	60.4
0.92	0	67.02
0.93	144.92	74.39
0.94	141.38	77.79
0.95	135.33	79
0.96	131.11	79.75
0.97	128.07	79.97
0.98	127.62	79.89
0.99	127.49	79.96
1	127.62	80.02
1.01	127.47	80.15
1.02	127.15	80.41
1.03	127.01	80.79
1.04	126.52	81.09
1.05	126.11	81.17
1.06	126.1	81.38
1.07	125.47	81.81
1.08	124.26	82.05
1.09	123.27	81.7
1.1	123.33	80.88
1.11	123.51	80.05
1.12	123.25	79.25
1.13	122.63	78.48
1.14	120.98	77.82
1.15	119.18	77.01
1.16	117.45	75.83
1.17	118.69	75.06
1.18	0	74.49
1.19	0	73.97
1.2	106.2	74.2
1.21	106.57	75.45
1.22	106.77	77.65
1.23	0	78.54
1.24	0	78.36
1.25	0	78.27
1.26	0	77.63
1.27	105.08	75.77
1.28	112.72	69.81
1.29	112.84	62.74
1.3	116.7	59.86
1.31	0	57.6
1.32	0	54.89
1.33	0	53.24
1.34	0	51.55
1.35	0	50.6
1.36	0	56.44
1.37	0	66.68
1.38	0	73.64
1.39	117.09	77.12
1.4	123.12	79.16
1.41	121.86	79.78
1.42	121.38	79.63
1.43	120.73	79.23
1.44	120.85	78.76
1.45	121.06	78.44
1.46	121.91	78.44
1.47	123.41	78.69
1.48	124.2	78.72
1.49	124.63	78.32
1.5	125.19	76.92
1.51	124.11	73.41
1.52	123.17	67.54
1.53	0	63.39
1.54	0	62.67
1.55	0	62.76
1.56	0	62.5
1.57	0	62.01
1.58	0	60.97
1.59	0	57.74
1.6	0	52.83
1.61	0	49.78
1.62	0	50.85
1.63	0	54.5
1.64	0	57.94
1.65	0	61.2
1.66	0	65.47
1.67	0	67.95
1.68	0	67.87
1.69	0	65.44
1.7	0	62.85
1.71	0	66.93
1.72	0	72.39
1.73	128.22	75.47
1.74	125.82	78.1
1.75	120.76	79.96
1.76	113.03	79.81
1.77	105.47	79.1
1.78	0	78.8
1.79	0	76.4
1.8	0	74.81
1.81	0	74.34
1.82	0	73.17
1.83	0	70.68
1.84	0	69.82
1.85	0	69.03
1.86	0	67.12
1.87	0	65.68
1.88	0	64.47
1.89	0	60.95
1.9	0	59.35
1.91	0	61.72
1.92	0	64.62
1.93	0	66.71
1.94	0	68.16
1.95	0	69.27
1.96	0	69.91
1.97	0	70.33
1.98	0	70.2
1.99	0	69.74
2	0	69.89
2.01	0	69.62
2.02	0	68.63
2.03	0	68.31
2.04	0	68.45
2.05	0	68.31
2.06	0	67.9
2.07	0	67.15
2.08	0	65.89
2.09	0	64.44
2.1	0	63.45
2.11	0	62.11
2.12	0	59.67
2.13	0	56.9
2.14	0	54.28
2.15	0	52.31
2.16	0	50.85
2.17	0	50.01
2.18	0	49.85
2.19	0	48.59
2.2	0	48.09
2.21	0	48.39
2.22	0	48.73
2.23	0	48.45
2.24	0	47.32
2.25	0	46.15
2.26	0	44.27
2.27	0	43.68
2.28	0	0
2.29	0	0
2.3	0	0
2.31	0	0
