time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	44.19
0.04	0	42.7
0.05	0	39.7
0.06	0	37.06
0.07	0	34.88
0.08	0	33.67
0.09	0	34.08
0.1	0	36.08
0.11	0	41.44
0.12	0	46.88
0.13	0	50.03
0.14	0	52.02
0.15	0	53.34
0.16	0	53.53
0.17	0	52.45
0.18	0	51.62
0.19	0	51.87
0.2	0	58.57
0.21	0	67.34
0.22	103.56	71.47
0.23	100.73	73
0.24	99.95	74.37
0.25	99.46	75.42
0.26	99.64	76.03
0.27	99.78	76.75
0.28	99.92	77.92
0.29	100.26	78.9
0.3	100.01	79.22
0.31	99.86	79.17
0.32	99.88	79.49
0.33	100.08	79.58
0.34	100.58	79.06
0.35	101.54	78.52
0.36	103.95	78.44
0.37	106.56	78.55
0.38	108.41	78.13
0.39	109.65	77.06
0.4	110.95	74.75
0.41	112.11	70.43
0.42	114.07	66.64
0.43	115.36	66.15
0.44	117.26	68.17
0.45	118.52	73.21
0.46	117.32	76.38
0.47	115.4	77.31
0.48	113.07	76.5
0.49	109.59	73.91
0.5	0	70.34
0.51	0	71.29
0.52	0	75.45
0.53	0	77.68
0.54	0	78.87
0.55	0	80.47
0.56	0	81.85
0.57	0	82.43
0.58	0	81.79
0.59	0	82.67
0.6	0	83.88
0.61	0	80.88
0.62	0	74.91
0.63	0	66.12
0.64	0	54.71
0.65	0	57.82
0.66	0	59.9
0.67	0	57.36
0.68	0	58.14
0.69	121.4	64.09
0.7	116.67	67.37
0.71	114.07	67.92
0.72	112.46	67.98
0.73	111.59	71.55
0.74	111.47	76.33
0.75	110.95	78.55
0.76	110.48	78.3
0.77	109.91	77.21
0.78	109.28	76.45
0.79	107.05	76.02
0.8	105.93	75.54
0.81	104.6	75.19
0.82	102.75	75.13
0.83	101.08	75.23
0.84	98.88	75.4
0.85	96.91	75.55
0.86	96.03	75.87
0.87	95.32	76.4
0.88	94.95	77
0.89	95.25	77.59
0.9	95.59	78.28
0.91	95.87	78.83
0.92	96.11	78.84
0.93	96.44	78.46
0.94	97.14	77.92
0.95	98.21	77.79
0.96	99.15	77.72
0.97	99.72	77.47
0.98	99.87	76.85
0.99	99.92	75.7
1	99.48	73.59
1.01	98.38	70.15
1.02	95.93	66.3
1.03	0	63.07
1.04	0	63.29
1.05	0	69
1.06	0	73.38
1.07	0	75.36
1.08	0	75.72
1.09	0	76.26
1.1	0	78.41
1.11	0	80.48
1.12	0	80.93
1.13	0	78.8
1.14	0	74.63
1.15	0	70.35
1.16	0	67.81
1.17	0	65.5
1.18	0	64.31
1.19	0	66.05
1.2	0	67.53
1.21	0	66.21
1.22	0	69.24
1.23	0	74.92
1.24	98.1	76.98
1.25	96.95	76.74
1.26	93.35	74.66
1.27	89.36	71.34
1.28	0	69.05
1.29	0	71.3
1.3	0	74.88
1.31	0	75.55
1.32	0	74.94
1.33	0	75.33
1.34	0	75.46
1.35	0	75.7
1.36	0	77.84
1.37	0	80.85
1.38	0	81.68
1.39	0	80.04
1.4	0	79.2
1.41	0	79.14
1.42	0	77.69
1.43	0	74.28
1.44	0	69.03
1.45	0	62.93
1.46	0	67.45
1.47	0	73.18
1.48	99.6	74.71
1.49	100.43	74.1
1.5	98.16	73.51
1.51	95.78	73.41
1.52	93.48	72.86
1.53	90.9	71.6
1.54	88.17	70.38
1.55	0	69.32
1.56	0	68.69
1.57	0	71.41
1.58	0	75.61
1.59	0	78.93
1.6	0	81.08
1.61	0	82.14
1.62	0	83.46
1.63	0	84.37
1.64	0	85.12
1.65	0	85.03
1.66	0	84.8
1.67	0	84.37
1.68	0	82.71
1.69	0	81.45
1.7	0	79.39
1.71	0	75.56
1.72	0	72.86
1.73	0	70.54
1.74	0	65.29
1.75	0	58.99
1.76	0	56
1.77	0	57.61
1.78	0	62.03
1.79	0	60.56
1.8	0	57.48
1.81	0	67.14
1.82	0	75.4
1.83	0	78.7
1.84	93.8	79.18
1.85	93.94	79.83
1.86	93.57	79.88
1.87	93.25	79.52
1.88	93.29	79.18
1.89	93.17	79.1
1.9	92.71	79.02
1.91	91.63	78.62
1.92	91.09	78.52
1.93	91.04	78.52
1.94	90.66	78.79
1.95	89.3	78.73
1.96	87.36	78.09
1.97	86.99	78.16
1.98	84.91	79.16
1.99	84.08	79.33
2	82.8	78.63
2.01	81.43	77.89
2.02	80.18	77.06
2.03	79.26	76.67
2.04	78.89	76.69
2.05	77.69	75.11
2.06	77.62	74.01
2.07	77.79	73.49
2.08	77.76	72.78
2.09	77.42	71.99
2.1	76.5	70.22
2.11	76.58	68.16
2.12	76.63	67.07
2.13	0	64.92
2.14	0	62.88
2.15	0	61.31
2.16	0	59.68
2.17	0	58.6
2.18	0	58.77
2.19	0	58.56
2.2	0	56.78
2.21	0	55.67
2.22	0	54.69
2.23	0	52.74
2.24	0	50.95
2.25	0	50.09
2.26	0	48.24
2.27	0	46.22
2.28	0	44.88
2.29	0	42.35
2.3	0	0
2.31	0	0
2.32	0	0
