time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.94
0.04	0	28.59
0.05	0	29.44
0.06	0	26.98
0.07	0	24.85
0.08	0	25.61
0.09	0	25.63
0.1	0	24.78
0.11	0	25.3
0.12	0	33.24
0.13	0	53.97
0.14	0	66.53
0.15	127.18	72.59
0.16	124.39	76.16
0.17	123.12	78.34
0.18	121.41	78.61
0.19	120.77	77.21
0.2	118.87	74.52
0.21	0	69.64
0.22	0	59.89
0.23	0	45.97
0.24	0	34.14
0.25	0	27.35
0.26	0	41.87
0.27	0	61.06
0.28	0	68.45
0.29	0	68.36
0.3	0	66.82
0.31	158.94	73.26
0.32	155.07	77.72
0.33	151.4	79.16
0.34	147.65	78.83
0.35	144.75	77.17
0.36	141.35	73.08
0.37	0	64.97
0.38	0	52.01
0.39	0	39.13
0.4	0	50.55
0.41	0	62.33
0.42	0	66.17
0.43	0	67.79
0.44	154.57	72.98
0.45	150.01	77.52
0.46	142.96	79.46
0.47	137.29	80.5
0.48	133.05	80.79
0.49	129.73	79.29
0.5	125.23	76.87
0.51	122.6	77.95
0.52	121.46	80.33
0.53	120.05	80.85
0.54	118.08	79.98
0.55	117.55	79.06
0.56	117.65	78.38
0.57	116.29	77.14
0.58	111.98	75.95
0.59	108.52	75.01
0.6	108.95	73.65
0.61	108.82	72.65
0.62	110.22	73.18
0.63	111.38	75.06
0.64	112.58	77.34
0.65	112.92	78.66
0.66	110.55	79.82
0.67	109.37	81.16
0.68	108.84	81.74
0.69	108.73	81.24
0.7	106.41	80.19
0.71	107.98	79.44
0.72	107.87	79.33
0.73	107.34	78.85
0.74	105.48	78.16
0.75	104.41	77.36
0.76	102.01	76.29
0.77	100.52	75.22
0.78	101.98	73.92
0.79	99.15	71.29
0.8	0	69.81
0.81	0	68.53
0.82	0	68.92
0.83	0	67.88
0.84	0	65.72
0.85	0	64.29
0.86	0	62.82
0.87	0	61.77
0.88	0	60.28
0.89	0	54.49
0.9	0	46.23
0.91	0	42.36
0.92	0	39.23
0.93	0	35.59
0.94	0	32.08
0.95	0	30.26
0.96	0	31.46
0.97	0	31.9
0.98	0	31.92
0.99	0	33.04
1	0	37.39
1.01	0	43.75
1.02	0	45.2
1.03	0	39.59
1.04	0	29.42
1.05	0	25.13
1.06	0	33.47
1.07	0	45.22
1.08	0	51.95
1.09	0	67.05
1.1	0	75.45
1.11	0	78.11
1.12	0	81.19
1.13	0	83.1
1.14	119.02	83.78
1.15	123.56	84.27
1.16	125.97	84.49
1.17	125.9	84.41
1.18	126.03	83.2
1.19	127.58	81.56
1.2	128.02	81.04
1.21	127.95	79.54
1.22	125.85	76.47
1.23	121.42	72.46
1.24	117.89	68.04
1.25	114.51	63.95
1.26	111.7	62.51
1.27	112.23	64.92
1.28	113.46	70.01
1.29	113.63	75.1
1.3	112.97	78.43
1.31	111.43	80.1
1.32	108.97	80.28
1.33	106.18	79.44
1.34	103.57	78.79
1.35	101.37	78.4
1.36	102.44	77.94
1.37	103.77	77.87
1.38	101.59	78.4
1.39	100.07	77.59
1.4	99.3	75.02
1.41	101.86	73.06
1.42	103.42	73.46
1.43	104.48	73.55
1.44	0	74.99
1.45	0	76.48
1.46	0	76.02
1.47	0	76.12
1.48	0	75.89
1.49	0	75.48
1.5	0	73.41
1.51	0	72.01
1.52	0	69.77
1.53	0	71.55
1.54	0	71.18
1.55	0	69.2
1.56	0	69.9
1.57	99.35	67.64
1.58	101.64	63.07
1.59	101.87	58.8
1.6	0	58.38
1.61	0	59.85
1.62	0	59.37
1.63	0	59.12
1.64	0	59.62
1.65	0	58.86
1.66	0	54.96
1.67	0	51.38
1.68	0	52.07
1.69	0	48.75
1.7	0	44.85
1.71	0	57.22
1.72	0	62.1
1.73	0	65.15
1.74	0	69.44
1.75	0	67.74
1.76	0	64
1.77	107.91	62.13
1.78	102.11	60.51
1.79	0	60.94
1.8	0	61.19
1.81	0	60.27
1.82	0	60.41
1.83	0	60.96
1.84	0	61.73
1.85	0	62.4
1.86	0	63.77
1.87	0	63.62
1.88	0	62.52
1.89	0	68.47
1.9	0	74.24
1.91	102.58	75.55
1.92	105.92	74.73
1.93	107.36	74.51
1.94	107.56	73.84
1.95	107.24	71.32
1.96	110.23	66.2
1.97	111.1	62
1.98	109.93	59.18
1.99	0	54.93
2	0	51.94
2.01	0	48.71
2.02	0	42.57
2.03	0	40.95
2.04	0	48.23
2.05	0	52.74
2.06	0	56.61
2.07	0	55.79
2.08	0	55.9
2.09	0	62.93
2.1	0	66.42
2.11	0	65.3
2.12	0	63.89
2.13	0	62.76
2.14	0	59.87
2.15	0	57.11
2.16	0	54.92
2.17	0	52.8
2.18	0	51.27
2.19	0	50.61
2.2	0	49.06
2.21	0	46.26
2.22	0	43.4
2.23	0	41.13
2.24	0	37.65
2.25	0	34.31
2.26	0	29.89
2.27	0	26.19
2.28	0	25.07
2.29	0	24.67
2.3	0	0
2.31	0	0
2.32	0	0
