time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	34.95
0.04	0	35.27
0.05	0	36.02
0.06	0	36.47
0.07	0	36.27
0.08	0	35.98
0.09	0	35.79
0.1	0	35.63
0.11	0	34.99
0.12	0	36.61
0.13	0	46.03
0.14	0	51.89
0.15	0	50.12
0.16	0	41.09
0.17	0	37.32
0.18	0	36.26
0.19	0	34.81
0.2	0	37.87
0.21	0	49.13
0.22	0	56.58
0.23	0	58.97
0.24	0	64.1
0.25	0	69.89
0.26	126.57	73.21
0.27	125.5	74.41
0.28	116.34	74.01
0.29	113.11	74.85
0.3	111.03	74.29
0.31	0	74.37
0.32	0	76.54
0.33	0	78.54
0.34	0	80.53
0.35	0	81.2
0.36	0	81.31
0.37	0	80.25
0.38	0	77.44
0.39	0	73.26
0.4	0	71.22
0.41	0	73.12
0.42	115.91	74.94
0.43	116.14	76.53
0.44	108.85	76.49
0.45	108.31	75.94
0.46	105.97	74.6
0.47	103.79	72.92
0.48	101.39	71.99
0.49	0	73.13
0.5	0	75.99
0.51	0	77.24
0.52	0	76.59
0.53	0	74.85
0.54	0	71.94
0.55	111.33	71.33
0.56	110.45	73.59
0.57	110.18	76.04
0.58	108.72	77.14
0.59	108.41	77.59
0.6	108.71	78.38
0.61	109.65	79.46
0.62	110.53	80.41
0.63	112.33	80.54
0.64	114.48	80.37
0.65	117.94	81.09
0.66	120.01	80.64
0.67	0	78.28
0.68	0	70.7
0.69	0	54.15
0.7	0	36.05
0.71	0	32.21
0.72	0	41.83
0.73	0	53.19
0.74	0	58.75
0.75	0	64.15
0.76	0	70.45
0.77	0	71.83
0.78	0	66.6
0.79	0	53.55
0.8	0	37.73
0.81	0	41.62
0.82	0	63.52
0.83	0	73.47
0.84	0	76.16
0.85	0	73.29
0.86	0	68.04
0.87	0	69.29
0.88	140.28	74.25
0.89	139.55	77.49
0.9	139.18	79.24
0.91	139.64	80.41
0.92	141.51	81.31
0.93	143.24	81.66
0.94	145.95	81.55
0.95	149.27	81.14
0.96	153.52	80.97
0.97	157.4	81.38
0.98	159.98	80.63
0.99	161.63	77.09
1	162.88	70.16
1.01	0	60.25
1.02	0	59.04
1.03	176.06	62.24
1.04	175.42	64.7
1.05	175.67	68.66
1.06	133.81	71.55
1.07	130.15	72.85
1.08	128.61	71.04
1.09	106.11	67.04
1.1	103.17	64.08
1.11	102.68	62.6
1.12	101.64	61.8
1.13	101.05	61.15
1.14	99.25	59.87
1.15	96.93	58.34
1.16	0	57.27
1.17	0	55.06
1.18	0	53.51
1.19	0	59.14
1.2	0	64.02
1.21	0	66.36
1.22	0	66.16
1.23	0	63.82
1.24	0	63.29
1.25	112.11	66.29
1.26	112.78	69.55
1.27	113.69	71.88
1.28	114.14	73.29
1.29	114.28	73.85
1.3	114.94	73.74
1.31	116.22	73.96
1.32	117.94	74.72
1.33	119.41	75.46
1.34	121.18	76.11
1.35	125.35	76.76
1.36	128.34	77.08
1.37	133.48	76.83
1.38	139.33	76.41
1.39	147.74	76.38
1.4	154.71	77.09
1.41	163.97	78.43
1.42	169.98	79.83
1.43	177.78	80.52
1.44	182.53	80.19
1.45	185.39	78.59
1.46	187.52	74.76
1.47	203.64	69.18
1.48	231.18	65.84
1.49	226.5	62.36
1.5	0	58.26
1.51	0	55.03
1.52	0	54.24
1.53	0	57.01
1.54	0	57.75
1.55	0	54.56
1.56	0	52.53
1.57	0	59.35
1.58	0	62.16
1.59	0	58.28
1.6	0	49.72
1.61	0	44.14
1.62	0	41.81
1.63	0	40
1.64	0	38.82
1.65	0	38.5
1.66	0	37.75
1.67	0	36.2
1.68	0	35.45
1.69	0	35.53
1.7	0	0
1.71	0	0
1.72	0	0
