time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.44
0.04	0	30.3
0.05	0	29.85
0.06	0	30.4
0.07	0	31.2
0.08	0	29.85
0.09	0	30.39
0.1	0	32.59
0.11	0	32.19
0.12	0	33.58
0.13	0	40.57
0.14	0	43.05
0.15	0	44.72
0.16	0	54.89
0.17	0	61.15
0.18	0	65.13
0.19	0	68.83
0.2	0	72.11
0.21	114.37	74.05
0.22	115.35	75.57
0.23	117.07	76.41
0.24	121.1	78.41
0.25	124	81.16
0.26	124.48	81.94
0.27	123.73	80.68
0.28	122	78.81
0.29	118.17	76.18
0.3	0	71.41
0.31	0	64.33
0.32	0	54.79
0.33	0	47.03
0.34	0	52.19
0.35	0	60.87
0.36	0	68.77
0.37	0	72.99
0.38	0	74.96
0.39	0	75.25
0.4	0	74.53
0.41	0	73.67
0.42	0	73.43
0.43	0	73.05
0.44	0	72.83
0.45	0	73.04
0.46	0	72.24
0.47	0	69.11
0.48	0	70.53
0.49	111.27	77.04
0.5	113.05	80.07
0.51	115.15	81.06
0.52	115.76	81.45
0.53	115.33	81.2
0.54	114.18	80.41
0.55	113.18	79.11
0.56	113.65	77.18
0.57	115.09	74.58
0.58	115.93	72.33
0.59	116.22	71.46
0.6	116.07	71.49
0.61	115.52	72.02
0.62	114.94	73.13
0.63	114.75	74.75
0.64	114.97	76.24
0.65	115.17	77.48
0.66	114.86	78.65
0.67	114.12	79.61
0.68	113.46	80.24
0.69	112.86	80.57
0.7	111.94	80.82
0.71	111.01	80.7
0.72	109.93	80.33
0.73	109.12	80.48
0.74	108.37	80.62
0.75	107.73	80.95
0.76	107.39	81.1
0.77	106.85	80.98
0.78	106.22	80.86
0.79	106.19	80.89
0.8	106.64	81.03
0.81	107.17	81.19
0.82	107.95	81.38
0.83	108.93	81.45
0.84	109.76	81.4
0.85	110.33	81.46
0.86	110.41	81.52
0.87	109.85	81.46
0.88	108.78	81.46
0.89	107.59	81.4
0.9	106.1	81.2
0.91	103.08	81.08
0.92	100.26	80.77
0.93	0	79.86
0.94	0	78.42
0.95	0	77.53
0.96	0	77.83
0.97	75.98	77.18
0.98	90.46	75.87
0.99	90.97	75.56
1	0	72.67
1.01	0	66.52
1.02	0	58.72
1.03	0	58.82
1.04	0	61.25
1.05	0	62.2
1.06	0	62.88
1.07	0	63.56
1.08	0	63.91
1.09	0	64.13
1.1	0	64.11
1.11	0	64.61
1.12	0	65.77
1.13	0	66.4
1.14	0	66.67
1.15	0	65.49
1.16	0	63.36
1.17	0	61.21
1.18	0	59.52
1.19	0	57
1.2	0	55.45
1.21	0	54.91
1.22	0	53.15
1.23	0	51.11
1.24	0	49.71
1.25	0	47.6
1.26	0	45.05
1.27	0	43.65
1.28	0	42.76
1.29	0	42.22
1.3	0	42.37
1.31	0	42.62
1.32	0	42.77
1.33	0	42.65
1.34	0	42.96
1.35	0	43.02
1.36	0	42.48
1.37	0	42.37
1.38	0	42.47
1.39	0	42.42
1.4	0	42.19
1.41	0	42.08
1.42	0	41.81
1.43	0	41.7
1.44	0	41.72
1.45	0	41.28
1.46	0	41.18
1.47	0	41.41
1.48	0	41.02
1.49	0	41.07
1.5	0	41.43
1.51	0	40.87
1.52	0	40.69
1.53	0	40.74
1.54	0	40.63
1.55	0	40.55
1.56	0	40.44
1.57	0	40.6
1.58	0	40.6
1.59	0	39.96
1.6	0	39.91
1.61	0	39.93
1.62	0	39.59
1.63	0	0
1.64	0	0
1.65	0	0
?	?	?
