time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	25.24
0.05	0	25.44
0.06	0	27.07
0.07	0	28.63
0.08	0	30.03
0.09	0	30.59
0.1	0	30.71
0.11	0	30.86
0.12	0	31.02
0.13	0	32.53
0.14	0	34
0.15	0	34
0.16	0	35.4
0.17	0	40.29
0.18	0	45.24
0.19	0	49.13
0.2	0	51.59
0.21	0	52.46
0.22	0	53.42
0.23	0	54.42
0.24	0	54.89
0.25	0	55.82
0.26	0	55.67
0.27	0	55.27
0.28	0	55.6
0.29	0	55.31
0.3	0	54.34
0.31	0	51.55
0.32	0	53.62
0.33	0	59.17
0.34	127.28	61.77
0.35	129.17	62.43
0.36	128.52	61.53
0.37	127.39	59.85
0.38	128.06	59.18
0.39	128.5	59.34
0.4	129.01	59.56
0.41	129	59.73
0.42	130.57	60
0.43	133.27	61.89
0.44	140.25	68.3
0.45	140.46	73.55
0.46	140.99	75.68
0.47	142.77	76.75
0.48	144.34	77.86
0.49	144.82	78.7
0.5	144.89	78.84
0.51	144.14	77.85
0.52	144.41	75.42
0.53	146.37	71.06
0.54	147.86	64.87
0.55	0	62.19
0.56	0	63.16
0.57	0	62.71
0.58	0	60.81
0.59	0	55.54
0.6	0	47.19
0.61	0	39.01
0.62	0	44.77
0.63	0	52.5
0.64	0	56.46
0.65	0	59.93
0.66	0	64.6
0.67	0	65.65
0.68	124.66	63.61
0.69	122.89	59.73
0.7	0	54.02
0.71	0	46.39
0.72	0	38.26
0.73	0	29.44
0.74	0	21.71
0.75	0	20.17
0.76	0	21.61
0.77	0	22.18
0.78	0	38
0.79	0	50.69
0.8	0	56.46
0.81	0	59.83
0.82	0	67.47
0.83	147.32	72.59
0.84	147.31	74.58
0.85	146.05	75.49
0.86	144.72	75.72
0.87	143.27	74.31
0.88	141.7	69.1
0.89	0	59.38
0.9	130.64	59.2
0.91	132.52	65.28
0.92	131.95	70.25
0.93	131.26	72.9
0.94	129.56	73.47
0.95	127.36	72.65
0.96	124.87	70.84
0.97	119.38	68.1
0.98	118.38	64.82
0.99	0	62.65
1	0	63.72
1.01	0	66.69
1.02	0	67.57
1.03	0	67.08
1.04	0	66.2
1.05	0	63.67
1.06	0	61.74
1.07	0	56.36
1.08	0	47.96
1.09	0	54.82
1.1	0	59.67
1.11	0	58.7
1.12	0	58.22
1.13	0	59.59
1.14	0	57.02
1.15	0	56.64
1.16	0	64.59
1.17	130.77	70.07
1.18	134.96	73.01
1.19	135.07	74.78
1.2	135.3	76.26
1.21	134.74	77.62
1.22	134.59	78.78
1.23	134.44	79.66
1.24	134.42	80.35
1.25	134.59	80.97
1.26	134.13	81.33
1.27	133.61	81.42
1.28	132.89	81.4
1.29	132.03	81.26
1.3	131.05	80.88
1.31	129.87	80.37
1.32	128.82	79.85
1.33	127.68	79.19
1.34	125.66	78.29
1.35	124.41	77.31
1.36	123.59	76.01
1.37	120.3	74.11
1.38	118.41	71.69
1.39	116.99	68.14
1.4	112.16	63.82
1.41	0	62.06
1.42	0	62.61
1.43	0	62.64
1.44	0	61.97
1.45	0	62.53
1.46	0	62.79
1.47	0	59.61
1.48	0	56.48
1.49	118.01	59.53
1.5	113.05	61.33
1.51	110.17	60.03
1.52	109.1	57.64
1.53	109.21	56.89
1.54	109.1	56.87
1.55	109.72	56.81
1.56	109.94	56.97
1.57	111.75	58.74
1.58	111.37	61.91
1.59	110.71	64.58
1.6	108.87	66.42
1.61	107.71	67.12
1.62	107.8	66.43
1.63	106.92	63.77
1.64	105.52	58.06
1.65	0	47.97
1.66	0	35.3
1.67	0	38.57
1.68	0	45.15
1.69	0	56.19
1.7	0	61.62
1.71	0	60.13
1.72	0	56.17
1.73	0	51.28
1.74	0	48.94
1.75	0	50.38
1.76	0	50.42
1.77	0	55.42
1.78	0	66.14
1.79	122.38	72.27
1.8	122.42	75.24
1.81	120.54	76.75
1.82	120.16	78.06
1.83	120.18	79.28
1.84	119.77	80.21
1.85	118.83	80.9
1.86	118.29	81.51
1.87	118.27	82.26
1.88	118.73	83.05
1.89	118.45	83.62
1.9	117.72	83.93
1.91	116.91	83.73
1.92	116.68	83.52
1.93	116.48	83.68
1.94	116.31	83.75
1.95	114.92	83.31
1.96	114.42	82.74
1.97	114.65	82.41
1.98	113.31	81.36
1.99	111.42	78.99
2	109.79	75.19
2.01	108.17	69.68
2.02	106.4	63.48
2.03	0	59.69
2.04	0	57.09
2.05	0	55.42
2.06	0	56.3
2.07	0	57.3
2.08	0	56.37
2.09	0	53.38
2.1	0	59.15
2.11	0	63.14
2.12	0	63.97
2.13	0	64.27
2.14	0	64.18
2.15	0	63.14
2.16	0	61.54
2.17	0	58.34
2.18	0	54.76
2.19	0	49.05
2.2	0	44.53
2.21	0	40.37
2.22	0	35.47
2.23	0	27.51
2.24	0	23.38
2.25	0	23.22
2.26	0	22.15
2.27	0	22.17
2.28	0	0
2.29	0	0
2.3	0	0
2.31	0	0
