time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.74
0.05	0	31.04
0.06	0	31.25
0.07	0	31.25
0.08	0	33.65
0.09	0	39.29
0.1	0	42.2
0.11	0	43.3
0.12	0	50.03
0.13	0	65.65
0.14	161.38	75.41
0.15	159.51	80.06
0.16	160.11	81.85
0.17	165.77	82.68
0.18	171.51	83.42
0.19	176.99	83.53
0.2	183.56	82.49
0.21	186.54	79.76
0.22	184.43	74.84
0.23	0	66.82
0.24	0	54.09
0.25	0	41.64
0.26	0	50.47
0.27	0	57.72
0.28	0	57.29
0.29	0	59.03
0.3	0	61.6
0.31	0	59.74
0.32	200.88	63.9
0.33	194.91	70.77
0.34	187.62	76.34
0.35	179.57	79.81
0.36	174.24	80.71
0.37	171.25	81.25
0.38	169.41	81.64
0.39	168.17	81.54
0.4	166.34	80.67
0.41	161.91	78.09
0.42	0	75.24
0.43	0	78.37
0.44	0	81.16
0.45	0	81.86
0.46	0	81.22
0.47	0	80.51
0.48	0	81.15
0.49	0	82.49
0.5	0	81.34
0.51	0	75.18
0.52	0	72.7
0.53	173.37	77.69
0.54	169.64	79.68
0.55	162.5	79.61
0.56	156.27	78.98
0.57	151.45	77.83
0.58	147.79	75.59
0.59	144.42	71.6
0.6	143.11	68.52
0.61	142.89	67.83
0.62	142.19	67.59
0.63	141.69	68.4
0.64	141.54	71.65
0.65	141.09	75.15
0.66	140.69	77.32
0.67	140.7	78.38
0.68	140.79	78.69
0.69	141.54	78.6
0.7	147.36	80.12
0.71	151.18	82.95
0.72	151.55	83.69
0.73	154.06	82.79
0.74	157.32	81.82
0.75	159.77	81.64
0.76	162.44	81.85
0.77	167.6	82.1
0.78	172.46	82.51
0.79	174.62	83.05
0.8	174.93	82.32
0.81	171.56	78.59
0.82	163.47	76.87
0.83	161.11	80.15
0.84	161.81	82.69
0.85	161.03	83.54
0.86	158.57	83.58
0.87	154.27	83.4
0.88	149.89	82.88
0.89	145.12	81.66
0.9	140.42	79.77
0.91	137.27	77.38
0.92	134.76	74.07
0.93	0	70.67
0.94	0	72.21
0.95	0	75.79
0.96	0	77.45
0.97	0	78.89
0.98	0	80.57
0.99	0	80.11
1	0	78.43
1.01	0	77.08
1.02	0	75.42
1.03	0	73.42
1.04	0	71.78
1.05	0	68.98
1.06	0	68.85
1.07	147.59	74
1.08	140.73	75.86
1.09	132.22	75.4
1.1	128.16	75.23
1.11	126.21	75.65
1.12	125.81	75.86
1.13	125.86	75.45
1.14	125.62	74.57
1.15	125.19	73.78
1.16	125.38	72.96
1.17	125.35	71.6
1.18	123.39	69.19
1.19	0	64.9
1.2	0	58.39
1.21	0	50.58
1.22	0	49.99
1.23	0	49.85
1.24	0	46.5
1.25	0	48.37
1.26	0	45.43
1.27	0	37.25
1.28	0	39.15
1.29	0	44.97
1.3	0	45.58
1.31	0	43
1.32	0	37.85
1.33	0	0
1.34	0	0
1.35	0	0
?	?	?
