time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.89
0.05	0	26.62
0.06	0	26.47
0.07	0	26.32
0.08	0	24.56
0.09	0	21.7
0.1	0	24.55
0.11	0	29.67
0.12	0	31.9
0.13	0	33.33
0.14	0	35.34
0.15	0	34.21
0.16	0	41.72
0.17	0	50.13
0.18	0	53.16
0.19	0	52.72
0.2	0	50.25
0.21	0	48.22
0.22	0	53.46
0.23	121.15	64.82
0.24	121.1	72.71
0.25	118.72	76.89
0.26	116.72	78.7
0.27	115.95	79.17
0.28	115.6	79.24
0.29	115.35	79.25
0.3	114.74	78.93
0.31	113.91	78.14
0.32	113.32	77.2
0.33	112.84	76.37
0.34	111.34	75.66
0.35	108.56	74.3
0.36	105.18	71.66
0.37	101.71	67.48
0.38	95.62	62.29
0.39	91.2	58.47
0.4	91.4	57.95
0.41	93.41	60.16
0.42	97.07	64.05
0.43	101.39	68.56
0.44	103.06	71.57
0.45	102.46	72.58
0.46	101.8	72.76
0.47	101.67	72.71
0.48	101.74	72.8
0.49	101.84	73.17
0.5	102.06	73.6
0.51	101.11	74.38
0.52	99.46	75.14
0.53	95.24	75.24
0.54	0	73.78
0.55	0	70.65
0.56	0	71.81
0.57	0	72.24
0.58	0	66.71
0.59	0	62.23
0.6	0	60.11
0.61	0	63.61
0.62	0	71.99
0.63	100.68	75.8
0.64	102.14	76.83
0.65	104.32	77.12
0.66	106.59	77.54
0.67	109.49	78.53
0.68	111.94	80.3
0.69	113.47	81.91
0.7	114.75	82.91
0.71	115.7	83.16
0.72	116.74	82.94
0.73	117.49	82.56
0.74	118.34	82.14
0.75	120.09	81.86
0.76	122.05	81.88
0.77	123.76	82.15
0.78	125.78	82.33
0.79	127.95	82.43
0.8	129.04	82.67
0.81	129.25	82.56
0.82	129.78	81.33
0.83	131.51	78.71
0.84	133.38	75.47
0.85	132.37	71.62
0.86	129.99	65.44
0.87	0	56.11
0.88	0	51.22
0.89	0	52.57
0.9	0	53.51
0.91	0	54.46
0.92	0	55.12
0.93	0	55.08
0.94	0	54.83
0.95	0	54.75
0.96	0	55.77
0.97	0	56.09
0.98	0	55.47
0.99	0	56.85
1	0	58.35
1.01	0	58.1
1.02	0	66.48
1.03	127.91	75.83
1.04	124.88	79.45
1.05	121.82	80.22
1.06	120.09	80.03
1.07	118.54	79.61
1.08	116.64	79.06
1.09	114.75	78.18
1.1	113.28	76.84
1.11	112.19	75.21
1.12	110.7	73.73
1.13	109.4	73.13
1.14	107.85	73.29
1.15	105.62	73.5
1.16	103.42	72.29
1.17	0	67.65
1.18	0	58.14
1.19	0	55.04
1.2	0	64.28
1.21	0	70.33
1.22	91.46	73.09
1.23	90.57	73.48
1.24	89.84	72.91
1.25	89.24	72.19
1.26	87.95	71
1.27	85.91	68.51
1.28	0	63.44
1.29	0	53.76
1.3	0	45.19
1.31	0	42.83
1.32	0	41.16
1.33	0	48.38
1.34	0	54.23
1.35	0	55.6
1.36	0	58.43
1.37	0	58.78
1.38	0	55.98
1.39	0	53.42
1.4	0	51.7
1.41	0	49.44
1.42	0	46.79
1.43	0	46.48
1.44	0	47.33
1.45	0	44.8
1.46	0	41.93
1.47	0	40.39
1.48	0	39.99
1.49	0	39.35
1.5	0	37.95
1.51	0	36
1.52	0	34.59
1.53	0	34.38
1.54	0	37.25
1.55	0	38.83
1.56	0	35.66
1.57	0	32.26
1.58	0	31.65
1.59	0	32.33
1.6	0	31.28
1.61	0	30.54
1.62	0	29.56
1.63	0	27.28
1.64	0	25.42
1.65	0	0
1.66	0	0
1.67	0	0
?	?	?
