time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	24.94
0.05	0	25.11
0.06	0	25.62
0.07	0	25.52
0.08	0	26.23
0.09	0	26.91
0.1	0	26.73
0.11	0	26.1
0.12	0	30.26
0.13	0	45.86
0.14	0	57.2
0.15	140.54	63.5
0.16	142.77	67.26
0.17	146.95	70.36
0.18	151.07	73.2
0.19	153.77	75.16
0.2	156.12	76.36
0.21	157.18	77.4
0.22	156.97	78.62
0.23	155.3	79.5
0.24	153.15	78.59
0.25	143.1	75.08
0.26	139.56	70.51
0.27	139.8	66.38
0.28	130.91	64.1
0.29	121.37	63.51
0.3	117.57	63.33
0.31	125.65	64.39
0.32	133.11	66.22
0.33	149.08	68.55
0.34	161	71.36
0.35	169.62	75.37
0.36	172.33	79.12
0.37	175.08	80.84
0.38	181.72	81.25
0.39	186.16	81.47
0.4	189.24	81.16
0.41	189.01	80.67
0.42	186.33	80.42
0.43	182.21	80.31
0.44	176.74	80.42
0.45	168.62	80.93
0.46	159.83	81.37
0.47	151.5	80.69
0.48	146.69	77.97
0.49	0	72.58
0.5	0	64.62
0.51	0	61.63
0.52	0	69.11
0.53	116.46	74.3
0.54	116.71	75.76
0.55	115.93	74.8
0.56	112.65	71.78
0.57	105.32	66.7
0.58	0	59.64
0.59	0	48.09
0.6	0	42.75
0.61	0	50.44
0.62	0	54.25
0.63	0	57.37
0.64	0	61.16
0.65	0	62.95
0.66	0	63.2
0.67	0	62.3
0.68	0	64.87
0.69	0	73.22
0.7	150.39	78.23
0.71	147.01	79.69
0.72	143.28	79.85
0.73	141.2	79.16
0.74	139.39	78.48
0.75	137.79	78.13
0.76	137.13	78.09
0.77	137.02	78.05
0.78	136.83	77.78
0.79	135.89	76.75
0.8	134.31	73.59
0.81	134.59	68
0.82	133.97	63.77
0.83	131.09	62.01
0.84	124.35	59.46
0.85	0	55.99
0.86	0	55.98
0.87	0	59.8
0.88	0	62.53
0.89	0	62.73
0.9	0	62.21
0.91	0	66.8
0.92	0	74.74
0.93	134.85	79.74
0.94	133.83	82.23
0.95	132.09	83.01
0.96	130.22	83.16
0.97	128.7	83.28
0.98	128.25	83.37
0.99	128.72	83.41
1	129.43	83.32
1.01	130.05	83.26
1.02	130.29	83.12
1.03	129.71	82.58
1.04	128.95	80.79
1.05	0	76.66
1.06	0	69.24
1.07	0	57.62
1.08	0	40.14
1.09	0	30.25
1.1	0	28.58
1.11	0	28.95
1.12	0	29.18
1.13	0	26.19
1.14	0	25.55
1.15	0	28.02
1.16	0	26.03
1.17	0	28.35
1.18	0	40.89
1.19	0	48.26
1.2	0	58.27
1.21	130.65	69.01
1.22	131.17	75.24
1.23	135.43	78.48
1.24	136.26	79.98
1.25	134.43	79.84
1.26	132.04	78.49
1.27	129.65	76.67
1.28	127.52	74.33
1.29	120.46	71.05
1.3	113.54	67.17
1.31	0	62.56
1.32	0	58.93
1.33	0	56.27
1.34	0	52.78
1.35	0	51.53
1.36	111.93	55.11
1.37	107.13	59.49
1.38	104.29	61.94
1.39	100.33	63.74
1.4	95.9	65.42
1.41	90.37	65.19
1.42	0	62.39
1.43	80.71	59.58
1.44	79.88	59.8
1.45	0	58.2
1.46	0	53.26
1.47	0	51.58
1.48	0	54.49
1.49	0	56.38
1.5	0	56.76
1.51	0	57.23
1.52	0	56.73
1.53	0	56.06
1.54	0	56.56
1.55	0	56.41
1.56	0	56
1.57	0	56.04
1.58	0	55.97
1.59	0	54.09
1.6	0	51.71
1.61	0	49.04
1.62	0	45.61
1.63	0	43.29
1.64	0	42.65
1.65	0	41.85
1.66	0	40.3
1.67	0	39.47
1.68	0	38.74
1.69	0	37.15
1.7	0	34.95
1.71	0	32.59
1.72	0	30.81
1.73	0	30
1.74	0	29.31
1.75	0	0
1.76	0	0
1.77	0	0
