time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	25.16
0.04	0	25.18
0.05	0	25.57
0.06	0	26.45
0.07	0	26.63
0.08	0	25.96
0.09	0	26.11
0.1	0	27.57
0.11	0	32.32
0.12	0	43.65
0.13	0	56.19
0.14	0	66.25
0.15	0	72.23
0.16	0	75.16
0.17	130.22	77
0.18	130.32	78.12
0.19	131.09	78.61
0.2	132	78.79
0.21	132.4	79.01
0.22	132.66	79.34
0.23	132.58	79.72
0.24	131.89	79.44
0.25	131.51	78.28
0.26	131.93	76.82
0.27	131.84	75.81
0.28	130.81	75.17
0.29	129.62	74.42
0.3	129.06	73.97
0.31	129.5	74.13
0.32	131.13	74.9
0.33	133.37	76.07
0.34	135.54	77.14
0.35	137.51	78.13
0.36	139.1	79.04
0.37	140.17	79.72
0.38	141.28	80.53
0.39	141.79	81.24
0.4	141.72	81.6
0.41	141.11	81.18
0.42	140.4	80.46
0.43	140.03	79.99
0.44	139.85	79.68
0.45	139.42	79.31
0.46	139.17	78.79
0.47	138.3	78.12
0.48	137.04	77.46
0.49	136.37	77.08
0.5	135.25	76.89
0.51	133.77	76.56
0.52	132.77	76.08
0.53	131.22	75.45
0.54	129.95	74.54
0.55	127.86	73.25
0.56	125.08	71.74
0.57	122.99	70.52
0.58	121.26	69.69
0.59	119.97	69.13
0.6	118.89	68.72
0.61	118.41	68.43
0.62	117.76	68.32
0.63	117.23	68.05
0.64	117.44	67.92
0.65	119.14	68.7
0.66	121.63	70.58
0.67	124.29	73.14
0.68	126.4	75.88
0.69	127.51	78.58
0.7	127.91	80.64
0.71	128.06	81.72
0.72	128.29	82.22
0.73	128.93	82.61
0.74	129.94	83.06
0.75	130.49	83.37
0.76	130.9	83.35
0.77	131.07	82.8
0.78	130.76	81.7
0.79	131.06	80.52
0.8	132.25	79.82
0.81	133.47	79.57
0.82	133.46	79.15
0.83	133.26	77.95
0.84	133.64	76.07
0.85	131.36	73.84
0.86	129.91	72.55
0.87	130.2	73.34
0.88	129.78	74.05
0.89	128.36	73.92
0.9	126.3	73.07
0.91	123.84	71.48
0.92	120.61	69.31
0.93	119.01	66.98
0.94	117.13	65.06
0.95	116.06	63.8
0.96	117.83	63.02
0.97	118.44	62.05
0.98	124.13	61.86
0.99	124.46	62.61
1	124.39	64.22
1.01	124.54	65.72
1.02	124.67	66.95
1.03	124.7	68.38
1.04	125.16	69.87
1.05	126.23	71.69
1.06	126.71	73.4
1.07	126.52	74.51
1.08	126.28	75.4
1.09	125.94	75.96
1.1	125.26	75.71
1.11	124.65	74.91
1.12	124.09	74.03
1.13	123.95	73.18
1.14	122.86	72.28
1.15	120.4	71.15
1.16	118.22	69.79
1.17	117.11	68.4
1.18	116.35	67.28
1.19	115.2	66.34
1.2	112.76	65.48
1.21	111.51	64.89
1.22	110.6	64.36
1.23	109.27	63.4
1.24	109.82	62.38
1.25	109.32	61.39
1.26	108.94	59.63
1.27	111.91	57.82
1.28	114.74	56.18
1.29	0	54.06
1.3	0	51.78
1.31	0	49.61
1.32	0	46.95
1.33	0	45.68
1.34	0	44.65
1.35	0	43.37
1.36	0	42.81
1.37	0	42.39
1.38	0	41.52
1.39	0	41.07
1.4	0	40.58
1.41	0	40.48
1.42	0	40.85
1.43	0	40.77
1.44	0	40.89
1.45	0	40.11
1.46	0	39.41
1.47	0	39.08
1.48	0	39.6
1.49	0	40.78
1.5	0	41.39
1.51	0	41.45
1.52	0	40.86
1.53	0	39.62
1.54	0	39.68
1.55	0	38.94
1.56	0	38.59
1.57	0	39.72
1.58	0	40.25
1.59	0	41
1.6	0	41.16
1.61	0	40.47
1.62	0	41.09
1.63	0	41.5
1.64	0	41.92
1.65	0	42.08
1.66	0	41.8
1.67	0	40.97
1.68	0	40.26
1.69	0	40.49
1.7	0	39.89
1.71	0	38.53
1.72	0	38.18
1.73	0	37.52
1.74	0	37.92
1.75	0	38.53
1.76	0	38.9
1.77	0	39.66
1.78	0	38.7
1.79	0	37.22
1.8	0	36.97
1.81	0	36.89
1.82	0	0
1.83	0	0
1.84	0	0
