time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	25.97
0.05	0	26.4
0.06	0	27.58
0.07	0	29.28
0.08	0	29.78
0.09	0	30.21
0.1	0	30.57
0.11	0	32.19
0.12	0	34.69
0.13	0	40.84
0.14	0	46.44
0.15	0	50.21
0.16	0	59.08
0.17	0	65.54
0.18	124.04	68.25
0.19	124.4	68.56
0.2	124.12	68.25
0.21	123.34	68.15
0.22	123	67.98
0.23	122.84	67.69
0.24	121.7	67.42
0.25	121.1	67.27
0.26	120.77	67.3
0.27	120.19	67.44
0.28	119.15	67.55
0.29	118.15	67.64
0.3	116.58	67.71
0.31	115.04	67.54
0.32	114.22	66.56
0.33	113.8	64.07
0.34	0	60.15
0.35	0	57.54
0.36	0	57.96
0.37	0	57.87
0.38	0	57.04
0.39	0	59.08
0.4	0	60.54
0.41	0	60.81
0.42	0	63.18
0.43	130.35	68.35
0.44	133.25	73.26
0.45	136.51	76.87
0.46	137.02	79.15
0.47	137.87	79.99
0.48	140.52	80.47
0.49	143.37	81.04
0.5	146.65	80.87
0.51	149.99	79.58
0.52	152.26	77.82
0.53	153.86	76.45
0.54	153.59	74.58
0.55	152.87	72.07
0.56	0	67.23
0.57	0	57.45
0.58	0	41.31
0.59	0	28.66
0.6	0	26.54
0.61	0	37.18
0.62	0	52.77
0.63	0	60.31
0.64	0	62.55
0.65	0	61.21
0.66	0	57.35
0.67	0	56.54
0.68	158.12	64.83
0.69	151.03	71.52
0.7	145.45	75.32
0.71	139.54	78.96
0.72	135.46	81.94
0.73	132.15	83.16
0.74	128.35	82.68
0.75	125.25	81.82
0.76	123.05	81.44
0.77	121.37	81.18
0.78	119.93	80.87
0.79	119.06	80.55
0.8	118.48	80.01
0.81	117.94	79.17
0.82	117.81	78.58
0.83	117.38	78.47
0.84	116.86	78.12
0.85	116.99	77.67
0.86	117.46	77.23
0.87	117.68	76.79
0.88	117.4	76.08
0.89	116.62	74.81
0.9	115.81	73.65
0.91	115.47	73.29
0.92	115.96	73.45
0.93	116.77	73.65
0.94	117.1	73.75
0.95	117.4	73.86
0.96	117.88	74
0.97	118.17	74.09
0.98	118.66	74.16
0.99	119.05	73.97
1	119.66	73.29
1.01	121.21	72.6
1.02	122.36	71.39
1.03	121.99	67.25
1.04	122.08	60.84
1.05	123.01	60.49
1.06	124.01	65.65
1.07	123.75	69.52
1.08	122.87	70.93
1.09	122.26	71.07
1.1	121.4	70.59
1.11	120.39	69.89
1.12	119.76	69.62
1.13	119.08	69.44
1.14	118.55	69.09
1.15	118.03	68.81
1.16	117.1	67.73
1.17	114.78	64.52
1.18	0	59.33
1.19	0	57.52
1.2	0	57.89
1.21	0	57.88
1.22	0	59.74
1.23	0	61.77
1.24	0	63.27
1.25	0	64.54
1.26	0	64.59
1.27	0	64.13
1.28	0	63.35
1.29	0	63.65
1.3	0	65.34
1.31	0	65.49
1.32	0	63
1.33	0	60.73
1.34	0	59.91
1.35	0	58.16
1.36	0	57.43
1.37	0	56.96
1.38	0	53.88
1.39	0	50.03
1.4	0	52.5
1.41	0	59.62
1.42	131.26	63.49
1.43	130.96	65.34
1.44	130.86	66.88
1.45	131.33	68.47
1.46	132.3	70.27
1.47	133.64	72.21
1.48	134.81	73.87
1.49	135.07	74.61
1.5	134.46	74.77
1.51	134.52	75.49
1.52	134.75	76.8
1.53	134.81	78.25
1.54	134.74	79.62
1.55	134.32	80.67
1.56	133.49	81.23
1.57	132.29	81.31
1.58	130.87	81.12
1.59	128.73	80.72
1.6	125.91	80.02
1.61	122.62	79.15
1.62	119.43	78.32
1.63	116.76	77.43
1.64	114.46	76.3
1.65	112.45	75.15
1.66	110.91	73.3
1.67	110.46	69.35
1.68	0	62.74
1.69	0	54.58
1.7	0	48.39
1.71	0	47.14
1.72	0	46.08
1.73	0	45.64
1.74	0	45.65
1.75	0	45.61
1.76	0	46.56
1.77	0	51.42
1.78	0	55.36
1.79	0	53.48
1.8	0	46
1.81	0	40.09
1.82	0	37.81
1.83	0	36.49
1.84	0	35.28
1.85	0	32.95
1.86	0	38.14
1.87	0	49.47
1.88	0	53.68
1.89	0	54.71
1.9	134.3	57.85
1.91	132.44	58.86
1.92	0	55.9
1.93	0	51.54
1.94	0	49.04
1.95	0	46.87
1.96	0	44.58
1.97	0	41.75
1.98	0	38.39
1.99	0	36.12
2	0	34.81
2.01	0	33.46
2.02	0	32.98
2.03	0	32.42
2.04	0	31.53
2.05	0	31.27
2.06	0	0
2.07	0	0
2.08	0	0
?	?	?
