time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	24.99
0.05	0	25.51
0.06	0	25.53
0.07	0	25.43
0.08	0	25.32
0.09	0	25.41
0.1	0	25.01
0.11	0	24.62
0.12	0	26.21
0.13	0	31.18
0.14	0	31.83
0.15	0	27.53
0.16	0	26.08
0.17	0	42.32
0.18	0	55.69
0.19	0	59.85
0.2	0	57.79
0.21	0	57.2
0.22	0	62.49
0.23	0	66.63
0.24	0	65.22
0.25	0	57.29
0.26	0	52.37
0.27	0	63.58
0.28	0	71.77
0.29	0	75.34
0.3	0	76.08
0.31	0	74.1
0.32	0	69.09
0.33	124.44	66.88
0.34	121.63	68.97
0.35	117.6	69.21
0.36	0	67.82
0.37	0	68.6
0.38	0	71.26
0.39	0	72.45
0.4	0	71.75
0.41	0	71.03
0.42	0	70.78
0.43	0	70.52
0.44	0	70.21
0.45	0	69.27
0.46	0	66.36
0.47	0	60.02
0.48	0	48.1
0.49	0	37.65
0.5	0	48.46
0.51	0	54.99
0.52	0	61.63
0.53	0	66.29
0.54	0	67.2
0.55	0	72.32
0.56	0	78.56
0.57	144.93	81.54
0.58	143.27	82.92
0.59	141.57	83.26
0.6	140.75	82.47
0.61	140.33	80.94
0.62	140.18	79.34
0.63	140.91	77.32
0.64	142.46	74.91
0.65	143.45	71.53
0.66	144.42	66.91
0.67	144.51	64.51
0.68	143.99	63.9
0.69	142.95	63.52
0.7	142.13	63.33
0.71	141.25	63.55
0.72	141.65	66.98
0.73	139.41	72.42
0.74	138.36	75.66
0.75	137.98	77.75
0.76	136.91	79.48
0.77	135.64	80.49
0.78	134.91	80.68
0.79	135.44	80.9
0.8	135.9	80.99
0.81	135.63	80.37
0.82	135.55	79.74
0.83	135.42	79.14
0.84	134.87	78.4
0.85	134.23	77.6
0.86	133.24	76.51
0.87	132.15	75.03
0.88	131.34	72.48
0.89	128.75	66.74
0.9	128.8	61.23
0.91	128.31	60.6
0.92	126.19	61.58
0.93	123.65	63.38
0.94	121.47	64.43
0.95	120.24	65.57
0.96	119.79	67.4
0.97	120.16	70.06
0.98	120.84	73.28
0.99	121.22	76.15
1	120.95	78.16
1.01	120.39	79.71
1.02	120.15	81.06
1.03	120.13	82.16
1.04	119.6	82.25
1.05	119.31	81.62
1.06	119.1	80.96
1.07	119.29	80.14
1.08	119.62	79.18
1.09	120.44	78.09
1.1	121.75	77.12
1.11	122.59	76.47
1.12	121.4	75.63
1.13	119.66	74.01
1.14	116.64	70.8
1.15	0	64.73
1.16	0	55.8
1.17	0	51.42
1.18	0	49.61
1.19	0	47.08
1.2	0	45.45
1.21	0	44.61
1.22	0	45.11
1.23	0	47.21
1.24	0	50.55
1.25	0	54.1
1.26	0	54.7
1.27	0	54.95
1.28	0	65.39
1.29	127.54	72.84
1.3	127.89	75.2
1.31	126.82	75.38
1.32	125.07	74.92
1.33	123.94	74.04
1.34	123.81	72.94
1.35	124.22	71.5
1.36	123.74	69.28
1.37	121.69	66.03
1.38	118.85	61.33
1.39	0	56.67
1.4	0	56.67
1.41	0	58.02
1.42	0	58.89
1.43	0	58.89
1.44	0	58.97
1.45	0	57.92
1.46	0	56.24
1.47	0	56.45
1.48	0	57.28
1.49	0	57.21
1.5	0	57.43
1.51	0	57.94
1.52	0	59.33
1.53	0	67.96
1.54	124.7	76.06
1.55	124.16	79.81
1.56	122.63	81.39
1.57	120.55	82.13
1.58	118.82	82.15
1.59	118.25	81.97
1.6	118.05	81.47
1.61	117.64	81.02
1.62	117.03	80.77
1.63	116.78	80.65
1.64	116.65	80.5
1.65	116.63	79.97
1.66	115.33	78.16
1.67	114.13	74.28
1.68	0	67.53
1.69	0	66.22
1.7	0	71.96
1.71	0	73.14
1.72	0	70.5
1.73	0	69.66
1.74	0	69.94
1.75	0	68.14
1.76	0	63.31
1.77	0	54.38
1.78	0	41.52
1.79	0	43.91
1.8	0	57.04
1.81	0	59.56
1.82	0	56.29
1.83	0	58.18
1.84	0	61.14
1.85	0	59.09
