time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	23.57
0.05	0	24.12
0.06	0	24.38
0.07	0	25.01
0.08	0	24.03
0.09	0	23.41
0.1	0	24.18
0.11	0	29.43
0.12	0	44.09
0.13	0	53.54
0.14	133.79	60.65
0.15	134.04	65.94
0.16	142.2	69.68
0.17	152.69	72.92
0.18	162.16	75.24
0.19	170.31	76.68
0.2	177.34	77.88
0.21	183.22	79.02
0.22	187.71	79.78
0.23	189.7	79.58
0.24	188.6	77.99
0.25	185.35	74.06
0.26	178.95	66.98
0.27	165.44	62.28
0.28	156.44	61.74
0.29	146.51	61.32
0.3	136.66	60.92
0.31	128.57	60.77
0.32	119.87	59.57
0.33	0	55.94
0.34	0	50.19
0.35	0	47.43
0.36	0	50.79
0.37	0	48.89
0.38	0	50.58
0.39	0	63.19
0.4	116.88	72.46
0.41	112.81	78.02
0.42	111.76	80.84
0.43	112.18	81.79
0.44	112.46	82.56
0.45	113.45	83.59
0.46	115.11	84.01
0.47	116.5	83.69
0.48	117.56	83
0.49	118.2	82.39
0.5	118.67	81.95
0.51	118.93	81.68
0.52	118.62	81.58
0.53	118.27	81.62
0.54	118.08	81.68
0.55	117.9	81.56
0.56	117.39	81.3
0.57	116.75	81.02
0.58	115.74	80.86
0.59	114.46	80.58
0.6	112.82	80.02
0.61	111.31	79.42
0.62	109.76	78.53
0.63	107.99	75.84
0.64	107.29	68.7
0.65	106.68	58.93
0.66	0	55.61
0.67	0	62.28
0.68	115.47	71.7
0.69	115.9	75.87
0.7	115.23	76.86
0.71	113.77	76.25
0.72	113.44	75.68
0.73	113.95	75.62
0.74	114.33	75.83
0.75	114.4	76.11
0.76	114.48	76.33
0.77	114.45	76.37
0.78	114.16	76.18
0.79	113.35	75.74
0.8	112.59	75.29
0.81	111.95	75.22
0.82	110.77	75.14
0.83	109.79	74.45
0.84	108.75	73.17
0.85	107.56	71.24
0.86	102.13	67.35
0.87	101.24	61.91
0.88	109.75	63.65
0.89	112.41	70.34
0.9	113.09	74.36
0.91	113.33	76.13
0.92	113.63	77.6
0.93	114.55	78.35
0.94	115.34	78.4
0.95	116.02	78.48
0.96	116.75	78.82
0.97	117.36	79.24
0.98	118.75	79.43
0.99	120.29	79.13
1	122.03	78.56
1.01	123.3	77.28
1.02	123.47	73.81
1.03	123.68	67.44
1.04	0	58.07
1.05	0	46.02
1.06	0	35.97
1.07	0	43.03
1.08	0	51.9
1.09	0	58.52
1.1	0	63.17
1.11	0	65.66
1.12	0	64.18
1.13	0	59.33
1.14	0	55.74
1.15	0	57.95
1.16	0	58.16
1.17	0	54.75
1.18	0	52.72
1.19	0	56.6
1.2	0	61.48
1.21	0	65.76
1.22	0	67.75
1.23	0	68.87
1.24	0	69.25
1.25	0	69.46
1.26	0	66.48
1.27	0	56.15
1.28	0	33.89
1.29	0	36.66
1.3	0	51.46
1.31	0	56.92
1.32	0	59.79
1.33	178.76	67.94
1.34	178.49	73.64
1.35	179.16	75.71
1.36	177.42	75.81
1.37	172.88	75.24
1.38	168.6	74.25
1.39	163.95	73.26
1.4	159.12	73.05
1.41	154.5	73.58
1.42	149.59	74.62
1.43	144.16	75.5
1.44	136.2	75.47
1.45	127.68	74.1
1.46	0	70.55
1.47	0	63.41
1.48	0	53.67
1.49	0	49.5
1.5	0	46.42
1.51	0	41.32
1.52	0	41.38
1.53	0	52.79
1.54	0	58.67
1.55	0	60.78
1.56	0	65.19
1.57	105.35	68.35
1.58	102.22	69.74
1.59	98.38	70.06
1.6	95.34	69.45
1.61	92.81	68.04
1.62	92.93	67.05
1.63	93.9	66.84
1.64	94.93	66.61
1.65	94.47	65.2
1.66	94.81	61.3
1.67	0	60.38
1.68	0	64.55
1.69	0	66.55
1.7	0	65.89
1.71	0	63.98
1.72	0	60.99
1.73	0	57.88
1.74	0	56.75
1.75	0	58.54
1.76	0	61.49
1.77	0	63.32
1.78	0	62.61
1.79	0	61.04
1.8	0	57.86
1.81	0	53.86
1.82	0	56.31
1.83	0	56.71
1.84	0	57.31
1.85	0	55.11
1.86	0	54.29
1.87	0	53.98
1.88	0	52.95
1.89	0	45.58
1.9	0	32.96
1.91	0	26.64
1.92	0	21.33
1.93	0	26.07
1.94	0	39.31
1.95	0	46.05
1.96	0	48.54
1.97	0	51.66
1.98	0	54.96
1.99	0	57.94
2	0	60.72
2.01	0	61.68
2.02	0	61.2
2.03	0	60.24
2.04	0	58.33
2.05	0	55.86
2.06	0	51.45
2.07	0	46.01
2.08	0	42.38
2.09	0	39.61
2.1	0	36.95
2.11	0	34.33
2.12	0	33.62
2.13	0	33.37
2.14	0	32.62
2.15	0	32.12
2.16	0	31.71
2.17	0	30.96
2.18	0	30.49
2.19	0	0
2.2	0	0
2.21	0	0
