time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.99
0.05	0	33.47
0.06	0	36.79
0.07	0	41.31
0.08	0	46.53
0.09	0	50.67
0.1	0	53.09
0.11	0	54.01
0.12	0	53.7
0.13	0	56.92
0.14	0	68.59
0.15	135.33	77.53
0.16	133.44	81.01
0.17	130.78	81.63
0.18	128.45	80.68
0.19	126.59	76.96
0.2	0	68.42
0.21	0	52.98
0.22	0	36.08
0.23	0	33.4
0.24	0	45.59
0.25	0	53.63
0.26	0	55.38
0.27	0	57.06
0.28	0	58.88
0.29	0	59.68
0.3	0	66.51
0.31	142.65	75.32
0.32	141.66	79.46
0.33	140.01	81.06
0.34	138.12	81.38
0.35	136.08	80.59
0.36	133.29	78.55
0.37	128.39	74.87
0.38	0	71.47
0.39	0	72.92
0.4	0	75.77
0.41	0	77.87
0.42	0	77.68
0.43	0	77.71
0.44	0	78.21
0.45	0	77.95
0.46	0	79.12
0.47	0	81.04
0.48	0	82.78
0.49	0	81.48
0.5	0	78.41
0.51	0	73.4
0.52	0	64.5
0.53	0	49.07
0.54	0	57.87
0.55	0	66.97
0.56	0	69.18
0.57	0	73.66
0.58	140.15	79.94
0.59	138.07	83.05
0.6	135.3	84.08
0.61	133.83	84.02
0.62	134.96	83.24
0.63	138.1	81.96
0.64	141.57	80.89
0.65	144.71	79.84
0.66	148.2	77.57
0.67	151.29	74.08
0.68	153.52	70.58
0.69	152.58	66.87
0.7	0	59.89
0.71	0	49.19
0.72	0	44.19
0.73	0	42.62
0.74	0	41.87
0.75	0	47.35
0.76	0	54.44
0.77	0	60.11
0.78	0	65.24
0.79	115.46	68.05
0.8	115.28	69.84
0.81	114.12	70.47
0.82	113.07	67.72
0.83	110.49	62.22
0.84	111.02	59.16
0.85	110.71	58.67
0.86	108.56	57.7
0.87	0	58.32
0.88	0	62.98
0.89	113.64	64.51
0.9	113.36	65.11
0.91	112.71	65.98
0.92	110.61	65.18
0.93	107.11	63.28
0.94	0	61.51
0.95	0	62.89
0.96	0	65.67
0.97	0	66.99
0.98	0	67.74
0.99	0	67.6
1	0	64.89
1.01	0	56.38
1.02	0	43.62
1.03	0	55.43
1.04	0	64.08
1.05	0	67.36
1.06	0	65.08
1.07	0	62.22
1.08	0	66.07
1.09	129.3	67.02
1.1	125.92	66.17
1.11	121.88	65.1
1.12	117.76	63.41
1.13	112.46	61.32
1.14	107.3	58.67
1.15	0	55.08
1.16	0	49.41
1.17	0	45.02
1.18	0	51.09
1.19	0	55.11
1.2	0	55.75
1.21	0	55.34
1.22	141.45	61.91
1.23	134.36	68.52
1.24	131.14	71.92
1.25	132.56	74.46
1.26	134.09	77.9
1.27	134.05	80.06
1.28	133.51	80.36
1.29	133.07	79.81
1.3	131.8	78.64
1.31	130.8	76.63
1.32	130.33	73.86
1.33	128.82	71.62
1.34	126.39	69.41
1.35	122.9	66.4
1.36	120.76	64.32
1.37	119.9	64.83
1.38	118.53	65.72
1.39	116.63	66.61
1.4	114.31	68.16
1.41	113.76	70.01
1.42	114.25	71.83
1.43	114.18	73.13
1.44	113.71	73.73
1.45	113.79	73.71
1.46	114.41	73.54
1.47	115.44	73.65
1.48	115.43	73.2
1.49	115.44	72.27
1.5	116.31	72.5
1.51	116.31	72.86
1.52	116.03	72.77
1.53	115.62	72.66
1.54	114.88	72.28
1.55	114.69	71.21
1.56	113.95	69.22
1.57	110.21	65.06
1.58	109.43	61.49
1.59	107.81	61.05
1.6	0	62.07
1.61	0	61.05
1.62	0	54.3
1.63	0	46.25
1.64	0	53.03
1.65	0	61.82
1.66	0	64.62
1.67	0	63.05
1.68	0	62.48
1.69	0	68.02
1.7	0	71.2
1.71	0	69.85
1.72	110.12	64.27
1.73	110.47	61.45
1.74	109.48	61.13
1.75	107.61	60.25
1.76	105.99	59.93
1.77	105.36	60.55
1.78	102.99	58.87
1.79	100.44	56.06
1.8	0	53.76
1.81	0	52.56
1.82	0	57.32
1.83	115.2	64.82
1.84	116.05	70.44
1.85	116.78	73.01
1.86	116.98	74.04
1.87	116.59	73.73
1.88	115.99	72.64
1.89	115.59	71.94
1.9	114.75	71.29
1.91	113.3	69.56
1.92	110.56	66.08
1.93	108.36	61.76
1.94	107.27	59.15
1.95	0	56.72
1.96	0	55.4
1.97	0	59.43
1.98	0	61.19
1.99	0	64.49
2	0	68.28
2.01	0	70.3
2.02	0	71.64
2.03	0	71.98
2.04	0	67.61
2.05	0	62.21
2.06	0	65.49
2.07	0	68.78
2.08	0	68.81
2.09	0	66.08
2.1	0	63.33
2.11	0	59.92
2.12	0	55.97
2.13	0	54.52
2.14	0	55.47
2.15	0	54.96
2.16	0	52.35
2.17	0	50.81
2.18	0	50.6
2.19	0	47.67
2.2	0	45.12
2.21	0	43.66
2.22	0	41.95
2.23	0	41.08
2.24	0	40.1
2.25	0	38.54
2.26	0	39.62
2.27	0	45.09
2.28	0	46.4
2.29	0	44.12
2.3	0	42.55
2.31	0	39.66
2.32	0	38.18
2.33	0	35.73
2.34	0	33.5
2.35	0	33.68
2.36	0	33.65
2.37	0	33.42
2.38	0	0
2.39	0	0
2.4	0	0
?	?	?
