time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	32.94
0.04	0	32.58
0.05	0	32.24
0.06	0	32.43
0.07	0	31.78
0.08	0	32.09
0.09	0	33.95
0.1	0	34.24
0.11	0	33.69
0.12	0	35.94
0.13	0	44.3
0.14	0	57.58
0.15	0	65.06
0.16	0	69.33
0.17	0	73.12
0.18	103.48	73.81
0.19	104.38	72.37
0.2	100.22	69.44
0.21	0	64.6
0.22	0	59.1
0.23	0	57.4
0.24	0	58.47
0.25	0	57.7
0.26	0	56.86
0.27	0	56.47
0.28	0	55.07
0.29	0	49.65
0.3	0	38.11
0.31	0	31.44
0.32	0	31.07
0.33	0	31.08
0.34	0	32.3
0.35	0	43.19
0.36	0	59.39
0.37	0	67.82
0.38	0	74.34
0.39	117.78	79.15
0.4	114.56	81.43
0.41	112.89	81.8
0.42	113.57	82.14
0.43	116.13	82.68
0.44	118.48	82.85
0.45	120.14	82.81
0.46	121.23	82.81
0.47	120.98	82.9
0.48	118.9	82.22
0.49	112.94	80.24
0.5	0	77.31
0.51	0	72.69
0.52	0	65.1
0.53	0	55.6
0.54	0	47.94
0.55	0	45.64
0.56	0	38.76
0.57	0	31.77
0.58	0	29.08
0.59	0	34.77
0.6	0	52.93
0.61	0	63.76
0.62	0	66.42
0.63	0	64.09
0.64	0	62.21
0.65	0	60.49
0.66	0	64.3
0.67	0	71.1
0.68	120.7	73.85
0.69	118.97	74.33
0.7	116.09	74.04
0.71	113.79	73.69
0.72	113.01	73.51
0.73	112.01	73.31
0.74	111.6	73.15
0.75	112.1	73.23
0.76	112.57	73.25
0.77	113.31	73.18
0.78	113.6	73.16
0.79	113.6	72.76
0.8	113.45	71.78
0.81	112.67	70.28
0.82	111.85	68.53
0.83	111.65	67.02
0.84	111.83	66.65
0.85	111.42	66.58
0.86	110.54	66.29
0.87	109.26	65.8
0.88	107.45	65.18
0.89	106.04	64.49
0.9	104.18	63.61
0.91	101.39	61.96
0.92	98.46	59.32
0.93	103.55	59.66
0.94	106.99	66.87
0.95	107.24	72.4
0.96	105.91	75.77
0.97	105.11	77.55
0.98	104.74	78.27
0.99	104.8	78.44
1	104.85	78.28
1.01	104.34	77.71
1.02	104.14	76.73
1.03	104.14	75.26
1.04	103.97	73.17
1.05	103.45	70.98
1.06	102.35	69.07
1.07	101.57	67.54
1.08	101.24	66.7
1.09	101.4	66.87
1.1	102.23	67.85
1.11	104.09	69.3
1.12	105.45	70.58
1.13	105.64	71.96
1.14	105.38	73.63
1.15	104.92	75.14
1.16	104.11	76.01
1.17	102.44	76.16
1.18	100.94	75.18
1.19	0	71.58
1.2	0	63.06
1.21	0	56.16
1.22	0	55.37
1.23	0	57.65
1.24	102.9	61.17
1.25	101.75	62.98
1.26	101.86	64.3
1.27	102.38	65.05
1.28	103.03	65.39
1.29	103.7	65.5
1.3	105.4	66.6
1.31	108.91	70.86
1.32	108.52	73.12
1.33	109.15	72.73
1.34	109.08	72.15
1.35	109	71.5
1.36	108.72	70.92
1.37	108.21	70.39
1.38	107.34	69.86
1.39	106.56	69.33
1.4	105.44	68.68
1.41	103.2	67.44
1.42	99.68	65.14
1.43	0	62.2
1.44	0	62.98
1.45	0	67.21
1.46	0	70.24
1.47	0	70.94
1.48	0	70.47
1.49	0	70.67
1.5	0	69.29
1.51	0	65.22
1.52	0	59.37
1.53	0	54.04
1.54	0	55.85
1.55	0	64.59
1.56	94.78	68.53
1.57	90.69	69.92
1.58	89.39	70.56
1.59	88.63	70.64
1.6	88.12	70.08
1.61	87.8	69.09
1.62	87.5	67.5
1.63	87.32	64.58
1.64	0	60.13
1.65	0	55.2
1.66	0	52.24
1.67	0	52.84
1.68	0	52.91
1.69	0	52.16
1.7	0	51.43
1.71	0	49.96
1.72	0	48.99
1.73	0	48.8
1.74	0	47.99
1.75	0	46
1.76	0	43.21
1.77	0	42.1
1.78	0	42.55
1.79	0	41.38
1.8	0	39.87
1.81	0	37.83
1.82	0	0
1.83	0	0
1.84	0	0
