time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	35.94
0.05	0	36.59
0.06	0	36.15
0.07	0	35.83
0.08	0	36.03
0.09	0	35.98
0.1	0	36.59
0.11	0	38.54
0.12	0	44.74
0.13	0	52.48
0.14	106.83	57.77
0.15	106.67	60.99
0.16	103.12	63.03
0.17	101.61	64.66
0.18	101.93	66.16
0.19	102.17	67.71
0.2	102.56	69.12
0.21	103.94	70.33
0.22	104.85	71.11
0.23	105.3	71.63
0.24	105.16	71.68
0.25	104.66	71.24
0.26	104.21	70.74
0.27	103.27	70.18
0.28	102.07	69.24
0.29	0	66.71
0.3	0	60.68
0.31	0	54.59
0.32	0	52.35
0.33	0	50.15
0.34	0	47.61
0.35	0	51.27
0.36	0	63.9
0.37	0	69.5
0.38	106.41	73.95
0.39	106.6	78.89
0.4	105.17	81.03
0.41	102.85	80.4
0.42	102.89	79.7
0.43	103.19	79
0.44	103.28	78.72
0.45	103.66	78.55
0.46	104.5	78.41
0.47	105.34	78.21
0.48	106.81	77.66
0.49	108.69	76.76
0.5	111	75.76
0.51	113.2	74.8
0.52	115.39	73.83
0.53	117.24	73.14
0.54	118.42	72.13
0.55	118.52	70.05
0.56	116.88	67.14
0.57	104.75	64.09
0.58	0	60.27
0.59	0	55.9
0.6	0	54.65
0.61	0	55.75
0.62	0	55.82
0.63	0	53.42
0.64	0	51.61
0.65	0	51.58
0.66	0	53.82
0.67	0	63.77
0.68	0	72.2
0.69	101.82	76.59
0.7	101.98	77.34
0.71	100.49	75.77
0.72	99.1	74.68
0.73	98.4	74.69
0.74	97.22	74.51
0.75	95.6	74
0.76	94.18	73.42
0.77	93.3	72.98
0.78	93.39	73.3
0.79	93.94	75.1
0.8	94.5	76.6
0.81	94.9	77.53
0.82	95.36	78.27
0.83	95.57	79.28
0.84	95.2	79.74
0.85	94.93	79.87
0.86	94.94	80.14
0.87	94.75	80.04
0.88	94.35	79.7
0.89	94.52	79.74
0.9	94.72	79.58
0.91	94.79	79.13
0.92	94.6	78.91
0.93	94.88	78.75
0.94	95.26	78.62
0.95	95.84	78.49
0.96	96.46	78.25
0.97	97.24	77.56
0.98	98.35	76.08
0.99	99.29	73.92
1	99.9	71.48
1.01	100.96	68.91
1.02	101.89	66.01
1.03	102.31	64.87
1.04	101.03	65.21
1.05	98.05	66.07
1.06	93.76	66.97
1.07	90.88	66.85
1.08	87.97	66.86
1.09	85.64	67.11
1.1	84.74	66.17
1.11	80.48	63.86
1.12	80.83	61.14
1.13	0	59.41
1.14	0	57.41
1.15	0	54.6
1.16	0	49.29
1.17	0	44.54
1.18	0	55.06
1.19	0	63.14
1.2	0	63
1.21	0	58.41
1.22	0	59.53
1.23	0	63.11
1.24	0	64.14
1.25	0	62.1
1.26	0	59.23
1.27	0	56.69
1.28	0	46.72
1.29	0	40.37
1.3	0	45.9
1.31	0	49.06
1.32	0	50.09
1.33	0	51.94
1.34	0	55.33
1.35	0	60.24
1.36	0	63.24
1.37	108.63	69.24
1.38	95.88	76.54
1.39	90.54	80.5
1.4	94.57	82.22
1.41	96.44	83.08
1.42	97.01	83.86
1.43	97.77	84.04
1.44	98.1	83.38
1.45	98.11	81.36
1.46	97.32	76.92
1.47	95.38	69.59
1.48	0	63.49
1.49	0	67.36
1.5	0	71.33
1.51	0	71.35
1.52	0	70.69
1.53	0	71.82
1.54	0	72.04
1.55	0	70.36
1.56	0	64.77
1.57	0	54.38
1.58	0	48.69
1.59	125.65	55.39
1.6	116.33	61.69
1.61	110.67	65.01
1.62	108.34	66.29
1.63	106.87	66.51
1.64	106.43	66.71
1.65	106.14	67.12
1.66	105.93	67.71
1.67	105.77	68.27
1.68	105.25	68.3
1.69	104	67.38
1.7	101.8	64.79
1.71	99.01	59.75
1.72	0	55.2
1.73	0	53.18
1.74	0	51.93
1.75	0	50.74
1.76	0	49.61
1.77	0	48.63
1.78	0	49.23
1.79	0	57.21
1.8	0	69.51
1.81	99.96	76.41
1.82	98.72	79.75
1.83	97.68	80.91
1.84	96.78	81.21
1.85	94.65	81.11
1.86	92.79	80.5
1.87	91.21	79.5
1.88	91.67	78.11
1.89	91.88	76.7
1.9	90.36	75.77
1.91	88.72	75.3
1.92	88.69	74.56
1.93	88.12	72.76
1.94	0	69.19
1.95	0	65.84
1.96	0	68.76
1.97	0	71.58
1.98	0	72.89
1.99	0	74.19
2	0	75.83
2.01	0	76
2.02	0	73.86
2.03	0	69.67
2.04	0	61.84
2.05	0	49.53
2.06	0	39.13
2.07	0	37.37
2.08	0	37.63
2.09	0	37.27
2.1	0	41.96
2.11	0	52.93
2.12	0	62.43
2.13	0	70.68
2.14	0	74.94
2.15	0	75.04
2.16	0	77.48
2.17	0	78.43
2.18	0	76.57
2.19	82.79	75.66
2.2	77.61	75.78
2.21	0	76.33
2.22	0	75.82
2.23	0	75.4
2.24	0	74.78
2.25	0	74.32
2.26	0	74.22
2.27	0	74.04
2.28	0	73.78
2.29	0	73.65
2.3	0	73.7
2.31	0	72.15
2.32	0	67.92
2.33	0	62.46
2.34	0	53.25
2.35	0	48.93
2.36	0	48.26
2.37	0	47.01
2.38	0	44.6
2.39	0	42.66
2.4	0	42.29
2.41	0	41.43
2.42	0	41.57
2.43	0	43.29
2.44	0	42.64
2.45	0	39.14
2.46	0	36.83
2.47	0	35.93
2.48	0	35.41
2.49	0	34.89
2.5	0	34.7
2.51	0	34.73
2.52	0	35.42
2.53	0	35.9
2.54	0	0
2.55	0	0
2.56	0	0
?	?	?
