time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.22
0.05	0	30.8
0.06	0	30.42
0.07	0	31.27
0.08	0	32.96
0.09	0	33.57
0.1	0	32.94
0.11	0	31.46
0.12	0	40.53
0.13	0	56.15
0.14	0	62.59
0.15	0	61.48
0.16	0	61.84
0.17	0	69.17
0.18	75.19	73.91
0.19	77.96	77.23
0.2	88.39	79.78
0.21	94.17	81.31
0.22	96.79	81.87
0.23	100.19	82.01
0.24	102.18	81.38
0.25	107.71	78.44
0.26	110.98	74.89
0.27	113.55	74.65
0.28	116.35	74.98
0.29	119.1	75.35
0.3	121.32	75.79
0.31	123.08	76.19
0.32	124.73	76.4
0.33	126.43	76.84
0.34	128.47	78.38
0.35	127.91	79.23
0.36	126.2	78.28
0.37	125.89	79.05
0.38	124.99	80.6
0.39	124.08	80.71
0.4	123.58	80.18
0.41	123.1	79.61
0.42	123.58	78.87
0.43	124.31	78.05
0.44	124.42	77
0.45	123.95	75.15
0.46	128.9	72.7
0.47	0	71.05
0.48	0	70.56
0.49	0	70.08
0.5	0	71
0.51	116.81	73.07
0.52	121.19	76.05
0.53	124.8	77.93
0.54	124.74	79.12
0.55	123.3	79.69
0.56	121.7	79.58
0.57	120.54	78.87
0.58	118.62	76.99
0.59	118.73	74.62
0.6	121.42	74.25
0.61	122.53	74.06
0.62	122.37	73.43
0.63	119.96	71.83
0.64	115.49	67.61
0.65	0	60.43
0.66	0	59.42
0.67	0	67.42
0.68	0	72.88
0.69	0	75.09
0.7	119.35	76.13
0.71	117.09	78.3
0.72	114.94	79.68
0.73	113.78	79.77
0.74	113.1	79.45
0.75	112.04	78.61
0.76	110.5	75.56
0.77	110.29	72.38
0.78	110.38	72.93
0.79	110.06	73.39
0.8	109.58	73.37
0.81	109.48	73.43
0.82	111.72	74.73
0.83	112.54	76.57
0.84	111.66	77.2
0.85	111.6	77.21
0.86	111.85	77.42
0.87	111.55	77.72
0.88	110.8	77.83
0.89	110.02	78.04
0.9	108.93	78.52
0.91	107.72	78.84
0.92	106.29	79.11
0.93	104.64	79.33
0.94	102.75	79.18
0.95	101.09	78.9
0.96	99.55	79.09
0.97	97.95	79.48
0.98	96.31	79.65
0.99	94.27	78.98
1	0	76.96
1.01	0	71.22
1.02	0	60.32
1.03	0	52.6
1.04	0	48.48
1.05	0	42.26
1.06	0	35.81
1.07	0	49.81
1.08	0	62.58
1.09	0	65.88
1.1	0	65.59
1.11	0	68.01
1.12	87.11	70.79
1.13	84.81	72.14
1.14	84.31	72.72
1.15	84.44	73.28
1.16	84.2	73.37
1.17	84.03	72.95
1.18	84.07	72.04
1.19	83.53	70.39
1.2	82.1	67.74
1.21	81.4	65.27
1.22	81.14	64
1.23	80.62	63.44
1.24	79.6	63.02
1.25	77.74	62.1
1.26	0	60.79
1.27	0	62.42
1.28	0	70.41
1.29	87.22	74.93
1.3	83.38	76.27
1.31	80.43	75.89
1.32	80.2	75.9
1.33	80.71	76.51
1.34	80.93	77.22
1.35	79.93	77.84
1.36	79.52	77.85
1.37	80.47	77.19
1.38	82.87	76.51
1.39	84.34	77
1.4	84.67	78.06
1.41	84.75	78.01
1.42	85.44	76.49
1.43	86.26	73.73
1.44	86.98	69.98
1.45	87.88	67.57
1.46	88.59	67.33
1.47	88.69	67.34
1.48	88.32	67.87
1.49	87.71	68.37
1.5	0	66.23
1.51	0	60.66
1.52	0	51.86
1.53	0	43.24
1.54	0	40.83
1.55	0	41.67
1.56	0	46.99
1.57	0	62.82
1.58	0	71.47
1.59	0	75.63
1.6	0	78.59
1.61	0	77.23
1.62	0	71.74
1.63	0	71.55
1.64	0	77.47
1.65	101.17	81.34
1.66	99.96	82.87
1.67	98.25	83.07
1.68	96.96	82.9
1.69	95.78	82.76
1.7	94.2	81.99
1.71	92.35	80.55
1.72	90.44	78.45
1.73	86.43	74.65
1.74	82.68	68.36
1.75	80.06	61.97
1.76	78.92	59.25
1.77	80.53	62.05
1.78	81.94	66.79
1.79	82.7	69.98
1.8	80.4	71.48
1.81	77.05	71.59
1.82	75.73	70.69
1.83	75.4	69.71
1.84	85.22	69.25
1.85	88.4	69.14
1.86	87.38	69.2
1.87	86.87	69.6
1.88	86.12	69.97
1.89	84.24	69.9
1.9	83.04	70.04
1.91	80.19	70.59
1.92	0	70.96
1.93	0	69.16
1.94	0	68.25
1.95	0	69.67
1.96	0	64.53
1.97	0	52.46
1.98	0	36.45
1.99	0	30.36
2	0	35.89
2.01	0	45.84
2.02	0	49.65
2.03	0	46.9
2.04	0	39.65
2.05	0	32.88
2.06	0	0
2.07	0	0
2.08	0	0
?	?	?
