time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	34.47
0.04	0	34.75
0.05	0	34.05
0.06	0	33.33
0.07	0	33.81
0.08	0	34.29
0.09	0	34.23
0.1	0	34.87
0.11	0	36.06
0.12	0	39.72
0.13	0	52.45
0.14	0	65.24
0.15	0	73.49
0.16	0	77.63
0.17	0	79.14
0.18	0	79.41
0.19	0	79.05
0.2	0	78.82
0.21	0	79.02
0.22	0	79.4
0.23	0	79.24
0.24	0	77.52
0.25	0	75.19
0.26	0	70.35
0.27	0	62.2
0.28	0	67.93
0.29	159.66	75.76
0.3	159.99	79.18
0.31	158.24	80.03
0.32	156.85	79.75
0.33	156.47	79.5
0.34	156.69	79.33
0.35	156.81	78.82
0.36	156.91	77.84
0.37	157.28	76.79
0.38	157.37	76.23
0.39	157.09	75.6
0.4	156.46	75.12
0.41	155.44	75.07
0.42	153.83	75.73
0.43	152.14	77.29
0.44	149.22	78.75
0.45	144.68	79.53
0.46	140.12	79.13
0.47	137.26	76.69
0.48	0	70.44
0.49	0	60.55
0.5	0	55.09
0.51	0	58.94
0.52	0	63.99
0.53	0	63.72
0.54	0	62.65
0.55	0	62.4
0.56	0	62.47
0.57	0	62.94
0.58	111.65	64.52
0.59	112.11	66.69
0.6	114.3	68.99
0.61	116.36	71.9
0.62	117.76	74.74
0.63	120.22	77.07
0.64	122.22	78.95
0.65	123.97	79.83
0.66	127.04	79.42
0.67	130.18	78.27
0.68	133.63	77.48
0.69	136.52	77.75
0.7	137.96	78.48
0.71	138.04	79.29
0.72	136.52	79.77
0.73	134.19	79.89
0.74	132.24	79.69
0.75	130.3	78.44
0.76	125.35	75.18
0.77	115.85	72.85
0.78	113.65	75.57
0.79	113.25	78.26
0.8	112.06	79.37
0.81	109.06	80.04
0.82	106.23	80.63
0.83	104.31	80.8
0.84	103.6	81.06
0.85	103.57	81.6
0.86	104.65	82.07
0.87	105.34	82.47
0.88	105.7	82.58
0.89	105.98	82.76
0.9	105.88	82.92
0.91	105.61	82.73
0.92	105.82	82.34
0.93	106.13	81.91
0.94	105.56	81.43
0.95	104.91	80.84
0.96	104.21	80.19
0.97	103.16	79.47
0.98	102.14	78.23
0.99	101.14	75.44
1	0	70.01
1.01	0	59.87
1.02	0	44.67
1.03	0	34.96
1.04	0	32.82
1.05	0	32.5
1.06	0	33.08
1.07	0	33.43
1.08	0	36.31
1.09	0	51.7
1.1	0	61.7
1.11	0	65.06
1.12	0	64.98
1.13	0	64.85
1.14	0	66.34
1.15	0	71.99
1.16	139.53	76.04
1.17	138.93	76.65
1.18	138.14	74.34
1.19	0	67.26
1.2	0	53.3
1.21	0	37.68
1.22	0	45.52
1.23	0	62.05
1.24	0	68
1.25	0	66.77
1.26	0	65.15
1.27	0	69.82
1.28	0	73.66
1.29	0	73.05
1.3	0	65.31
1.31	0	54.94
1.32	0	47.85
1.33	0	50.25
1.34	0	55.44
1.35	0	55.47
1.36	0	59.31
1.37	0	64.32
1.38	0	68.24
1.39	0	71.11
1.4	0	73.3
1.41	0	74.37
1.42	0	74.68
1.43	0	75.22
1.44	0	75.51
1.45	0	75.58
1.46	0	75.99
1.47	0	76.06
1.48	0	73.48
1.49	0	68.73
1.5	0	63.2
1.51	0	60.95
1.52	0	61.77
1.53	0	63.72
1.54	0	65.69
1.55	0	66.42
1.56	0	64.49
1.57	0	61.72
1.58	0	60.32
1.59	0	58.73
1.6	0	56.51
1.61	0	50.34
1.62	0	40.99
1.63	0	34.49
1.64	0	33.52
1.65	0	33.9
1.66	0	33.79
1.67	0	33.79
1.68	0	33.85
1.69	0	38.13
1.7	0	53.63
1.71	0	65.36
1.72	0	71.75
1.73	0	75.17
1.74	0	77.57
1.75	0	78.04
1.76	0	77.39
1.77	0	77.96
1.78	0	78.89
1.79	0	78.51
1.8	0	77.75
1.81	0	77.94
1.82	0	77.47
1.83	0	77.17
1.84	0	76.44
1.85	0	74.55
1.86	0	73.15
1.87	0	71.99
1.88	0	69.39
1.89	0	64.28
1.9	0	59.14
1.91	0	54.89
1.92	0	51.59
1.93	0	48.91
1.94	0	46.57
1.95	0	46.42
1.96	0	46.22
1.97	0	44.93
1.98	0	42.11
1.99	0	39.33
2	0	38.09
2.01	0	37.29
2.02	0	37.48
2.03	0	35.47
2.04	0	33.69
2.05	0	33.93
2.06	0	33.95
2.07	0	33.91
2.08	0	34.34
2.09	0	34.84
2.1	0	35.51
2.11	0	35.93
2.12	0	35.45
2.13	0	35.26
2.14	0	35.76
2.15	0	35.23
2.16	0	39.37
2.17	0	44.92
2.18	0	43.96
2.19	0	37.98
2.2	0	35.85
2.21	0	35.28
2.22	0	34.9
2.23	0	34.26
2.24	0	33.88
2.25	0	33.95
2.26	0	34.28
2.27	0	34.8
2.28	0	0
2.29	0	0
2.3	0	0
