time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	37.98
0.05	0	37.88
0.06	0	37.99
0.07	0	38.35
0.08	0	39.16
0.09	0	40.09
0.1	0	40.66
0.11	0	42.16
0.12	0	46.43
0.13	0	54.36
0.14	0	58.11
0.15	0	56.44
0.16	0	56.97
0.17	116.31	59.37
0.18	116.55	60.4
0.19	115.02	61.19
0.2	113.16	64.12
0.21	113.7	68.56
0.22	114.46	69.86
0.23	114.84	70
0.24	114.77	70.84
0.25	114.5	71.69
0.26	115.89	72.22
0.27	117.72	72.88
0.28	118.23	73.45
0.29	116.87	72.45
0.3	115.52	68.63
0.31	118.03	63.02
0.32	121.58	60.36
0.33	123.14	59.8
0.34	124.23	59.48
0.35	125.4	60.19
0.36	0	68.75
0.37	0	76.91
0.38	0	78.74
0.39	0	77.63
0.4	0	74.3
0.41	0	67.05
0.42	0	68.89
0.43	132.67	74.17
0.44	132.16	77.61
0.45	130.94	79.33
0.46	129.33	79.66
0.47	126.69	79.05
0.48	124.26	78.26
0.49	121.22	77.37
0.5	118.8	76.55
0.51	117.16	76.04
0.52	116.54	75.65
0.53	114.15	75.49
0.54	111.97	75.43
0.55	111.98	75.44
0.56	112.23	75.48
0.57	111.29	74.91
0.58	110.21	74.13
0.59	109.23	74.9
0.6	108.54	75.83
0.61	108.57	76.09
0.62	108.17	76.21
0.63	107.51	76.17
0.64	107.13	76.49
0.65	106.96	76.26
0.66	106.55	76.03
0.67	106.49	75.66
0.68	106.68	75.76
0.69	106.54	75.17
0.7	106.37	74.65
0.71	107.3	75.07
0.72	109.15	75.22
0.73	109.75	74.35
0.74	108.92	72.24
0.75	0	68.15
0.76	0	67.94
0.77	0	72.24
0.78	0	74.47
0.79	0	76.21
0.8	0	78.47
0.81	0	78.84
0.82	0	78.3
0.83	0	79.19
0.84	0	78.49
0.85	0	76.63
0.86	0	75.64
0.87	0	74.93
0.88	0	75.11
0.89	0	74.7
0.9	0	75.01
0.91	0	75.13
0.92	0	75.52
0.93	0	75.27
0.94	0	74.46
0.95	0	74.9
0.96	0	74.3
0.97	0	71.09
0.98	0	66.45
0.99	0	68.99
1	114.45	72.46
1.01	111.95	73.83
1.02	108.93	74.03
1.03	106.5	73.53
1.04	105.26	71.31
1.05	105.22	68.28
1.06	104.53	67.77
1.07	103.38	69.28
1.08	102.65	69.07
1.09	102.28	69.15
1.1	101.67	69.2
1.11	100.14	67.17
1.12	0	63.59
1.13	0	58.51
1.14	0	55.72
1.15	0	54.3
1.16	0	52.94
1.17	0	51.38
1.18	0	50.14
1.19	0	48.96
1.2	0	48.82
1.21	0	48.48
1.22	0	45.52
1.23	0	42.92
1.24	0	40.6
1.25	0	38.35
1.26	0	36.97
1.27	0	46.11
1.28	0	58.61
1.29	0	63.14
1.3	0	64.16
1.31	0	64.04
1.32	0	62.41
1.33	0	60.24
1.34	0	58.5
1.35	0	64.27
1.36	0	72.04
1.37	113.74	77.05
1.38	114.14	80.08
1.39	114.4	81.56
1.4	113.61	82.32
1.41	112.89	81.92
1.42	111.9	82.27
1.43	112.18	82.02
1.44	111.53	80.64
1.45	110.28	77.78
1.46	110.64	73.78
1.47	111.88	70.84
1.48	111.31	69.22
1.49	108.8	66.6
1.5	0	65.75
1.51	0	66.55
1.52	0	67.99
1.53	0	69.4
1.54	0	69.6
1.55	0	69.83
1.56	0	69.6
1.57	0	66.7
1.58	0	63.02
1.59	0	60.73
1.6	0	60.28
1.61	0	60.67
1.62	0	61.14
1.63	0	61.26
1.64	0	62.25
1.65	0	61.23
1.66	0	58.83
1.67	0	57.98
1.68	0	58.1
1.69	0	58.86
1.7	0	61.29
1.71	0	60.21
1.72	0	56.84
1.73	0	57.1
1.74	0	57.93
1.75	0	57.07
1.76	0	54.64
1.77	0	51.47
1.78	0	48.95
1.79	0	47.07
1.8	0	45.62
1.81	0	44.82
1.82	0	44.2
1.83	0	44.29
1.84	0	44.67
1.85	0	44.67
1.86	0	45.04
1.87	0	45.33
1.88	0	45.62
1.89	0	45.86
1.9	0	45.56
1.91	0	45.24
1.92	0	45.22
1.93	0	44.93
1.94	0	44.49
1.95	0	44.26
1.96	0	44.25
1.97	0	44.48
1.98	0	45
1.99	0	46.74
2	0	47.74
2.01	0	45.8
2.02	0	45.24
2.03	0	45.86
2.04	0	46.03
2.05	0	45.91
2.06	0	45.82
2.07	0	45.59
2.08	0	45.75
2.09	0	45.38
2.1	0	44.86
2.11	0	44.34
2.12	0	44.01
2.13	0	43.61
2.14	0	43.19
2.15	0	43.4
2.16	0	0
2.17	0	0
2.18	0	0
?	?	?
