time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	20.29
0.04	0	20.45
0.05	0	20.82
0.06	0	20.88
0.07	0	20.56
0.08	0	20.57
0.09	0	20.83
0.1	0	21.24
0.11	0	21.63
0.12	0	22.84
0.13	0	30.26
0.14	0	41.16
0.15	0	49.66
0.16	0	55.88
0.17	117.75	63.44
0.18	120.24	69.52
0.19	123.18	73.34
0.2	125.02	75
0.21	125.05	74.6
0.22	122.01	71.45
0.23	0	65.27
0.24	0	61.09
0.25	0	61.66
0.26	0	62.42
0.27	0	62.89
0.28	0	62.82
0.29	0	62.33
0.3	0	61.45
0.31	0	60.24
0.32	0	60.08
0.33	0	57.7
0.34	0	50.3
0.35	0	43.4
0.36	0	41.53
0.37	0	43.49
0.38	0	49.31
0.39	0	54.91
0.4	0	66.4
0.41	127.23	75.76
0.42	126.72	80.68
0.43	125.85	82.87
0.44	124.17	83.46
0.45	126.45	82.4
0.46	132.11	79.8
0.47	137.62	78.29
0.48	142.31	77.29
0.49	143.44	75.11
0.5	141.93	71.73
0.51	137.84	65.82
0.52	0	58.4
0.53	0	54.42
0.54	0	53.82
0.55	136.09	57.17
0.56	138.02	63.81
0.57	139.57	69.04
0.58	140.28	71.59
0.59	142.16	71.88
0.6	143.61	70.64
0.61	141.92	69
0.62	138.65	67.56
0.63	131.52	65.8
0.64	124.9	63.63
0.65	117.51	60.25
0.66	0	54.14
0.67	0	46.68
0.68	0	44.49
0.69	0	42.82
0.7	0	44.13
0.71	0	52.82
0.72	0	55.7
0.73	0	52.16
0.74	0	50.11
0.75	0	57.49
0.76	122.66	65.34
0.77	123.05	69.99
0.78	124.44	72.42
0.79	126	73.44
0.8	127	73.86
0.81	127.17	73.92
0.82	127.01	73.79
0.83	126.62	73.47
0.84	125.53	72.8
0.85	123.71	72.12
0.86	121.13	71.54
0.87	117.1	70.65
0.88	114.07	68.1
0.89	0	63.14
0.9	0	56.59
0.91	0	49.66
0.92	0	45
0.93	0	47.15
0.94	0	50.52
0.95	110.34	58.35
0.96	105.2	64.47
0.97	101.73	66.41
0.98	102.81	65.8
0.99	103.72	63.44
1	0	59.14
1.01	0	55.05
1.02	0	54.1
1.03	0	53.03
1.04	0	50.6
1.05	0	46.87
1.06	0	44.33
1.07	0	47.58
1.08	0	52.66
1.09	0	55.47
1.1	0	56.57
1.11	0	55.89
1.12	0	54.19
1.13	0	53.31
1.14	0	53.35
1.15	0	52.56
1.16	0	51.62
1.17	0	50.95
1.18	0	51.21
1.19	0	50.97
1.2	0	48.35
1.21	0	44.77
1.22	0	42.37
1.23	0	41.01
1.24	0	42.11
1.25	0	44.73
1.26	0	48.6
1.27	0	54.04
1.28	91.52	58.89
1.29	94	62.96
1.3	95.88	66.07
1.31	96.46	67.88
1.32	96.64	68.5
1.33	95.42	67.75
1.34	94.55	65.29
1.35	91.7	60.91
1.36	0	55.98
1.37	0	53.8
1.38	0	55.52
1.39	0	56.57
1.4	0	56.76
1.41	0	56.77
1.42	0	56.61
1.43	0	55.41
1.44	0	52.62
1.45	0	51.95
1.46	0	56.48
1.47	0	57.56
1.48	0	55.43
1.49	0	56.65
1.5	0	65.33
1.51	106.14	72.28
1.52	106.27	75.31
1.53	106.99	76.84
1.54	108.08	77.95
1.55	109.6	78.68
1.56	111.34	79.23
1.57	113.38	79.76
1.58	115.54	80.26
1.59	116.47	80.23
1.6	115.54	78.17
1.61	114.61	73.45
1.62	0	66.59
1.63	0	57.9
1.64	0	48.02
1.65	0	41.11
1.66	0	38.24
1.67	0	34.46
1.68	0	29.54
1.69	0	23.57
1.7	0	29.4
1.71	0	41.92
1.72	0	50.03
1.73	0	58.11
1.74	0	67.83
1.75	0	73.37
1.76	112.06	74.2
1.77	108.32	71.1
1.78	106.69	68.12
1.79	107.65	69.55
1.8	107.82	70.93
1.81	107.52	71.62
1.82	107.11	72.06
1.83	106.7	72.2
1.84	106.39	72.19
1.85	107.18	73.22
1.86	106.74	75.12
1.87	104.75	75.74
1.88	103.47	75.27
1.89	102.36	74.3
1.9	101.42	73.04
1.91	100.42	71.54
1.92	99.53	70.37
1.93	98.9	69.8
1.94	97.95	69.25
1.95	96.43	68.4
1.96	95.17	67.49
1.97	0	65.38
1.98	0	59.26
1.99	0	53.38
2	0	52.63
2.01	0	52.92
2.02	88.26	53.9
2.03	87.29	55.25
2.04	85.81	56.17
2.05	84.69	56.63
2.06	0	57.09
2.07	0	63.22
2.08	75.15	67.86
2.09	81.37	67.7
2.1	85.57	69.21
2.11	86.13	72.07
2.12	80.25	72.4
2.13	82.55	70.43
2.14	0	71.52
2.15	0	69.8
2.16	0	69.33
2.17	0	69.59
2.18	0	69.05
2.19	0	69.16
2.2	0	65.21
2.21	0	61.21
2.22	0	59.28
2.23	0	59.52
2.24	0	58.04
2.25	0	50.42
2.26	0	43.73
2.27	0	39.26
2.28	0	35.28
2.29	0	32.31
2.3	0	26.81
2.31	0	22.11
2.32	0	21.16
2.33	0	22.03
2.34	0	22.92
2.35	0	0
2.36	0	0
?	?	?
