time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	35.17
0.05	0	33.81
0.06	0	36.12
0.07	0	38.38
0.08	0	38.44
0.09	0	37.3
0.1	0	35.41
0.11	0	34.28
0.12	0	41.8
0.13	0	61.38
0.14	0	72.46
0.15	118.07	76.58
0.16	120.61	77.72
0.17	122.4	78.51
0.18	123.72	79.23
0.19	125.37	79.09
0.2	127.04	78.17
0.21	130.39	77.72
0.22	134.87	78.15
0.23	138.76	78.87
0.24	141.02	79.45
0.25	141.89	79.54
0.26	141.4	78.3
0.27	0	75.31
0.28	0	69.71
0.29	0	64.68
0.3	0	63.35
0.31	0	62.9
0.32	132.74	61.52
0.33	134.09	59.22
0.34	134.47	57.48
0.35	135.23	57.08
0.36	135.78	57.45
0.37	0	59.63
0.38	0	69.6
0.39	135.64	77.09
0.4	131.24	80.22
0.41	128.56	81.36
0.42	127.03	81.75
0.43	125.18	81.32
0.44	122.46	80.27
0.45	124.33	79.94
0.46	125.42	80.54
0.47	125.33	80.12
0.48	125.03	78.81
0.49	125.14	77.28
0.5	125.17	76.17
0.51	124.22	74.96
0.52	121.98	71.98
0.53	120.72	65.49
0.54	0	57.53
0.55	0	59.8
0.56	0	66.48
0.57	0	71.58
0.58	0	75.28
0.59	0	76.5
0.6	0	73.97
0.61	0	68.06
0.62	0	62.72
0.63	0	60.36
0.64	0	57.57
0.65	0	56.13
0.66	0	62.31
0.67	0	69.21
0.68	0	72.48
0.69	0	73.59
0.7	0	72.39
0.71	0	68.58
0.72	0	66.38
0.73	0	62.85
0.74	0	56.76
0.75	0	61.23
0.76	0	63.23
0.77	0	64.51
0.78	0	67.62
0.79	0	69.19
0.8	125.59	69.99
0.81	125.36	70.96
0.82	124.73	71.88
0.83	123.9	72.44
0.84	123.69	72.71
0.85	123.49	72.76
0.86	123.16	72.7
0.87	122.97	72.52
0.88	122.96	72.29
0.89	122.86	72.12
0.9	122.28	71.84
0.91	120.69	71.12
0.92	118.54	69.21
0.93	115.46	66.66
0.94	0	68.83
0.95	0	74.97
0.96	0	78.2
0.97	0	77.91
0.98	0	75.83
0.99	0	70.07
1	0	59.04
1.01	0	43.04
1.02	0	35.72
1.03	0	37.69
1.04	0	36.07
1.05	0	39.37
1.06	0	61.35
1.07	0	73.44
1.08	0	78.45
1.09	106.67	79.48
1.1	106.4	78.88
1.11	104.67	78.42
1.12	101.86	79.23
1.13	101.18	80.48
1.14	101.35	81.23
1.15	101.64	80.64
1.16	101.75	79.21
1.17	101.58	78.09
1.18	101.56	77.44
1.19	101.95	76.95
1.2	101.52	75.49
1.21	0	70.81
1.22	0	61.74
1.23	0	48.64
1.24	0	37.3
1.25	0	35.14
1.26	0	43.67
1.27	0	53.38
1.28	0	57.95
1.29	0	59.2
1.3	0	59.18
1.31	0	57.88
1.32	0	57.54
1.33	0	67.15
1.34	121.15	73.64
1.35	119.06	75.29
1.36	116.35	74.77
1.37	114.02	73.98
1.38	112.42	73.09
1.39	110.79	72.4
1.4	109.45	71.93
1.41	107.4	72.22
1.42	106.43	72.59
1.43	105.96	72.67
1.44	105.84	72.7
1.45	105.78	72.18
1.46	103.13	71.96
1.47	104.02	71.74
1.48	103.43	71.17
1.49	103.21	70.2
1.5	102.67	68.77
1.51	102.55	66.13
1.52	101.29	63.27
1.53	101.4	62.58
1.54	101.8	62.6
1.55	102.85	62.57
1.56	103.86	62.84
1.57	105.53	64.11
1.58	105.99	66.66
1.59	106.88	69.19
1.6	107.73	70.14
1.61	109.45	70.65
1.62	111.62	70.98
1.63	114	71.84
1.64	115.28	72.77
1.65	115.91	74.01
1.66	117.04	74.8
1.67	117.27	74.24
1.68	116.37	71.92
1.69	0	66.91
1.7	0	57.02
1.71	0	43.36
1.72	0	35.32
1.73	0	35.37
1.74	0	36.45
1.75	0	49.23
1.76	0	62.99
1.77	0	66.51
1.78	0	63.95
1.79	0	68.6
1.8	113.55	73.75
1.81	113.79	74.98
1.82	113.28	74.9
1.83	0	72.73
1.84	0	65.84
1.85	0	57.18
1.86	0	54.5
1.87	0	52.44
1.88	0	50.46
1.89	0	52.31
1.9	0	54.05
1.91	0	54.59
1.92	0	54.52
1.93	0	53.46
1.94	0	51.65
1.95	0	52.16
1.96	0	58.62
1.97	117.21	65.36
1.98	113.26	69.73
1.99	109.98	72.74
2	108.29	74.23
2.01	107.4	74.55
2.02	106.85	74.14
2.03	107.77	73.94
2.04	110.46	75.39
2.05	110.69	76.17
2.06	109.96	75.66
2.07	108.63	75.05
2.08	107.58	74.6
2.09	106.79	74.26
2.1	106.08	73.89
2.11	105.71	73.64
2.12	104.54	73.28
2.13	103.11	72.74
2.14	101.81	72.07
2.15	100.36	71.09
2.16	99.5	70.36
2.17	98.02	70.53
2.18	97.07	70.4
2.19	0	69.23
2.2	0	68.49
2.21	0	66.59
2.22	0	64.32
2.23	0	66
2.24	0	64.49
2.25	0	60.05
2.26	0	56.43
2.27	0	53.67
2.28	0	56.28
2.29	0	53.04
2.3	0	46.02
2.31	0	50.18
2.32	0	52.11
2.33	0	51.57
2.34	0	50.5
2.35	0	48.79
2.36	0	47.1
2.37	0	47.49
2.38	0	47.04
2.39	0	46.14
2.4	0	44.83
2.41	0	43.33
2.42	0	0
2.43	0	0
2.44	0	0
