time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	20.37
0.05	0	21.13
0.06	0	21.71
0.07	0	21.73
0.08	0	21.74
0.09	0	21.83
0.1	0	22.01
0.11	0	26.41
0.12	0	40.63
0.13	0	51.98
0.14	0	58.94
0.15	0	67.9
0.16	0	72.71
0.17	0	75.63
0.18	0	77.83
0.19	119.11	78.5
0.2	116.54	78.46
0.21	116.89	78.87
0.22	118.66	79.29
0.23	117.13	78.12
0.24	116.12	74.46
0.25	115.26	70.61
0.26	114.75	68.88
0.27	115.14	68.55
0.28	114.86	69.71
0.29	112.82	72.19
0.3	110.72	74.79
0.31	105.54	75.61
0.32	99.83	75.61
0.33	95.3	76.19
0.34	91.31	75.62
0.35	88.02	73.39
0.36	0	68.59
0.37	0	60.83
0.38	0	51.4
0.39	0	45.43
0.4	0	44.94
0.41	0	47.18
0.42	0	50.33
0.43	0	55.05
0.44	0	59.03
0.45	0	62.07
0.46	0	63.25
0.47	0	63.48
0.48	0	63.96
0.49	0	63.61
0.5	0	64.16
0.51	0	64.47
0.52	0	64.45
0.53	0	63.65
0.54	0	62.22
0.55	0	61.06
0.56	0	60.01
0.57	0	57.96
0.58	0	58.46
0.59	0	64.22
0.6	123.62	67.79
0.61	123.96	71.65
0.62	123.62	76.28
0.63	123.29	79.66
0.64	123.58	81.37
0.65	124.38	81.84
0.66	125.51	82.04
0.67	126.69	82.18
0.68	128.05	82.11
0.69	128.95	81.74
0.7	129.84	81.22
0.71	131.25	80.78
0.72	132.02	80.19
0.73	130.77	79.28
0.74	0	77.11
0.75	0	71.61
0.76	0	61.21
0.77	0	43.33
0.78	0	26.5
0.79	0	21.15
0.8	0	22.08
0.81	0	27.23
0.82	0	37.01
0.83	0	40.47
0.84	0	39
0.85	0	39.05
0.86	0	40.94
0.87	0	43.06
0.88	0	46.09
0.89	0	52.41
0.9	115.13	62.72
0.91	115.29	71.24
0.92	115.09	75.15
0.93	115.21	76.12
0.94	116.03	76.4
0.95	117.09	76.36
0.96	117.6	75.72
0.97	117.66	74.78
0.98	117.4	74
0.99	117.44	73.63
1	117.4	73.62
1.01	116.99	73.64
1.02	116.22	73.02
1.03	114.89	71.24
1.04	113.05	68.31
1.05	0	63.23
1.06	0	54.91
1.07	0	50.37
1.08	0	48.88
1.09	0	46.59
1.1	0	44.78
1.11	0	44.38
1.12	0	46.59
1.13	0	51.42
1.14	0	53.54
1.15	0	52.7
1.16	0	53.53
1.17	0	64.01
1.18	0	74.03
1.19	108.23	79.05
1.2	107.52	81.02
1.21	104.69	81.96
1.22	102.18	82.93
1.23	100.96	83.29
1.24	99.63	82.89
1.25	98.14	82.58
1.26	97.04	82.53
1.27	96.86	82.4
1.28	97.5	82.1
1.29	98.21	81.83
1.3	98.5	81.73
1.31	98.41	81.66
1.32	98.19	81.25
1.33	97.5	80.33
1.34	96.97	79.54
1.35	96.68	78.31
1.36	96.36	76.76
1.37	95.7	75.37
1.38	95.03	73.93
1.39	94.64	72.91
1.4	94.61	73.06
1.41	94.12	73.72
1.42	93.04	71.63
1.43	92.22	69.35
1.44	90.63	68.46
1.45	89.03	67.27
1.46	86.11	65.92
1.47	82.69	64.35
1.48	79.52	62.51
1.49	80.3	60.51
1.5	81.83	58.98
1.51	81.57	57.28
1.52	84.91	55.66
1.53	0	53.34
1.54	0	49.15
1.55	0	46.53
1.56	0	47.47
1.57	0	51.16
1.58	0	54.58
1.59	0	56.14
1.6	0	56.24
1.61	0	56.37
1.62	0	56.03
1.63	0	55.78
1.64	0	55.96
1.65	0	55.77
1.66	0	56.14
1.67	0	55.97
1.68	0	55.37
1.69	0	56.31
1.7	0	56.37
1.71	0	55.7
1.72	0	54.85
1.73	0	54.26
1.74	0	53.57
1.75	0	52.61
1.76	0	51.15
1.77	0	50.81
1.78	0	49.5
1.79	0	45.99
1.8	0	43.18
1.81	0	40.99
1.82	0	38.88
1.83	0	36.89
1.84	0	35.66
1.85	0	34.52
1.86	0	33.32
1.87	0	32.83
1.88	0	31.94
1.89	0	29.96
1.9	0	28.85
1.91	0	27.91
1.92	0	26.14
1.93	0	24.89
1.94	0	24.45
1.95	0	23.74
1.96	0	23.4
1.97	0	24.2
1.98	0	26.99
1.99	0	27.04
2	0	23.66
2.01	0	22.59
2.02	0	22.41
2.03	0	22
2.04	0	21.6
2.05	0	21.87
2.06	0	21.94
2.07	0	21.85
2.08	0	22.25
2.09	0	0
2.1	0	0
2.11	0	0
?	?	?
