time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	25.89
0.04	0	25.42
0.05	0	24.29
0.06	0	24.38
0.07	0	25.15
0.08	0	25.14
0.09	0	25.18
0.1	0	24.88
0.11	0	25.58
0.12	0	41.27
0.13	0	58.45
0.14	0	68.2
0.15	0	71.89
0.16	0	71.09
0.17	0	66.48
0.18	0	56.62
0.19	0	46.99
0.2	0	39.1
0.21	0	37.41
0.22	0	55.13
0.23	0	62.67
0.24	0	62.64
0.25	0	59.16
0.26	0	64.05
0.27	0	72.39
0.28	125.59	77.24
0.29	124	79.4
0.3	120.93	79.72
0.31	119.95	78.82
0.32	120.63	78.32
0.33	123.35	78.19
0.34	125.57	78.21
0.35	127.95	78.29
0.36	129.75	78.25
0.37	130.53	77.81
0.38	130.81	76.5
0.39	130.09	72.62
0.4	133.55	66.16
0.41	134.64	65.45
0.42	134.77	69.24
0.43	131.22	70.98
0.44	129.83	70.48
0.45	128.99	69.56
0.46	126.74	68.99
0.47	123.59	68.43
0.48	121.84	67.77
0.49	117.59	66.99
0.5	113.8	64.99
0.51	112.3	61.9
0.52	109.67	59.65
0.53	108.32	58.34
0.54	108.86	58.52
0.55	110.94	59.13
0.56	115.36	60.24
0.57	119.22	61.82
0.58	121.24	63.82
0.59	122.76	65.98
0.6	123.68	68.16
0.61	123.33	69.97
0.62	122.38	70.84
0.63	121.39	71.19
0.64	120.04	71.24
0.65	119.11	71.26
0.66	117.79	71.19
0.67	116.7	70.81
0.68	115.85	69.89
0.69	114.32	67.17
0.7	112.63	62.64
0.71	112.51	60.26
0.72	110.01	59.3
0.73	106.45	57.09
0.74	0	53.05
0.75	0	49.48
0.76	0	44.48
0.77	0	37.74
0.78	0	38.66
0.79	0	41.83
0.8	0	45.07
0.81	0	50.67
0.82	0	53.84
0.83	0	53.62
0.84	0	56.34
0.85	128.94	65.12
0.86	117.47	70.88
0.87	113.68	73.47
0.88	113.12	74.5
0.89	112.61	74.95
0.9	112	75.11
0.91	110.85	74.92
0.92	110.03	74.64
0.93	109.28	74.36
0.94	108.63	74.04
0.95	107.81	73.77
0.96	107.42	73.58
0.97	107.43	73.52
0.98	107.57	73.5
0.99	107.58	73.41
1	107.52	72.9
1.01	107.86	72.31
1.02	107.66	71.46
1.03	107.61	69.95
1.04	107.39	67.16
1.05	104.7	62.05
1.06	106.13	59.12
1.07	106.72	59.14
1.08	105.52	58.84
1.09	104.84	58.54
1.1	104.34	58.67
1.11	106.08	62.36
1.12	108.18	67.46
1.13	105.24	69.51
1.14	104.23	70.32
1.15	104.35	70.74
1.16	104.49	71.04
1.17	104.74	71.44
1.18	105.17	71.93
1.19	105.69	72.32
1.2	105.79	71.94
1.21	105.13	70.37
1.22	104.03	67.77
1.23	103.66	65.11
1.24	104.21	63.82
1.25	105.51	64.39
1.26	106.54	66.49
1.27	106.52	68.47
1.28	106.38	69.54
1.29	105.95	69.07
1.3	103.75	65.25
1.31	0	57.8
1.32	0	50.27
1.33	0	47.64
1.34	0	46.47
1.35	0	49.1
1.36	0	56.22
1.37	106.54	61.11
1.38	105.09	63.99
1.39	104.37	66.49
1.4	103.48	68.38
1.41	102.99	69.25
1.42	102.25	69.28
1.43	101.17	68.14
1.44	0	64.78
1.45	0	57.56
1.46	0	48.8
1.47	0	46.07
1.48	0	44.29
1.49	0	43.49
1.5	0	45.7
1.51	0	50.55
1.52	0	54.6
1.53	101.71	56.85
1.54	100.67	57.55
1.55	100.23	57.54
1.56	100.08	58.83
1.57	100.67	65.92
1.58	100.41	71.58
1.59	99.52	73.46
1.6	98.96	73.84
1.61	98.69	74.01
1.62	99.9	73.96
1.63	100.45	73.17
1.64	100.33	71.79
1.65	100.26	69.39
1.66	0	63.92
1.67	0	53.45
1.68	0	37.89
1.69	0	27.8
1.7	0	27.94
1.71	0	34.42
1.72	0	36.6
1.73	0	31.28
1.74	0	25.89
1.75	0	31.93
1.76	0	43.03
1.77	0	51.12
1.78	0	53.69
1.79	0	52.73
1.8	0	54.95
1.81	0	57.01
1.82	0	54
1.83	0	44.31
1.84	0	29.51
1.85	0	25.49
1.86	0	44.91
1.87	0	57.12
1.88	0	60.35
1.89	0	57.83
1.9	0	55.53
1.91	0	56.18
1.92	0	56.61
1.93	0	62.7
1.94	0	67.05
1.95	99.75	68.43
1.96	98.64	68.85
1.97	96.24	69.53
1.98	94.04	68.73
1.99	93.35	64.96
2	92.9	62.18
2.01	90.71	59.91
2.02	0	55.91
2.03	0	50.93
2.04	0	48.4
2.05	0	53.96
2.06	0	59.73
2.07	0	62.77
2.08	0	64.13
2.09	0	63.21
2.1	0	60.97
2.11	0	59.37
2.12	0	58.66
2.13	0	56.72
2.14	0	53.74
2.15	0	58.96
2.16	0	62.81
2.17	0	59.71
2.18	0	59.16
2.19	0	60.39
2.2	0	60.76
2.21	0	61.64
2.22	0	56.44
2.23	0	47.52
2.24	0	41.95
2.25	0	36.83
2.26	0	29.39
2.27	0	25.75
2.28	0	25.46
2.29	0	25.09
2.3	0	25.74
2.31	0	27.31
2.32	0	31.03
2.33	0	0
2.34	0	0
2.35	0	0
?	?	?
