time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.67
0.05	0	27.49
0.06	0	26.77
0.07	0	26.61
0.08	0	27.12
0.09	0	27.78
0.1	0	27.36
0.11	0	27.43
0.12	0	33.12
0.13	0	39.22
0.14	0	43.42
0.15	0	45.74
0.16	0	47.29
0.17	0	48.23
0.18	0	49.15
0.19	0	50.44
0.2	0	52.34
0.21	0	54.19
0.22	177.81	58.27
0.23	171.94	63.99
0.24	162.96	67.18
0.25	156.38	67.19
0.26	153.34	65.41
0.27	0	62.01
0.28	0	55.55
0.29	0	45.1
0.3	0	49.77
0.31	0	58.8
0.32	0	62.12
0.33	0	65.29
0.34	0	68.93
0.35	0	70.89
0.36	0	69.75
0.37	0	67.25
0.38	0	65.12
0.39	0	63.22
0.4	0	60.32
0.41	0	58.42
0.42	0	68.22
0.43	179.62	76.61
0.44	179.53	80.66
0.45	179.06	82.17
0.46	179.08	82.69
0.47	180.5	82.82
0.48	182.72	82.42
0.49	184.16	81.55
0.5	184.32	80.21
0.51	183.05	78.32
0.52	181.2	74.4
0.53	179.82	67.52
0.54	178.04	62.63
0.55	174.63	61.63
0.56	165.33	60.92
0.57	156.11	60.12
0.58	150.26	60.88
0.59	150.95	66.57
0.6	155.85	72.44
0.61	158.02	75.6
0.62	157.24	76.52
0.63	154.76	76.44
0.64	152.58	76.31
0.65	150.48	75.95
0.66	149.37	74.81
0.67	147.87	72.8
0.68	143.71	67.91
0.69	140.58	60.94
0.7	138.7	57.41
0.71	137.11	57.65
0.72	138.53	59.71
0.73	139.65	61.33
0.74	140.22	62.54
0.75	141.13	63.82
0.76	142.44	65.17
0.77	144.75	66.9
0.78	149.05	69.24
0.79	155.33	72.7
0.8	158.19	75.15
0.81	158.43	76
0.82	159.01	76.64
0.83	159.81	76.97
0.84	160.81	76.77
0.85	160.98	75.93
0.86	158.71	73.9
0.87	0	70.42
0.88	0	66.49
0.89	0	63.04
0.9	0	61.52
0.91	0	64.08
0.92	0	66.54
0.93	0	68.3
0.94	0	69.14
0.95	0	68.36
0.96	0	65.47
0.97	0	61.08
0.98	0	53.64
0.99	0	40.83
1	0	41.26
1.01	0	53.17
1.02	0	60.35
1.03	0	62.82
1.04	0	61.81
1.05	0	59.01
1.06	0	55.6
1.07	0	56.08
1.08	0	63.48
1.09	151.6	69.11
1.1	149.86	71.82
1.11	146.78	72.36
1.12	144.64	71.61
1.13	142.79	70.49
1.14	140.45	68.86
1.15	137.78	66.6
1.16	134.62	63.65
1.17	131.31	60.94
1.18	0	59.54
1.19	0	60.76
1.2	0	63.38
1.21	0	64.61
1.22	0	64.9
1.23	0	65.25
1.24	0	64.23
1.25	0	59.72
1.26	0	51
1.27	0	37.37
1.28	0	26.83
1.29	0	26.51
1.3	0	27.71
1.31	0	35.04
1.32	0	48.36
1.33	0	58.13
1.34	0	63.17
1.35	0	65.2
1.36	0	63.75
1.37	0	59.68
1.38	189.12	59.93
1.39	188.92	67.18
1.4	188.1	72.06
1.41	186.64	73.73
1.42	184.8	73.87
1.43	182.45	73.41
1.44	179.12	72.82
1.45	175.45	72.12
1.46	172.26	71.16
1.47	168.93	69.99
1.48	166.01	68.87
1.49	163.36	68.04
1.5	161.17	67.44
1.51	159.57	66.35
1.52	155.37	64.58
1.53	149.76	62.01
1.54	0	60.78
1.55	0	63.61
1.56	0	67.21
1.57	0	69.49
1.58	0	70.99
1.59	0	71.84
1.6	0	70.93
1.61	0	70.58
1.62	0	70.9
1.63	0	71.16
1.64	0	70.11
1.65	0	69.08
1.66	0	67.31
1.67	0	62.64
1.68	0	57.96
1.69	0	63.34
1.7	153.51	69.82
1.71	153.79	72.91
1.72	153.36	73.08
1.73	152.15	71.09
1.74	152.05	67.46
1.75	0	61.53
1.76	0	52.63
1.77	0	47.47
1.78	0	45.92
1.79	0	47.66
1.8	0	54.82
1.81	0	56.98
1.82	0	56.39
1.83	0	57.73
1.84	0	58.86
1.85	0	59.17
1.86	0	59.31
1.87	0	59.96
1.88	0	61.45
1.89	0	62.12
1.9	0	61
1.91	0	58.49
1.92	0	58.5
1.93	0	60.81
1.94	0	68.56
1.95	164.13	74.5
1.96	160.12	75.72
1.97	156.34	75.73
1.98	155.6	75.38
1.99	154.54	74.83
2	153.78	74.66
2.01	153.07	74.16
2.02	151.09	73.28
2.03	149.79	72.64
2.04	149.25	72.62
2.05	148.47	72.26
2.06	148.17	71.68
2.07	146.66	72.02
2.08	143.97	70.81
2.09	141.03	69.68
2.1	137.76	68.59
2.11	136.73	66.49
2.12	136.47	65.82
2.13	136.11	65.57
2.14	136.76	66.42
2.15	136.05	65.18
2.16	133.92	62.65
2.17	133.88	61.08
2.18	0	58.86
2.19	0	56.31
2.2	0	53.55
2.21	0	51.33
2.22	0	49.51
2.23	0	47.09
2.24	0	43.98
2.25	0	41.51
2.26	0	40.93
2.27	0	40.29
2.28	0	39.61
2.29	0	38.36
2.3	0	38.48
2.31	0	38.79
2.32	0	0
2.33	0	0
2.34	0	0
?	?	?
