time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	23.27
0.05	0	24.25
0.06	0	23.86
0.07	0	23.15
0.08	0	25.14
0.09	0	28.16
0.1	0	28.61
0.11	0	29.26
0.12	0	44.73
0.13	0	61.08
0.14	0	70.77
0.15	89.24	75.35
0.16	96.6	77.76
0.17	107.27	80.1
0.18	101.46	82.18
0.19	102.86	83.24
0.2	103.86	83.76
0.21	104.62	83.67
0.22	105.45	82.77
0.23	106.29	80.65
0.24	104.13	76.85
0.25	0	70.33
0.26	0	58.72
0.27	0	40.03
0.28	0	40.35
0.29	0	49.33
0.3	0	56
0.31	0	62.2
0.32	0	67.03
0.33	0	69.72
0.34	0	70.09
0.35	0	66.79
0.36	0	62.61
0.37	0	68.61
0.38	0	72.51
0.39	107.58	73.51
0.4	102.81	74.15
0.41	100.99	74.6
0.42	99.68	74.55
0.43	98.72	74.26
0.44	98.45	73.99
0.45	98.3	73.93
0.46	97.86	74.01
0.47	97.74	74
0.48	97.43	73.5
0.49	96.82	71.51
0.5	0	66.78
0.51	0	58.07
0.52	0	47.32
0.53	0	46.45
0.54	0	52.82
0.55	0	58.53
0.56	0	60.64
0.57	0	60.44
0.58	0	59.48
0.59	0	58.12
0.6	0	62.9
0.61	115.77	67
0.62	97.91	66.67
0.63	91.67	63.63
0.64	0	59.21
0.65	0	52.22
0.66	0	44.35
0.67	0	41.8
0.68	0	41.72
0.69	0	41.61
0.7	0	42.48
0.71	0	43.22
0.72	0	43.87
0.73	0	43.91
0.74	0	44.75
0.75	0	46.77
0.76	0	48.06
0.77	0	48.33
0.78	0	48.63
0.79	0	48.77
0.8	0	48.54
0.81	0	48.54
0.82	0	48.13
0.83	0	46.77
0.84	0	45.04
0.85	0	43.41
0.86	0	42.17
0.87	0	42.81
0.88	0	45.15
0.89	0	47.66
0.9	0	52.04
0.91	0	63.84
0.92	104.36	72.17
0.93	104.42	75.86
0.94	102.67	77.26
0.95	100.8	78.17
0.96	98.83	78.61
0.97	96.97	77.79
0.98	95.67	75.9
0.99	96.16	74.03
1	98.28	73.01
1.01	100.94	72.75
1.02	102.03	72.44
1.03	102.53	72.14
1.04	102.36	72.69
1.05	101.33	73.03
1.06	100.62	72.38
1.07	99.85	70.96
1.08	99.15	69.12
1.09	99.08	67.53
1.1	99.81	66.09
1.11	100.53	64.52
1.12	100.75	62.89
1.13	100.87	61.97
1.14	100.75	61.97
1.15	100.06	62.1
1.16	99.29	62.24
1.17	98.33	61.81
1.18	98.01	61.31
1.19	97.41	61.71
1.2	96.7	61.83
1.21	96.23	61.89
1.22	95.48	63.24
1.23	94.47	68.34
1.24	92.15	71.93
1.25	91.46	72.76
1.26	91.2	72.84
1.27	90.95	72.84
1.28	90.75	72.99
1.29	90.73	73.04
1.3	90.84	72.99
1.31	90.83	72.14
1.32	0	68.82
1.33	0	59.92
1.34	0	45.43
1.35	0	38.57
1.36	0	37.69
1.37	0	49.14
1.38	0	58.99
1.39	0	67.62
1.4	93.71	72.73
1.41	90.19	75.2
1.42	89.32	76.22
1.43	89	76.53
1.44	88.62	76.68
1.45	88.42	76.59
1.46	88.51	75.86
1.47	88.2	73.85
1.48	85.45	69.66
1.49	0	63.37
1.5	0	59.55
1.51	0	60.88
1.52	0	61.46
1.53	0	61.29
1.54	0	61.47
1.55	0	61.22
1.56	0	60.64
1.57	0	59.31
1.58	0	58.53
1.59	0	59.1
1.6	0	59.49
1.61	0	57.34
1.62	0	52.8
1.63	0	57.82
1.64	0	62.4
1.65	0	62.14
1.66	86.56	61.12
1.67	85.3	59.26
1.68	86.87	58.09
1.69	87.8	58.43
1.7	87.9	59.3
1.71	87.64	61.51
1.72	86.37	63.96
1.73	85.62	65.07
1.74	85.28	65.39
1.75	85.28	65.2
1.76	85.07	64.63
1.77	85.08	63.96
1.78	85.1	63.34
1.79	84.62	62.99
1.8	84.14	62.6
1.81	81.82	61.84
1.82	80.26	60.77
1.83	0	58.64
1.84	0	55.61
1.85	0	58.41
1.86	0	57.23
1.87	0	48.18
1.88	0	34.11
1.89	0	25.07
1.9	0	38.88
1.91	0	49.16
1.92	0	58.4
1.93	0	64.95
1.94	79.88	66.5
1.95	85.67	66.24
1.96	85.11	65.45
1.97	83.5	63.47
1.98	82.64	61.89
1.99	80.39	61.1
2	79.96	60.42
2.01	79.85	60.33
2.02	84.7	61.4
2.03	87.13	64.48
2.04	88.68	68.81
2.05	88.31	72.38
2.06	86.83	73.77
2.07	85.27	74.05
2.08	84.67	74.29
2.09	84.34	74.28
2.1	84.11	73.88
2.11	84.01	73.35
2.12	83.88	72.73
2.13	83.22	71.92
2.14	83.03	70.82
2.15	82.07	69.03
2.16	80.92	66.62
2.17	77.73	63.7
2.18	0	60.68
2.19	0	57.6
2.2	83.32	55.45
2.21	83.85	56.96
2.22	86.99	58.3
2.23	84.74	60.44
2.24	77.55	62.56
2.25	76.45	63.69
2.26	82.83	64.32
2.27	80.1	62.7
2.28	0	58.23
2.29	0	51.85
2.3	0	45.01
2.31	0	40.72
2.32	0	38.28
2.33	0	35.65
2.34	0	32.48
2.35	0	30.25
2.36	0	28.66
2.37	0	26.48
2.38	0	24.3
2.39	0	0
2.4	0	0
2.41	0	0
