time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	22.82
0.05	0	22.03
0.06	0	21.69
0.07	0	21.94
0.08	0	23.13
0.09	0	23.72
0.1	0	23.01
0.11	0	22.3
0.12	0	24.3
0.13	0	34.37
0.14	0	43.43
0.15	0	49.18
0.16	0	54.82
0.17	0	58.57
0.18	0	59.97
0.19	0	59.61
0.2	0	56.93
0.21	0	53.41
0.22	0	58.89
0.23	0	65.6
0.24	0	67.68
0.25	0	69.26
0.26	178.98	71.6
0.27	180.12	72.08
0.28	189.31	71.06
0.29	190.3	70.6
0.3	189.99	70.53
0.31	181.59	70
0.32	0	70.25
0.33	0	73.77
0.34	0	75.17
0.35	0	73.75
0.36	0	73.14
0.37	0	73.76
0.38	0	74.66
0.39	0	76.83
0.4	0	76.62
0.41	0	73.47
0.42	206.51	74.14
0.43	204.93	77.82
0.44	203.95	79.29
0.45	203.08	79.59
0.46	201.34	80
0.47	196.69	80.14
0.48	193.11	79.3
0.49	191.55	77.89
0.5	189.83	76.53
0.51	188.29	76.14
0.52	186.78	76.1
0.53	184.81	76.05
0.54	182.63	76.08
0.55	180.69	76.1
0.56	178.24	75.94
0.57	175.42	75.5
0.58	172.97	74.1
0.59	170.58	71.24
0.6	168.94	68.61
0.61	0	67.89
0.62	0	67.93
0.63	0	67.77
0.64	0	67.22
0.65	0	66.36
0.66	0	64.48
0.67	0	61.49
0.68	0	66.69
0.69	174.36	74.58
0.7	174.39	78.85
0.71	173.47	82.15
0.72	171.54	84.99
0.73	169.45	86.71
0.74	167.46	87.18
0.75	165.3	86.77
0.76	163.56	86.2
0.77	162.2	85.91
0.78	160.35	85.63
0.79	158.17	85.14
0.8	156.16	84.54
0.81	154.14	83.82
0.82	151.25	82.96
0.83	148	82.21
0.84	144.19	81.73
0.85	140.81	81.6
0.86	138.36	81.54
0.87	135.92	81.35
0.88	133.49	81.14
0.89	130.18	80.88
0.9	127.71	79.94
0.91	125.91	77.65
0.92	125	72.76
0.93	0	63.65
0.94	0	55.41
0.95	0	51.58
0.96	0	45.87
0.97	0	40.26
0.98	0	54.6
0.99	0	62.89
1	0	64.08
1.01	0	63.14
1.02	143.31	70.32
1.03	137.34	76.16
1.04	134.83	80.2
1.05	132.35	82.36
1.06	127.5	82.04
1.07	125.35	80.79
1.08	121.95	80.4
1.09	119.07	80.34
1.1	118.03	80.05
1.11	115.67	79.56
1.12	114.75	78.86
1.13	113	78.06
1.14	111.82	77.41
1.15	110.38	76.77
1.16	107.18	75.79
1.17	106.64	73.78
1.18	106.36	69.33
1.19	0	61.31
1.2	0	58.5
1.21	0	61.94
1.22	0	64.59
1.23	0	65.84
1.24	0	66.08
1.25	0	65.82
1.26	0	64.33
1.27	0	60.68
1.28	0	55.55
1.29	0	51.29
1.3	0	45.05
1.31	0	32.57
1.32	0	23.26
1.33	0	23.52
1.34	0	28.92
1.35	0	29.99
1.36	0	25.89
1.37	0	26.39
1.38	0	31.53
1.39	0	33.11
1.4	0	0
1.41	0	0
1.42	0	0
