time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	41.94
0.04	0	41.08
0.05	0	40.09
0.06	0	39.95
0.07	0	42.27
0.08	0	42.83
0.09	0	41.43
0.1	0	40.29
0.11	0	40.17
0.12	0	52.44
0.13	0	66.95
0.14	138.58	75.44
0.15	140.13	80.57
0.16	139.99	83.17
0.17	139.88	84.19
0.18	140.47	84.84
0.19	140.82	84.53
0.2	141.31	83.69
0.21	142.38	83.22
0.22	143.77	82.57
0.23	145.19	81.46
0.24	147.07	80.59
0.25	148.55	79.86
0.26	149.5	78.28
0.27	149.21	75.35
0.28	148.06	71.53
0.29	142.81	67.35
0.3	0	66.53
0.31	0	71.33
0.32	0	74
0.33	0	74.29
0.34	0	74.39
0.35	0	74.64
0.36	0	74.89
0.37	0	73.25
0.38	0	68.39
0.39	0	62.28
0.4	0	67.82
0.41	0	73.54
0.42	136.63	74.07
0.43	133.47	71.32
0.44	125.81	65.11
0.45	0	56.82
0.46	0	54.2
0.47	0	53.6
0.48	0	52.8
0.49	0	51.79
0.5	0	53.25
0.51	0	60.72
0.52	133.82	68.86
0.53	136.3	74.19
0.54	138.15	76.7
0.55	138.67	77.52
0.56	138.51	77.74
0.57	138.31	77.72
0.58	138.02	77.26
0.59	136.77	75.84
0.6	135.36	72.98
0.61	0	69.72
0.62	0	70.34
0.63	0	73.19
0.64	0	75.83
0.65	0	75.11
0.66	0	71.25
0.67	0	65.55
0.68	0	55.35
0.69	0	39.88
0.7	0	44.74
0.71	0	53.17
0.72	0	56.56
0.73	0	59.4
0.74	130.36	67.06
0.75	123.04	72.84
0.76	120.87	74.84
0.77	120.23	74.51
0.78	118.28	72.95
0.79	115.4	71.23
0.8	112.34	69.72
0.81	108.82	67.68
0.82	0	65.31
0.83	0	67.56
0.84	0	72.28
0.85	0	74.14
0.86	0	74.13
0.87	0	74.41
0.88	0	75.32
0.89	0	76.24
0.9	0	74.97
0.91	0	71.77
0.92	0	66.07
0.93	0	65.97
0.94	126.53	74.3
0.95	120.75	78.55
0.96	116.7	80.2
0.97	113.82	79.7
0.98	111.58	78.43
0.99	110.14	77.66
1	109.16	77.17
1.01	108.81	76.69
1.02	109.37	76.23
1.03	109.98	75.84
1.04	111.26	75.66
1.05	112.98	75.35
1.06	115.56	74.5
1.07	119.62	72.95
1.08	125.34	71.91
1.09	131.04	71.46
1.1	137.04	70.04
1.11	144.66	67.07
1.12	153.53	63.01
1.13	160.19	58.55
1.14	0	53.59
1.15	0	50.09
1.16	0	50.54
1.17	0	50.75
1.18	0	47.9
1.19	0	45.36
1.2	0	45.94
1.21	0	43.66
1.22	0	42.24
1.23	0	42.99
1.24	0	39.72
1.25	0	0
1.26	0	0
1.27	0	0
